config_id,op,dtype,world_size,msg_mib,msg_bytes,freq_mhz,dram_mhz,nccl_channels
0,all_reduce,bfloat16,4,2,2097152,1410,1215,1
1,all_reduce,bfloat16,4,8,8388608,1410,1215,1
2,all_reduce,bfloat16,4,25,26214400,1410,1215,1
3,all_reduce,bfloat16,4,100,104857600,1410,1215,1
4,all_reduce,bfloat16,4,256,268435456,1410,1215,1
5,all_reduce,bfloat16,4,2,2097152,1410,1215,2
6,all_reduce,bfloat16,4,8,8388608,1410,1215,2
7,all_reduce,bfloat16,4,25,26214400,1410,1215,2
8,all_reduce,bfloat16,4,100,104857600,1410,1215,2
9,all_reduce,bfloat16,4,256,268435456,1410,1215,2
10,all_reduce,bfloat16,4,2,2097152,1410,1215,4
11,all_reduce,bfloat16,4,8,8388608,1410,1215,4
12,all_reduce,bfloat16,4,25,26214400,1410,1215,4
13,all_reduce,bfloat16,4,100,104857600,1410,1215,4
14,all_reduce,bfloat16,4,256,268435456,1410,1215,4
15,all_reduce,bfloat16,4,2,2097152,1410,1215,8
16,all_reduce,bfloat16,4,8,8388608,1410,1215,8
17,all_reduce,bfloat16,4,25,26214400,1410,1215,8
18,all_reduce,bfloat16,4,100,104857600,1410,1215,8
19,all_reduce,bfloat16,4,256,268435456,1410,1215,8
20,all_reduce,bfloat16,4,2,2097152,1410,1215,16
21,all_reduce,bfloat16,4,8,8388608,1410,1215,16
22,all_reduce,bfloat16,4,25,26214400,1410,1215,16
23,all_reduce,bfloat16,4,100,104857600,1410,1215,16
24,all_reduce,bfloat16,4,256,268435456,1410,1215,16
25,all_reduce,bfloat16,4,2,2097152,1410,1215,32
26,all_reduce,bfloat16,4,8,8388608,1410,1215,32
27,all_reduce,bfloat16,4,25,26214400,1410,1215,32
28,all_reduce,bfloat16,4,100,104857600,1410,1215,32
29,all_reduce,bfloat16,4,256,268435456,1410,1215,32
30,all_reduce,bfloat16,4,2,2097152,1200,1215,1
31,all_reduce,bfloat16,4,8,8388608,1200,1215,1
32,all_reduce,bfloat16,4,25,26214400,1200,1215,1
33,all_reduce,bfloat16,4,100,104857600,1200,1215,1
34,all_reduce,bfloat16,4,256,268435456,1200,1215,1
35,all_reduce,bfloat16,4,2,2097152,1200,1215,2
36,all_reduce,bfloat16,4,8,8388608,1200,1215,2
37,all_reduce,bfloat16,4,25,26214400,1200,1215,2
38,all_reduce,bfloat16,4,100,104857600,1200,1215,2
39,all_reduce,bfloat16,4,256,268435456,1200,1215,2
40,all_reduce,bfloat16,4,2,2097152,1200,1215,4
41,all_reduce,bfloat16,4,8,8388608,1200,1215,4
42,all_reduce,bfloat16,4,25,26214400,1200,1215,4
43,all_reduce,bfloat16,4,100,104857600,1200,1215,4
44,all_reduce,bfloat16,4,256,268435456,1200,1215,4
45,all_reduce,bfloat16,4,2,2097152,1200,1215,8
46,all_reduce,bfloat16,4,8,8388608,1200,1215,8
47,all_reduce,bfloat16,4,25,26214400,1200,1215,8
48,all_reduce,bfloat16,4,100,104857600,1200,1215,8
49,all_reduce,bfloat16,4,256,268435456,1200,1215,8
50,all_reduce,bfloat16,4,2,2097152,1200,1215,16
51,all_reduce,bfloat16,4,8,8388608,1200,1215,16
52,all_reduce,bfloat16,4,25,26214400,1200,1215,16
53,all_reduce,bfloat16,4,100,104857600,1200,1215,16
54,all_reduce,bfloat16,4,256,268435456,1200,1215,16
55,all_reduce,bfloat16,4,2,2097152,1200,1215,32
56,all_reduce,bfloat16,4,8,8388608,1200,1215,32
57,all_reduce,bfloat16,4,25,26214400,1200,1215,32
58,all_reduce,bfloat16,4,100,104857600,1200,1215,32
59,all_reduce,bfloat16,4,256,268435456,1200,1215,32
60,all_reduce,bfloat16,4,2,2097152,900,1215,1
61,all_reduce,bfloat16,4,8,8388608,900,1215,1
62,all_reduce,bfloat16,4,25,26214400,900,1215,1
63,all_reduce,bfloat16,4,100,104857600,900,1215,1
64,all_reduce,bfloat16,4,256,268435456,900,1215,1
65,all_reduce,bfloat16,4,2,2097152,900,1215,2
66,all_reduce,bfloat16,4,8,8388608,900,1215,2
67,all_reduce,bfloat16,4,25,26214400,900,1215,2
68,all_reduce,bfloat16,4,100,104857600,900,1215,2
69,all_reduce,bfloat16,4,256,268435456,900,1215,2
70,all_reduce,bfloat16,4,2,2097152,900,1215,4
71,all_reduce,bfloat16,4,8,8388608,900,1215,4
72,all_reduce,bfloat16,4,25,26214400,900,1215,4
73,all_reduce,bfloat16,4,100,104857600,900,1215,4
74,all_reduce,bfloat16,4,256,268435456,900,1215,4
75,all_reduce,bfloat16,4,2,2097152,900,1215,8
76,all_reduce,bfloat16,4,8,8388608,900,1215,8
77,all_reduce,bfloat16,4,25,26214400,900,1215,8
78,all_reduce,bfloat16,4,100,104857600,900,1215,8
79,all_reduce,bfloat16,4,256,268435456,900,1215,8
80,all_reduce,bfloat16,4,2,2097152,900,1215,16
81,all_reduce,bfloat16,4,8,8388608,900,1215,16
82,all_reduce,bfloat16,4,25,26214400,900,1215,16
83,all_reduce,bfloat16,4,100,104857600,900,1215,16
84,all_reduce,bfloat16,4,256,268435456,900,1215,16
85,all_reduce,bfloat16,4,2,2097152,900,1215,32
86,all_reduce,bfloat16,4,8,8388608,900,1215,32
87,all_reduce,bfloat16,4,25,26214400,900,1215,32
88,all_reduce,bfloat16,4,100,104857600,900,1215,32
89,all_reduce,bfloat16,4,256,268435456,900,1215,32
90,all_reduce,bfloat16,4,2,2097152,705,1215,1
91,all_reduce,bfloat16,4,8,8388608,705,1215,1
92,all_reduce,bfloat16,4,25,26214400,705,1215,1
93,all_reduce,bfloat16,4,100,104857600,705,1215,1
94,all_reduce,bfloat16,4,256,268435456,705,1215,1
95,all_reduce,bfloat16,4,2,2097152,705,1215,2
96,all_reduce,bfloat16,4,8,8388608,705,1215,2
97,all_reduce,bfloat16,4,25,26214400,705,1215,2
98,all_reduce,bfloat16,4,100,104857600,705,1215,2
99,all_reduce,bfloat16,4,256,268435456,705,1215,2
100,all_reduce,bfloat16,4,2,2097152,705,1215,4
101,all_reduce,bfloat16,4,8,8388608,705,1215,4
102,all_reduce,bfloat16,4,25,26214400,705,1215,4
103,all_reduce,bfloat16,4,100,104857600,705,1215,4
104,all_reduce,bfloat16,4,256,268435456,705,1215,4
105,all_reduce,bfloat16,4,2,2097152,705,1215,8
106,all_reduce,bfloat16,4,8,8388608,705,1215,8
107,all_reduce,bfloat16,4,25,26214400,705,1215,8
108,all_reduce,bfloat16,4,100,104857600,705,1215,8
109,all_reduce,bfloat16,4,256,268435456,705,1215,8
110,all_reduce,bfloat16,4,2,2097152,705,1215,16
111,all_reduce,bfloat16,4,8,8388608,705,1215,16
112,all_reduce,bfloat16,4,25,26214400,705,1215,16
113,all_reduce,bfloat16,4,100,104857600,705,1215,16
114,all_reduce,bfloat16,4,256,268435456,705,1215,16
115,all_reduce,bfloat16,4,2,2097152,705,1215,32
116,all_reduce,bfloat16,4,8,8388608,705,1215,32
117,all_reduce,bfloat16,4,25,26214400,705,1215,32
118,all_reduce,bfloat16,4,100,104857600,705,1215,32
119,all_reduce,bfloat16,4,256,268435456,705,1215,32
120,all_reduce,bfloat16,4,2,2097152,510,1215,1
121,all_reduce,bfloat16,4,8,8388608,510,1215,1
122,all_reduce,bfloat16,4,25,26214400,510,1215,1
123,all_reduce,bfloat16,4,100,104857600,510,1215,1
124,all_reduce,bfloat16,4,256,268435456,510,1215,1
125,all_reduce,bfloat16,4,2,2097152,510,1215,2
126,all_reduce,bfloat16,4,8,8388608,510,1215,2
127,all_reduce,bfloat16,4,25,26214400,510,1215,2
128,all_reduce,bfloat16,4,100,104857600,510,1215,2
129,all_reduce,bfloat16,4,256,268435456,510,1215,2
130,all_reduce,bfloat16,4,2,2097152,510,1215,4
131,all_reduce,bfloat16,4,8,8388608,510,1215,4
132,all_reduce,bfloat16,4,25,26214400,510,1215,4
133,all_reduce,bfloat16,4,100,104857600,510,1215,4
134,all_reduce,bfloat16,4,256,268435456,510,1215,4
135,all_reduce,bfloat16,4,2,2097152,510,1215,8
136,all_reduce,bfloat16,4,8,8388608,510,1215,8
137,all_reduce,bfloat16,4,25,26214400,510,1215,8
138,all_reduce,bfloat16,4,100,104857600,510,1215,8
139,all_reduce,bfloat16,4,256,268435456,510,1215,8
140,all_reduce,bfloat16,4,2,2097152,510,1215,16
141,all_reduce,bfloat16,4,8,8388608,510,1215,16
142,all_reduce,bfloat16,4,25,26214400,510,1215,16
143,all_reduce,bfloat16,4,100,104857600,510,1215,16
144,all_reduce,bfloat16,4,256,268435456,510,1215,16
145,all_reduce,bfloat16,4,2,2097152,510,1215,32
146,all_reduce,bfloat16,4,8,8388608,510,1215,32
147,all_reduce,bfloat16,4,25,26214400,510,1215,32
148,all_reduce,bfloat16,4,100,104857600,510,1215,32
149,all_reduce,bfloat16,4,256,268435456,510,1215,32
150,all_reduce,bfloat16,4,2,2097152,300,1215,1
151,all_reduce,bfloat16,4,8,8388608,300,1215,1
152,all_reduce,bfloat16,4,25,26214400,300,1215,1
153,all_reduce,bfloat16,4,100,104857600,300,1215,1
154,all_reduce,bfloat16,4,256,268435456,300,1215,1
155,all_reduce,bfloat16,4,2,2097152,300,1215,2
156,all_reduce,bfloat16,4,8,8388608,300,1215,2
157,all_reduce,bfloat16,4,25,26214400,300,1215,2
158,all_reduce,bfloat16,4,100,104857600,300,1215,2
159,all_reduce,bfloat16,4,256,268435456,300,1215,2
160,all_reduce,bfloat16,4,2,2097152,300,1215,4
161,all_reduce,bfloat16,4,8,8388608,300,1215,4
162,all_reduce,bfloat16,4,25,26214400,300,1215,4
163,all_reduce,bfloat16,4,100,104857600,300,1215,4
164,all_reduce,bfloat16,4,256,268435456,300,1215,4
165,all_reduce,bfloat16,4,2,2097152,300,1215,8
166,all_reduce,bfloat16,4,8,8388608,300,1215,8
167,all_reduce,bfloat16,4,25,26214400,300,1215,8
168,all_reduce,bfloat16,4,100,104857600,300,1215,8
169,all_reduce,bfloat16,4,256,268435456,300,1215,8
170,all_reduce,bfloat16,4,2,2097152,300,1215,16
171,all_reduce,bfloat16,4,8,8388608,300,1215,16
172,all_reduce,bfloat16,4,25,26214400,300,1215,16
173,all_reduce,bfloat16,4,100,104857600,300,1215,16
174,all_reduce,bfloat16,4,256,268435456,300,1215,16
175,all_reduce,bfloat16,4,2,2097152,300,1215,32
176,all_reduce,bfloat16,4,8,8388608,300,1215,32
177,all_reduce,bfloat16,4,25,26214400,300,1215,32
178,all_reduce,bfloat16,4,100,104857600,300,1215,32
179,all_reduce,bfloat16,4,256,268435456,300,1215,32
