op,dtype,strategy,world_size,freq_mhz,nccl_ctas,clock_sm_mean,clock_sm_min,throttled,msg_bytes,msg_mib,latency_ms,power_w,energy_mj,algbw_gbps,busbw_gbps
all_reduce,bfloat16,NCCL,4,300,1,300.0,300,False,8388608,8.0,3.1791656494140623,80.234,255.0772,2.639,3.958
all_reduce,bfloat16,NCCL,4,510,1,510.0,510,False,8388608,8.0,1.9360913957868302,74.955,145.1202,4.333,6.499
all_reduce,bfloat16,NCCL,4,705,1,705.0,705,False,8388608,8.0,1.4454929896763393,72.016,104.099,5.803,8.705
all_reduce,bfloat16,NCCL,4,900,1,900.0,900,False,8388608,8.0,1.154231123490767,84.371,97.3842,7.268,10.902
all_reduce,bfloat16,NCCL,4,1200,1,1200.0,1200,False,8388608,8.0,0.8883571079799107,88.094,78.2589,9.443,14.164
all_reduce,bfloat16,NCCL,4,1410,1,1410.0,1410,False,8388608,8.0,0.7665420381149443,103.754,79.5318,10.943,16.415
all_reduce,bfloat16,NCCL,4,300,1,300.0,300,False,16777216,16.0,6.313072509765625,80.696,509.4415,2.658,3.986
all_reduce,bfloat16,NCCL,4,510,1,510.0,510,False,16777216,16.0,3.828228759765625,82.07,314.1843,4.383,6.574
all_reduce,bfloat16,NCCL,4,705,1,705.0,705,False,16777216,16.0,2.8703305925641738,83.635,240.0601,5.845,8.768
all_reduce,bfloat16,NCCL,4,900,1,900.0,900,False,16777216,16.0,2.2936488560267856,86.006,197.2676,7.315,10.972
all_reduce,bfloat16,NCCL,4,1200,1,1200.0,1200,False,16777216,16.0,1.7921914805536683,95.901,171.8737,9.361,14.042
all_reduce,bfloat16,NCCL,4,1410,1,1410.0,1410,False,16777216,16.0,1.523990271226415,112.266,171.0926,11.009,16.513
all_reduce,bfloat16,NCCL,4,300,1,300.0,300,False,26214400,25.0,10.009671630859376,80.848,809.2649,2.619,3.928
all_reduce,bfloat16,NCCL,4,510,1,510.0,510,False,26214400,25.0,6.120980224609375,82.331,503.9473,4.283,6.424
