rep,m,n,k,freq_req_mhz,n_squat,sm_avail,latency_ms,power_w,energy_mj,gflops,clock_sm_med,clock_sm_min,clock_held,throttle,temp_c,p_squat_w,probe_sm_count,probe_ok,iters,window_s,n_samples,power_min_w,power_max_w,status,p_static_w,p_static_squat_w,p_dynamic_w,energy_total_mj,energy_dynamic_mj,energy_static_mj,static_frac,p_dynamic_per_sm_w,e_dyn_squat_mj
1,2048,16384,16384,510,81,27,43.871071,91.98,4035.2611,25062.3,510,510,True,none,40,61.522,27,True,45,1.974,30,91.025,92.578,ok,57.602,60.923,34.378,4035.2611,1508.1997,2527.0614,0.6262,1.2733,1362.5039
1,2048,8192,8192,510,81,27,11.385541,89.386,1017.708,24142.7,510,510,True,none,40,61.522,27,True,173,1.97,30,88.703,89.655,ok,57.602,60.923,31.784,1017.708,361.878,655.8299,0.6444,1.1772,324.0667
1,8192,4096,4096,510,81,27,11.380061,85.247,970.1161,24154.3,510,510,True,none,40,61.522,27,True,173,1.969,30,84.925,85.336,ok,57.602,60.923,27.645,970.1161,314.6018,655.5143,0.6757,1.0239,276.8086
1,4096,4096,4096,510,81,27,5.842527,84.476,493.5533,23523.9,510,510,True,none,40,61.522,27,True,338,1.975,30,83.878,85.013,ok,57.602,60.923,26.874,493.5533,157.0121,336.5412,0.6819,0.9953,137.609
1,2048,4096,4096,510,81,27,3.145064,82.689,260.0622,21849.9,510,510,True,none,40,61.522,27,True,642,2.019,31,82.334,83.019,ok,57.602,60.923,25.087,260.0622,78.9002,181.162,0.6966,0.9291,68.4555
1,1024,4096,4096,510,81,27,1.582369,82.152,129.9948,21714.1,510,510,True,none,40,61.522,27,True,1180,1.867,28,81.83,82.42,ok,57.602,60.923,24.55,129.9948,38.8472,91.1476,0.7012,0.9093,33.5921
1,4096,16384,16384,510,81,27,87.276581,92.302,8055.803,25196.0,510,510,True,none,40,61.522,27,True,22,1.92,29,91.347,92.803,ok,57.602,60.923,34.7,8055.803,3028.4974,5027.3056,0.6241,1.2852,2738.6518
1,8192,16384,16384,510,81,27,174.32162,92.302,16090.2342,25229.5,510,510,True,none,40,61.522,27,True,11,1.918,29,91.615,92.578,ok,57.602,60.923,34.7,16090.2342,6048.9602,10041.274,0.6241,1.2852,5470.0381
1,1024,16384,16384,510,81,27,22.471718,89.118,2002.6345,24464.3,510,510,True,none,40,61.522,27,True,88,1.978,30,88.251,89.655,ok,57.602,60.923,31.516,2002.6346,708.2187,1294.4159,0.6464,1.1673,633.5901
1,8192,8192,8192,510,81,27,44.169988,90.481,3996.5447,24892.7,510,510,True,none,40,61.522,27,True,45,1.988,30,89.985,90.576,ok,57.602,60.923,32.879,3996.5447,1452.265,2544.2796,0.6366,1.2177,1305.5765
1,4096,8192,8192,510,81,27,22.229549,90.253,2006.2835,24730.9,510,510,True,none,40,61.522,27,True,89,1.978,30,89.891,90.576,ok,57.602,60.923,32.651,2006.2835,725.817,1280.4665,0.6382,1.2093,651.9927
1,1024,8192,8192,510,81,27,6.029762,83.609,504.1424,22793.4,510,510,True,none,40,61.522,27,True,330,1.99,30,83.287,83.878,ok,57.602,60.923,26.007,504.1424,156.816,347.3264,0.6889,0.9632,136.7912
1,4096,16384,16384,510,27,81,27.825238,137.423,3823.8276,79029.8,510,510,True,none,43,61.79,81,True,71,1.976,30,135.699,138.013,ok,57.602,60.923,79.821,3823.8277,2221.0383,1602.7894,0.4192,0.9854,2128.6307
1,8192,8192,8192,510,27,81,14.10459,135.171,1906.5316,77954.2,510,510,True,none,43,61.79,81,True,140,1.975,30,134.243,136.431,ok,57.602,60.923,77.569,1906.5315,1094.0789,812.4526,0.4261,0.9576,1047.2376
1,1024,8192,8192,510,27,81,2.001994,127.14,254.5336,68651.0,510,510,True,none,43,61.79,81,True,970,1.942,29,126.55,127.409,ok,57.602,60.923,69.538,254.5335,139.2147,115.3189,0.4531,0.8585,132.566
1,2048,8192,8192,510,27,81,3.813202,127.874,487.6094,72085.8,510,510,True,none,43,61.79,81,True,515,1.964,30,127.276,128.874,ok,57.602,60.923,70.272,487.6094,267.9613,219.6481,0.4505,0.8676,255.2977
1,1024,4096,4096,510,27,81,0.585328,117.458,68.7515,58701.7,510,510,True,none,43,61.79,81,True,3081,1.803,26,117.137,117.581,ok,57.602,60.923,59.856,68.7515,35.0354,33.7161,0.4904,0.739,33.0915
1,4096,4096,4096,510,27,81,1.960306,127.276,249.4999,70111.0,510,510,True,none,43,61.79,81,True,987,1.935,29,127.008,127.739,ok,57.602,60.923,69.674,249.4999,136.5824,112.9175,0.4526,0.8602,130.0722
1,8192,16384,16384,510,27,81,55.621932,138.157,7684.5592,79070.4,510,510,True,none,44,61.79,81,True,35,1.947,29,136.557,138.879,ok,57.602,60.923,80.555,7684.5593,4480.6247,3203.9345,0.4169,0.9945,4295.9043
