rep,m,n,k,freq_req_mhz,n_squat,sm_avail,latency_ms,power_w,energy_mj,gflops,clock_sm_med,clock_sm_min,clock_held,throttle,temp_c,p_squat_w,probe_sm_count,probe_ok,iters,window_s,n_samples,power_min_w,power_max_w,status
1,1024,16384,16384,1140,27,81,3.363365,241.812,813.3021,163454.1,1140,1140,True,none,50,71.469,81,True,576,1.937,29,239.143,245.896,ok
1,2048,4096,4096,1140,27,81,0.510078,214.581,109.4531,134723.4,1140,1140,True,none,50,71.469,81,True,3579,1.826,27,213.382,215.448,ok
1,8192,4096,4096,1140,27,81,1.663193,248.836,413.8624,165271.2,1140,1140,True,none,52,71.469,81,True,1181,1.964,30,247.637,250.848,ok
1,1024,4096,4096,1140,27,81,0.262119,213.517,55.9668,131084.7,1140,1140,True,none,51,71.469,81,True,6322,1.657,24,213.111,213.978,ok
1,4096,4096,4096,1140,27,81,0.882922,239.468,211.4316,155663.8,1140,1140,True,none,53,71.469,81,True,2172,1.918,29,237.998,240.613,ok
1,2048,8192,8192,1140,27,81,1.710089,243.228,415.9416,160738.9,1140,1140,True,none,53,71.469,81,True,1143,1.955,29,241.208,245.293,ok
1,2048,16384,16384,1140,27,81,6.391849,258.803,1654.2296,172017.8,1140,1140,True,none,54,71.469,81,True,306,1.956,29,256.41,261.686,ok
1,8192,16384,16384,1140,27,81,24.870071,268.71,6682.8369,176840.9,1140,1140,True,none,55,71.469,81,True,80,1.99,30,262.883,271.972,ok
1,4096,8192,8192,1140,27,81,3.240792,255.001,826.4052,169636.3,1140,1140,True,none,55,71.469,81,True,609,1.974,30,249.981,258.746,ok
1,1024,8192,8192,1140,27,81,0.917527,238.872,219.1715,149792.8,1140,1140,True,none,54,71.469,81,True,2093,1.92,29,237.402,240.009,ok
1,8192,8192,8192,1140,27,81,6.317124,263.759,1666.1983,174052.6,1140,1140,True,none,56,71.469,81,True,313,1.977,30,262.883,265.229,ok
1,4096,16384,16384,1140,27,81,12.457318,268.162,3340.5793,176524.6,1140,1140,True,none,56,71.469,81,True,159,1.981,30,266.103,270.503,ok
1,1024,16384,16384,1140,81,27,9.587547,142.988,1370.9041,57340.6,1140,1140,True,none,47,74.691,27,True,206,1.975,30,142.528,143.394,ok
1,8192,8192,8192,1140,81,27,19.1873,145.468,2791.1382,57304.1,1140,1140,True,none,47,74.691,27,True,103,1.976,30,144.594,145.739,ok
1,1024,8192,8192,1140,81,27,2.621601,129.949,340.6745,52425.6,1140,1140,True,none,47,74.691,27,True,729,1.911,29,129.671,130.274,ok
1,2048,8192,8192,1140,81,27,4.883303,143.998,703.1858,56289.3,1140,1140,True,none,47,74.691,27,True,407,1.988,30,142.853,144.594,ok
1,2048,16384,16384,1140,81,27,19.155504,147.812,2831.4133,57399.3,1140,1140,True,none,47,74.691,27,True,103,1.973,29,146.938,148.407,ok
1,4096,16384,16384,1140,81,27,37.858522,149.011,5641.3362,58085.3,1140,1140,True,none,47,74.691,27,True,52,1.969,30,148.678,149.552,ok
1,1024,4096,4096,1140,81,27,0.686417,125.865,86.3959,50056.6,1140,1140,True,none,46,74.691,27,True,2562,1.759,26,125.586,126.46,ok
1,2048,4096,4096,1140,81,27,1.263357,131.141,165.6779,54394.3,1140,1140,True,none,46,74.691,27,True,1526,1.928,29,130.816,131.419,ok
1,8192,4096,4096,1140,81,27,4.981163,132.889,661.9418,55183.5,1140,1140,True,none,46,74.691,27,True,397,1.978,30,132.015,133.16,ok
1,4096,8192,8192,1140,81,27,9.704766,143.394,1391.6053,56648.0,1140,1140,True,none,46,74.691,27,True,204,1.98,30,142.528,143.998,ok
