rep,m,n,k,freq_req_mhz,n_squat,sm_avail,latency_ms,power_w,energy_mj,gflops,clock_sm_med,clock_sm_min,clock_held,throttle,temp_c,p_squat_w,probe_sm_count,probe_ok,iters,window_s,n_samples,power_min_w,power_max_w,status
1,2048,16384,16384,510,81,27,43.871071,91.98,4035.2611,25062.3,510,510,True,none,40,61.522,27,True,45,1.974,30,91.025,92.578,ok
1,2048,8192,8192,510,81,27,11.385541,89.386,1017.708,24142.7,510,510,True,none,40,61.522,27,True,173,1.97,30,88.703,89.655,ok
1,8192,4096,4096,510,81,27,11.380061,85.247,970.1161,24154.3,510,510,True,none,40,61.522,27,True,173,1.969,30,84.925,85.336,ok
1,4096,4096,4096,510,81,27,5.842527,84.476,493.5533,23523.9,510,510,True,none,40,61.522,27,True,338,1.975,30,83.878,85.013,ok
1,2048,4096,4096,510,81,27,3.145064,82.689,260.0622,21849.9,510,510,True,none,40,61.522,27,True,642,2.019,31,82.334,83.019,ok
1,1024,4096,4096,510,81,27,1.582369,82.152,129.9948,21714.1,510,510,True,none,40,61.522,27,True,1180,1.867,28,81.83,82.42,ok
1,4096,16384,16384,510,81,27,87.276581,92.302,8055.803,25196.0,510,510,True,none,40,61.522,27,True,22,1.92,29,91.347,92.803,ok
1,8192,16384,16384,510,81,27,174.32162,92.302,16090.2342,25229.5,510,510,True,none,40,61.522,27,True,11,1.918,29,91.615,92.578,ok
1,1024,16384,16384,510,81,27,22.471718,89.118,2002.6345,24464.3,510,510,True,none,40,61.522,27,True,88,1.978,30,88.251,89.655,ok
1,8192,8192,8192,510,81,27,44.169988,90.481,3996.5447,24892.7,510,510,True,none,40,61.522,27,True,45,1.988,30,89.985,90.576,ok
1,4096,8192,8192,510,81,27,22.229549,90.253,2006.2835,24730.9,510,510,True,none,40,61.522,27,True,89,1.978,30,89.891,90.576,ok
1,1024,8192,8192,510,81,27,6.029762,83.609,504.1424,22793.4,510,510,True,none,40,61.522,27,True,330,1.99,30,83.287,83.878,ok
1,4096,16384,16384,510,27,81,27.825238,137.423,3823.8276,79029.8,510,510,True,none,43,61.79,81,True,71,1.976,30,135.699,138.013,ok
1,8192,8192,8192,510,27,81,14.10459,135.171,1906.5316,77954.2,510,510,True,none,43,61.79,81,True,140,1.975,30,134.243,136.431,ok
1,1024,8192,8192,510,27,81,2.001994,127.14,254.5336,68651.0,510,510,True,none,43,61.79,81,True,970,1.942,29,126.55,127.409,ok
1,2048,8192,8192,510,27,81,3.813202,127.874,487.6094,72085.8,510,510,True,none,43,61.79,81,True,515,1.964,30,127.276,128.874,ok
1,1024,4096,4096,510,27,81,0.585328,117.458,68.7515,58701.7,510,510,True,none,43,61.79,81,True,3081,1.803,26,117.137,117.581,ok
