rep,freq_req_mhz,n_squat,sm_idle,power_w,power_min_w,power_max_w,clock_sm_med,clock_sm_min,clock_sm_max,clock_held,pstate,temp_c,throttle,n_samples,window_s,status
1,510,108,0,60.923,60.86,60.923,510,510,510,True,0,37,none,119,6.0,ok
1,510,54,54,60.923,60.923,60.923,510,510,510,True,0,37,none,120,6.0,ok
1,510,1,107,60.923,60.86,60.923,510,510,510,True,0,37,none,120,6.0,ok
1,510,94,14,60.923,60.86,60.923,510,510,510,True,0,37,none,120,6.0,ok
1,510,14,94,60.923,60.86,60.923,510,510,510,True,0,37,none,120,6.0,ok
1,510,27,81,60.923,60.655,60.923,510,510,510,True,0,37,none,120,6.0,ok
1,510,81,27,60.923,60.86,60.923,510,510,510,True,0,37,none,120,6.0,ok
1,510,0,108,59.466,59.197,59.466,510,510,510,True,0,37,none,120,6.0,ok
1,1410,54,54,88.251,87.837,88.251,1410,1410,1410,True,0,39,none,120,6.0,ok
1,1410,81,27,88.527,88.159,88.527,1410,1410,1410,True,0,40,none,120,6.0,ok
1,1410,108,0,88.527,88.435,88.796,1410,1410,1410,True,0,40,none,120,6.0,ok
1,1410,27,81,88.527,88.435,88.527,1410,1410,1410,True,0,40,none,120,6.0,ok
1,1410,94,14,88.796,88.435,88.796,1410,1410,1410,True,0,40,none,120,6.0,ok
1,1410,14,94,88.527,88.435,88.796,1410,1410,1410,True,0,40,none,120,6.0,ok
1,1410,1,107,88.527,88.435,88.796,1410,1410,1410,True,0,40,none,120,6.0,ok
1,1410,0,108,81.553,81.2,81.83,1410,1410,1410,True,0,39,none,120,6.0,ok
1,1200,27,81,73.13,72.539,73.398,1200,1200,1200,True,0,39,none,120,6.0,ok
1,1200,108,0,72.861,72.463,73.398,1200,1200,1200,True,0,39,none,120,6.0,ok
1,1200,54,54,72.539,72.463,73.13,1200,1200,1200,True,0,39,none,120,6.0,ok
1,1200,81,27,73.091,72.539,73.13,1200,1200,1200,True,0,39,none,120,6.0,ok
1,1200,0,108,68.219,67.89,68.756,1200,1200,1200,True,0,38,none,120,6.0,ok
1,1200,14,94,72.861,72.463,73.13,1200,1200,1200,True,0,39,none,120,6.0,ok
1,1200,94,14,73.13,72.539,73.13,1200,1200,1200,True,0,39,none,120,6.0,ok
1,1200,1,107,72.539,72.27,73.13,1200,1200,1200,True,0,39,none,120,6.0,ok
1,705,14,94,62.381,62.381,62.703,705,705,705,True,0,38,none,120,6.0,ok
1,705,54,54,62.381,62.381,62.381,705,705,705,True,0,38,none,120,6.0,ok
1,705,27,81,62.381,62.381,62.381,705,705,705,True,0,38,none,120,6.0,ok
1,705,0,108,60.386,60.064,60.386,705,705,705,True,0,37,none,120,6.0,ok
1,705,108,0,62.381,62.381,62.381,705,705,705,True,0,38,none,120,6.0,ok
1,705,1,107,62.381,62.113,62.381,705,705,705,True,0,38,none,120,6.0,ok
1,705,81,27,62.381,62.113,62.381,705,705,705,True,0,38,none,119,6.0,ok
1,705,94,14,62.113,62.113,62.381,705,705,705,True,0,37,none,120,6.0,ok
1,300,14,94,59.788,59.788,59.788,300,300,300,True,0,37,none,120,6.0,ok
1,300,0,108,58.929,58.929,58.929,300,300,300,True,0,37,none,120,6.0,ok
1,300,108,0,59.788,59.788,59.788,300,300,300,True,0,37,none,120,6.0,ok
1,300,94,14,59.788,59.788,59.788,300,300,300,True,0,37,none,120,6.0,ok
1,300,81,27,59.788,59.788,59.788,300,300,300,True,0,37,none,120,6.0,ok
1,300,1,107,59.788,59.788,59.788,300,300,300,True,0,37,none,120,6.0,ok
1,300,54,54,59.788,59.788,59.788,300,300,300,True,0,37,none,120,6.0,ok
1,300,27,81,59.788,59.788,59.788,300,300,300,True,0,37,none,120,6.0,ok
1,900,0,108,61.79,61.458,61.79,900,900,900,True,0,37,none,120,6.0,ok
1,900,81,27,64.437,64.437,64.437,900,900,900,True,0,38,none,120,6.0,ok
1,900,27,81,64.437,64.437,64.437,900,900,900,True,0,38,none,119,6.0,ok
1,900,54,54,64.437,64.437,64.437,900,900,900,True,0,38,none,120,6.0,ok
1,900,94,14,64.437,64.37,64.437,900,900,900,True,0,38,none,120,6.0,ok
1,900,14,94,64.437,64.115,64.437,900,900,900,True,0,38,none,120,6.0,ok
1,900,1,107,64.437,64.115,64.437,900,900,900,True,0,38,none,120,6.0,ok
1,900,108,0,64.437,64.437,64.437,900,900,900,True,0,38,none,120,6.0,ok
2,900,1,107,64.437,64.115,64.437,900,900,900,True,0,38,none,120,6.0,ok
2,900,0,108,61.79,61.522,61.79,900,900,900,True,0,37,none,120,6.0,ok
2,900,14,94,64.437,64.115,64.437,900,900,900,True,0,38,none,120,6.0,ok
2,900,54,54,64.437,64.437,64.437,900,900,900,True,0,38,none,120,6.0,ok
2,900,27,81,64.437,64.437,64.437,900,900,900,True,0,38,none,120,6.0,ok
2,900,108,0,64.437,64.437,64.437,900,900,900,True,0,38,none,120,6.0,ok
2,900,94,14,64.437,64.37,64.437,900,900,900,True,0,38,none,120,6.0,ok
2,900,81,27,64.437,64.37,64.437,900,900,900,True,0,38,none,120,6.0,ok
2,1200,54,54,72.27,72.27,73.13,1200,1200,1200,True,0,38,none,120,6.0,ok
2,1200,27,81,72.539,72.27,73.13,1200,1200,1200,True,0,38,none,120,6.0,ok
2,1200,94,14,73.13,72.539,73.13,1200,1200,1200,True,0,39,none,120,6.0,ok
2,1200,81,27,73.13,72.539,73.13,1200,1200,1200,True,0,39,none,120,6.0,ok
2,1200,108,0,73.13,72.539,73.13,1200,1200,1200,True,0,39,none,120,6.0,ok
2,1200,1,107,72.861,72.27,73.13,1200,1200,1200,True,0,39,none,120,6.0,ok
2,1200,0,108,68.219,67.89,68.756,1200,1200,1200,True,0,38,none,119,6.0,ok
2,1200,14,94,72.861,72.27,73.13,1200,1200,1200,True,0,38,none,120,6.0,ok
2,510,81,27,60.923,60.923,61.246,510,510,510,True,0,38,none,120,6.0,ok
2,510,14,94,60.923,60.86,60.923,510,510,510,True,0,38,none,120,6.0,ok
2,510,94,14,60.923,60.86,60.923,510,510,510,True,0,37,none,120,6.0,ok
2,510,0,108,59.466,59.466,59.466,510,510,510,True,0,37,none,118,6.0,ok
2,510,108,0,60.923,60.86,60.923,510,510,510,True,0,37,none,119,6.0,ok
2,510,54,54,60.923,60.655,60.923,510,510,510,True,0,37,none,120,6.0,ok
2,510,1,107,60.655,60.655,60.923,510,510,510,True,0,37,none,120,6.0,ok
2,510,27,81,60.655,60.655,60.923,510,510,510,True,0,37,none,120,6.0,ok
2,1410,0,108,80.694,80.372,80.963,1410,1410,1410,True,0,38,none,120,6.0,ok
2,1410,108,0,88.251,88.159,88.527,1410,1410,1410,True,0,39,none,120,6.0,ok
2,1410,14,94,88.251,88.159,88.527,1410,1410,1410,True,0,40,none,120,6.0,ok
2,1410,94,14,88.527,88.435,89.386,1410,1410,1410,True,0,40,none,120,6.0,ok
