clock_req_mhz,t_since_heat_s,temp_c,power_w,clock_sm,throttle
1200,1.2,44,71.912,1200,0
1200,1.26,44,71.912,1200,0
1200,1.31,44,71.912,1200,0
1200,1.36,44,71.912,1200,0
1200,1.41,44,71.912,1200,0
1200,1.46,43,71.912,1200,0
1200,1.51,43,71.912,1200,0
1200,1.56,43,71.912,1200,0
1200,1.61,43,71.912,1200,0
1200,1.66,43,71.912,1200,0
1200,1.71,43,71.912,1200,0
1200,1.76,43,71.713,1200,0
1200,1.81,43,71.713,1200,0
1200,1.86,43,71.64,1200,0
1200,1.91,43,71.64,1200,0
1200,1.96,43,71.64,1200,0
1200,2.01,43,71.64,1200,0
1200,2.06,43,71.64,1200,0
1200,2.11,43,71.64,1200,0
1200,2.16,43,71.64,1200,0
1200,2.21,43,71.64,1200,0
1200,2.26,43,71.64,1200,0
1200,2.31,43,71.64,1200,0
1200,2.37,43,71.312,1200,0
1200,2.42,43,71.312,1200,0
1200,2.47,42,71.64,1200,0
1200,2.52,42,71.64,1200,0
1200,2.57,42,71.312,1200,0
1200,2.62,42,71.312,1200,0
1200,2.67,42,71.312,1200,0
1200,2.72,42,71.312,1200,0
1200,2.77,42,71.312,1200,0
1200,2.82,42,71.312,1200,0
1200,2.87,42,71.386,1200,0
1200,2.92,42,71.312,1200,0
1200,2.97,42,71.312,1200,0
1200,3.02,42,71.312,1200,0
1200,3.07,42,71.312,1200,0
1200,3.12,42,71.312,1200,0
1200,3.17,42,71.312,1200,0
1200,3.22,42,71.312,1200,0
1200,3.27,42,71.312,1200,0
1200,3.32,42,71.312,1200,0
1200,3.37,42,71.312,1200,0
1200,3.42,42,71.312,1200,0
1200,3.47,42,71.312,1200,0
1200,3.52,42,71.04,1200,0
1200,3.57,42,71.04,1200,0
1200,3.62,42,71.04,1200,0
1200,3.67,42,71.04,1200,0
1200,3.72,42,71.312,1200,0
1200,3.77,42,71.312,1200,0
1200,3.82,42,71.04,1200,0
1200,3.87,42,71.04,1200,0
1200,3.92,42,71.04,1200,0
1200,3.98,42,71.04,1200,0
1200,4.03,42,71.04,1200,0
1200,4.08,42,71.04,1200,0
1200,4.13,41,71.04,1200,0
1200,4.18,41,71.04,1200,0
1200,4.23,41,71.04,1200,0
1200,4.28,41,71.04,1200,0
1200,4.33,41,71.113,1200,0
1200,4.38,41,71.113,1200,0
1200,4.43,41,71.04,1200,0
1200,4.48,41,71.04,1200,0
1200,4.53,41,71.04,1200,0
1200,4.58,41,71.04,1200,0
1200,4.63,41,71.04,1200,0
1200,4.68,41,71.04,1200,0
1200,4.73,41,71.04,1200,0
1200,4.78,41,71.04,1200,0
1200,4.83,41,71.113,1200,0
1200,4.88,41,71.113,1200,0
1200,4.93,41,71.04,1200,0
1200,4.98,41,71.04,1200,0
1200,5.03,41,70.767,1200,0
1200,5.08,41,70.767,1200,0
1200,5.13,41,70.84,1200,0
1200,5.18,41,70.84,1200,0
1200,5.23,41,70.84,1200,0
1200,5.28,41,70.84,1200,0
1200,5.33,41,71.113,1200,0
1200,5.38,41,71.113,1200,0
1200,5.43,41,70.767,1200,0
1200,5.48,41,70.767,1200,0
1200,5.53,41,70.767,1200,0
1200,5.58,41,70.767,1200,0
1200,5.63,41,70.84,1200,0
1200,5.69,41,70.84,1200,0
1200,5.74,41,70.767,1200,0
1200,5.79,41,70.767,1200,0
1200,5.84,41,70.767,1200,0
1200,5.89,41,70.767,1200,0
1200,5.94,41,70.767,1200,0
1200,5.99,41,70.767,1200,0
1200,6.04,41,70.767,1200,0
1200,6.09,41,70.767,1200,0
1200,6.14,41,70.767,1200,0
1200,6.19,41,70.767,1200,0
1200,6.24,41,70.767,1200,0
1200,6.29,41,70.767,1200,0
1200,6.34,41,70.84,1200,0
1200,6.39,41,70.84,1200,0
1200,6.44,41,70.767,1200,0
1200,6.49,41,70.767,1200,0
1200,6.54,40,70.767,1200,0
1200,6.59,40,70.767,1200,0
1200,6.64,40,70.767,1200,0
1200,6.69,40,70.767,1200,0
1200,6.74,40,70.767,1200,0
1200,6.79,40,70.767,1200,0
1200,6.84,40,70.767,1200,0
1200,6.89,40,70.767,1200,0
1200,6.94,40,70.767,1200,0
1200,6.99,40,70.767,1200,0
1200,7.04,40,70.767,1200,0
1200,7.09,40,70.767,1200,0
1200,7.14,40,70.767,1200,0
1200,7.19,40,70.767,1200,0
1200,7.24,40,70.767,1200,0
1200,7.3,40,70.767,1200,0
1200,7.35,40,70.767,1200,0
1200,7.4,40,70.767,1200,0
1200,7.45,40,70.767,1200,0
1200,7.5,40,70.767,1200,0
1200,7.55,40,70.84,1200,0
1200,7.6,40,70.84,1200,0
1200,7.65,40,70.84,1200,0
1200,7.7,40,70.84,1200,0
1200,7.75,40,70.767,1200,0
1200,7.8,40,70.767,1200,0
1200,7.85,40,70.432,1200,0
1200,7.9,40,70.432,1200,0
1200,7.95,40,70.767,1200,0
1200,8.0,40,70.767,1200,0
1200,8.05,40,70.432,1200,0
1200,8.1,40,70.432,1200,0
1200,8.15,40,70.767,1200,0
1200,8.2,40,70.767,1200,0
1200,8.25,40,70.432,1200,0
1200,8.3,40,70.432,1200,0
1200,8.35,40,70.432,1200,0
1200,8.4,40,70.432,1200,0
1200,8.45,40,70.432,1200,0
1200,8.5,40,70.432,1200,0
1200,8.55,40,70.432,1200,0
1200,8.6,40,70.432,1200,0
1200,8.65,40,70.432,1200,0
1200,8.7,40,70.432,1200,0
1200,8.75,40,70.432,1200,0
1200,8.8,40,70.432,1200,0
1200,8.85,40,70.432,1200,0
1200,8.9,40,70.432,1200,0
1200,8.95,40,70.432,1200,0
1200,9.01,40,70.432,1200,0
1200,9.06,40,70.432,1200,0
1200,9.11,40,70.432,1200,0
1200,9.16,40,70.432,1200,0
1200,9.21,40,70.432,1200,0
1200,9.26,40,70.432,1200,0
1200,9.31,40,70.432,1200,0
1200,9.36,40,70.432,1200,0
1200,9.41,40,70.432,1200,0
1200,9.46,40,70.432,1200,0
1200,9.51,40,70.432,1200,0
1200,9.56,40,70.432,1200,0
1200,9.61,40,70.432,1200,0
1200,9.66,40,70.432,1200,0
1200,9.71,40,70.432,1200,0
1200,9.76,40,70.432,1200,0
1200,9.81,40,70.432,1200,0
1200,9.86,40,70.432,1200,0
1200,9.91,40,70.432,1200,0
1200,9.96,40,70.432,1200,0
1200,10.01,40,70.432,1200,0
1200,10.06,40,70.432,1200,0
1200,10.11,40,70.432,1200,0
1200,10.16,39,70.432,1200,0
1200,10.21,39,70.432,1200,0
1200,10.26,39,70.504,1200,0
1200,10.31,39,70.504,1200,0
1200,10.36,39,70.432,1200,0
1200,10.41,39,70.432,1200,0
1200,10.46,39,70.432,1200,0
1200,10.51,39,70.432,1200,0
1200,10.56,39,70.432,1200,0
1200,10.61,39,70.432,1200,0
1200,10.66,39,70.432,1200,0
1200,10.71,39,70.432,1200,0
1200,10.77,39,70.159,1200,0
1200,10.82,39,70.159,1200,0
1200,10.87,39,70.432,1200,0
1200,10.92,39,70.432,1200,0
1200,10.97,39,70.231,1200,0
1200,11.02,39,70.231,1200,0
1200,11.07,39,70.432,1200,0
1200,11.12,39,70.432,1200,0
1200,11.17,39,70.231,1200,0
1200,11.22,39,70.231,1200,0
1200,11.27,39,70.231,1200,0
1200,11.32,39,70.231,1200,0
1200,11.37,39,70.159,1200,0
1200,11.42,39,70.159,1200,0
1200,11.47,39,70.231,1200,0
1200,11.52,39,70.231,1200,0
1200,11.57,39,70.231,1200,0
1200,11.62,39,70.231,1200,0
1200,11.67,39,70.231,1200,0
1200,11.72,39,70.159,1200,0
1200,11.77,39,70.159,1200,0
1200,11.82,39,70.231,1200,0
1200,11.87,39,70.231,1200,0
1200,11.92,39,70.159,1200,0
1200,11.97,39,70.159,1200,0
1200,12.02,39,70.159,1200,0
1200,12.07,39,70.159,1200,0
1200,12.12,39,70.159,1200,0
1200,12.17,39,70.159,1200,0
1200,12.22,39,70.159,1200,0
1200,12.27,39,70.159,1200,0
1200,12.32,39,70.159,1200,0
1200,12.37,39,70.159,1200,0
1200,12.43,39,70.159,1200,0
1200,12.48,39,70.159,1200,0
1200,12.53,39,70.159,1200,0
1200,12.58,39,70.159,1200,0
1200,12.63,39,70.159,1200,0
1200,12.68,39,70.159,1200,0
1200,12.73,39,70.159,1200,0
1200,12.78,39,70.159,1200,0
1200,12.83,39,70.159,1200,0
1200,12.88,39,70.159,1200,0
1200,12.93,39,70.159,1200,0
1200,12.98,39,70.159,1200,0
1200,13.03,39,70.231,1200,0
1200,13.08,39,70.231,1200,0
1200,13.13,39,70.159,1200,0
1200,13.18,39,70.159,1200,0
1200,13.23,39,70.231,1200,0
1200,13.28,39,70.231,1200,0
1200,13.33,39,69.904,1200,0
1200,13.38,39,69.904,1200,0
1200,13.43,39,70.159,1200,0
1200,13.48,39,70.159,1200,0
1200,13.53,39,70.159,1200,0
1200,13.58,39,70.159,1200,0
1200,13.63,39,70.231,1200,0
1200,13.68,39,70.231,1200,0
1200,13.73,39,70.159,1200,0
1200,13.78,39,70.159,1200,0
1200,13.83,39,70.159,1200,0
1200,13.88,39,70.159,1200,0
1200,13.93,39,70.159,1200,0
1200,13.98,39,70.159,1200,0
1200,14.03,39,70.159,1200,0
1200,14.08,39,70.159,1200,0
1200,14.14,39,70.159,1200,0
1200,14.19,39,70.159,1200,0
1200,14.24,39,69.832,1200,0
1200,14.29,39,69.832,1200,0
1200,14.34,39,70.159,1200,0
1200,14.39,39,70.159,1200,0
1200,14.44,39,69.832,1200,0
1200,14.49,39,69.832,1200,0
1200,14.54,39,69.904,1200,0
1200,14.59,39,69.904,1200,0
1200,14.64,39,69.832,1200,0
1200,14.69,39,69.832,1200,0
1200,14.74,39,69.832,1200,0
1200,14.79,39,69.832,1200,0
1200,14.84,39,69.832,1200,0
1200,14.89,39,69.832,1200,0
1200,14.94,39,69.904,1200,0
1200,14.99,39,69.904,1200,0
1200,15.04,38,69.832,1200,0
1200,15.09,38,69.832,1200,0
1200,15.14,38,69.832,1200,0
1200,15.19,38,69.832,1200,0
1200,15.24,38,69.832,1200,0
1200,15.29,38,69.832,1200,0
1200,15.34,38,69.832,1200,0
1200,15.39,38,69.832,1200,0
1200,15.44,38,69.832,1200,0
1200,15.49,38,69.832,1200,0
1200,15.54,38,69.832,1200,0
1200,15.59,38,69.832,1200,0
1200,15.64,38,69.832,1200,0
1200,15.69,38,69.832,1200,0
1200,15.74,38,69.832,1200,0
1200,15.79,38,69.832,1200,0
1200,15.85,38,69.832,1200,0
1200,15.9,38,69.832,1200,0
1200,15.95,38,69.832,1200,0
1200,16.0,38,69.832,1200,0
1200,16.05,38,69.832,1200,0
1200,16.1,38,69.832,1200,0
1200,16.15,38,69.904,1200,0
1200,16.2,38,69.904,1200,0
1200,16.25,38,69.904,1200,0
1200,16.3,38,69.904,1200,0
1200,16.35,38,69.832,1200,0
1200,16.4,38,69.832,1200,0
1200,16.45,38,69.832,1200,0
1200,16.5,38,69.832,1200,0
1200,16.55,38,69.832,1200,0
1200,16.6,38,69.832,1200,0
1200,16.65,38,69.832,1200,0
1200,16.7,38,69.832,1200,0
1200,16.75,38,69.832,1200,0
1200,16.8,38,69.832,1200,0
1200,16.85,38,69.832,1200,0
1200,16.9,38,69.832,1200,0
1200,16.95,38,69.904,1200,0
1200,17.0,38,69.904,1200,0
1200,17.05,38,69.904,1200,0
1200,17.1,38,69.904,1200,0
1200,17.15,38,69.832,1200,0
1200,17.2,38,69.832,1200,0
1200,17.25,38,69.904,1200,0
1200,17.3,38,69.904,1200,0
1200,17.35,38,69.904,1200,0
1200,17.4,38,69.904,1200,0
1200,17.45,38,69.832,1200,0
1200,17.51,38,69.832,1200,0
1200,17.56,38,69.832,1200,0
1200,17.61,38,69.832,1200,0
1200,17.66,38,69.832,1200,0
1200,17.71,38,69.832,1200,0
1200,17.76,38,69.904,1200,0
1200,17.81,38,69.904,1200,0
1200,17.86,38,69.832,1200,0
1200,17.91,38,69.832,1200,0
1200,17.96,38,69.832,1200,0
1200,18.01,38,69.832,1200,0
1200,18.06,38,69.904,1200,0
