rep,freq_req_mhz,time_s,energy_j,power_w,clock_sm_after,temp_c_after,pstate_after,wall_s
1,1410,60.003,5126.489,85.437,1410,35,P0,66.3
1,1200,60.003,4179.751,69.659,1200,34,P0,66.9
1,900,60.003,3681.568,61.356,900,33,P0,67.0
1,705,60.003,3556.89,59.278,705,33,P0,67.5
1,510,60.004,3455.954,57.596,510,33,P0,68.7
1,300,60.004,3381.537,56.355,300,33,P0,70.2
2,1410,60.003,5122.568,85.372,1410,35,P0,66.4
2,1200,60.003,4187.611,69.79,1200,34,P0,66.5
2,900,60.003,3681.408,61.354,900,33,P0,67.0
2,705,60.003,3562.776,59.376,705,33,P0,67.5
2,510,60.003,3456.289,57.602,510,33,P0,68.3
2,300,60.004,3382.202,56.366,300,32,P0,70.2
3,1410,60.003,5118.37,85.302,1410,35,P0,66.4
3,1200,60.003,4178.912,69.645,1200,34,P0,66.5
3,900,60.003,3695.961,61.596,900,33,P0,67.0
3,705,60.003,3576.856,59.612,705,33,P0,67.5
3,510,60.004,3472.49,57.871,510,33,P0,68.6
3,300,60.004,3401.302,56.685,300,33,P0,70.2
