rep,m,n,k,sm,tiles,waves,s_eff,pred_w,latency_ms,iters,p_poll,p_energy,p_buffered,n_poll,n_buf
1,256,4096,8192,108,32,1,32.0,167.1,0.11066,27110,288.34,284.03,288.94,104,87
1,512,4096,8192,108,64,1,64.0,252.4,0.18558,16165,312.11,317.0,312.11,107,87
1,768,4096,8192,108,96,1,96.0,337.7,0.2391,12546,318.88,311.73,319.15,108,87
1,1024,4096,8192,108,128,2,64.0,252.4,0.37581,7982,285.39,288.83,285.39,109,88
1,1280,4096,8192,108,160,2,80.0,295.0,0.46972,6386,285.71,287.4,285.56,109,88
1,1536,4096,8192,108,192,2,96.0,337.7,0.47141,6363,324.45,326.14,324.45,109,88
1,1792,4096,8192,108,224,3,74.67,280.8,0.61786,4855,304.51,306.92,304.51,109,88
1,2048,4096,8192,108,256,3,85.33,309.2,0.62261,4818,328.28,329.75,328.55,109,88
1,2304,4096,8192,108,288,3,96.0,337.7,0.70279,4268,325.93,327.95,325.93,109,88
1,2560,4096,8192,108,320,3,106.67,366.1,0.70549,4252,351.73,352.68,351.73,109,88
1,2816,4096,8192,108,352,4,88.0,316.4,0.93307,3215,309.76,311.9,310.08,109,88
1,3072,4096,8192,108,384,4,96.0,337.7,0.93447,3210,325.05,325.49,324.75,109,88
1,3328,4096,8192,108,416,4,104.0,359.0,0.936,3205,346.44,336.95,346.71,109,88
1,3584,4096,8192,108,448,5,89.6,320.6,1.16195,2581,310.96,312.09,310.69,109,88
1,3840,4096,8192,108,480,5,96.0,337.7,1.16503,2575,329.15,330.06,329.15,109,88
1,4096,4096,8192,108,512,5,102.4,354.7,1.16659,2571,341.14,342.31,341.14,109,88
2,256,4096,8192,108,32,1,32.0,167.1,0.11107,27010,298.94,301.82,298.94,104,87
2,512,4096,8192,108,64,1,64.0,252.4,0.18432,16275,321.37,325.49,321.23,108,87
2,768,4096,8192,108,96,1,96.0,337.7,0.23865,12570,326.94,319.01,327.06,108,88
2,1024,4096,8192,108,128,2,64.0,252.4,0.3753,7993,291.29,284.5,291.29,109,88
2,1280,4096,8192,108,160,2,80.0,295.0,0.47056,6375,291.29,293.15,290.96,109,88
2,1536,4096,8192,108,192,2,96.0,337.7,0.4708,6372,330.01,331.22,330.02,109,88
2,1792,4096,8192,108,224,3,74.67,280.8,0.61853,4850,309.21,311.85,309.19,109,88
2,2048,4096,8192,108,256,3,85.33,309.2,0.62145,4827,332.9,334.24,332.9,109,88
2,2304,4096,8192,108,288,3,96.0,337.7,0.70282,4268,330.01,331.67,330.01,109,88
2,2560,4096,8192,108,320,3,106.67,366.1,0.70451,4258,355.82,356.82,355.82,109,88
2,2816,4096,8192,108,352,4,88.0,316.4,0.93212,3218,313.58,304.08,313.03,109,88
2,3072,4096,8192,108,384,4,96.0,337.7,0.93296,3215,327.34,317.91,327.66,109,88
2,3328,4096,8192,108,416,4,104.0,359.0,0.93707,3201,349.93,351.81,349.93,109,88
2,3584,4096,8192,108,448,5,89.6,320.6,1.16154,2582,313.58,314.91,313.58,109,88
2,3840,4096,8192,108,480,5,96.0,337.7,1.16457,2576,331.16,332.2,331.16,109,88
2,4096,4096,8192,108,512,5,102.4,354.7,1.16576,2573,343.49,345.28,343.76,109,88
3,256,4096,8192,108,32,1,32.0,167.1,0.10966,27356,301.29,300.2,301.29,106,87
3,512,4096,8192,108,64,1,64.0,252.4,0.18506,16211,322.38,316.7,322.65,108,87
3,768,4096,8192,108,96,1,96.0,337.7,0.23885,12560,328.81,332.11,328.81,108,87
3,1024,4096,8192,108,128,2,64.0,252.4,0.37584,7982,293.64,297.1,293.64,109,88
3,1280,4096,8192,108,160,2,80.0,295.0,0.46924,6393,293.04,294.73,292.77,109,88
3,1536,4096,8192,108,192,2,96.0,337.7,0.471,6369,331.48,322.42,331.48,109,88
3,1792,4096,8192,108,224,3,74.67,280.8,0.61761,4857,310.69,302.66,310.69,109,88
3,2048,4096,8192,108,256,3,85.33,309.2,0.62107,4830,334.38,325.19,334.38,109,88
3,2304,4096,8192,108,288,3,96.0,337.7,0.70241,4270,331.16,333.04,331.48,109,88
3,2560,4096,8192,108,320,3,106.67,366.1,0.70403,4261,357.57,359.31,357.57,109,88
3,2816,4096,8192,108,352,4,88.0,316.4,0.93206,3218,314.45,315.32,314.46,109,88
3,3072,4096,8192,108,384,4,96.0,337.7,0.93444,3210,328.21,330.06,328.81,109,88
3,3328,4096,8192,108,416,4,104.0,359.0,0.93604,3204,350.8,352.3,351.13,109,88
3,3584,4096,8192,108,448,5,89.6,320.6,1.16094,2584,314.73,316.3,314.45,109,88
3,3840,4096,8192,108,480,5,96.0,337.7,1.16471,2575,332.36,322.71,332.36,109,88
3,4096,4096,8192,108,512,5,102.4,354.7,1.16494,2575,344.96,346.37,344.96,109,88
