m,n,k,freq_mhz,sm_count,gflop,latency_ms,power_w,energy_mj,gflops,throttled
1024,4096,4096,300,14,34.36,5.334186553955078,53.644,0.286,6441.4,False
1024,4096,4096,300,27,34.36,2.364586671193441,56.597,0.134,14531.0,False
1024,4096,4096,300,54,34.36,1.4399147033691406,54.248,0.078,23862.3,False
1024,4096,4096,300,81,34.36,0.9770666758219401,49.83,0.049,35166.2,False
1024,4096,4096,300,108,34.36,0.9705813725789388,49.551,0.048,35401.2,False
1024,4096,4096,510,14,34.36,3.152554512023926,56.318,0.178,10899.0,False
1024,4096,4096,510,27,34.36,1.399295965830485,57.135,0.08,24555.0,False
1024,4096,4096,510,54,34.36,0.8552107016245524,53.047,0.045,40176.9,False
1024,4096,4096,510,81,34.36,0.579584002494812,50.427,0.029,59283.4,False
1024,4096,4096,510,108,34.36,0.577023983001709,50.104,0.029,59546.5,False
1024,4096,4096,705,14,34.36,2.282837390899658,57.737,0.132,15051.3,False
1024,4096,4096,705,27,34.36,1.016319990158081,51.024,0.052,33808.0,False
1024,4096,4096,705,54,34.36,0.6231040159861246,51.303,0.032,55142.9,False
1024,4096,4096,705,81,34.36,0.4230826695760091,57.194,0.024,81212.8,False
1024,4096,4096,705,108,34.36,0.4222293297449748,51.303,0.022,81377.0,False
1024,4096,4096,900,14,34.36,1.7916587193806965,58.342,0.105,19177.6,False
1024,4096,4096,900,27,34.36,0.7980373700459799,53.977,0.043,43055.3,False
1024,4096,4096,900,54,34.36,0.4901546637217204,52.504,0.026,70099.8,False
1024,4096,4096,900,81,34.36,0.3331413269042969,53.977,0.018,103138.6,False
1024,4096,4096,900,108,34.36,0.33177600304285687,58.07,0.019,103563.1,False
1024,4096,4096,1200,14,34.36,1.3460480372111003,66.513,0.09,25526.4,False
1024,4096,4096,1200,27,34.36,0.6010880072911581,63.907,0.038,57162.6,False
1024,4096,4096,1200,54,34.36,0.3686399857203166,63.032,0.023,93206.8,False
1024,4096,4096,1200,81,34.36,0.2525866627693176,62.163,0.016,136031.5,False
1024,4096,4096,1200,108,34.36,0.2510506709416707,60.953,0.015,136863.8,False
1024,4096,4096,1410,14,34.36,1.1494399706522624,78.78,0.091,29892.6,False
1024,4096,4096,1410,27,34.36,0.5128533442815145,83.194,0.043,66997.2,False
1024,4096,4096,1410,54,34.36,0.31470932563145954,76.162,0.024,109179.3,False
1024,4096,4096,1410,81,34.36,0.21555199225743613,74.42,0.016,159403.5,False
1024,4096,4096,1410,108,34.36,0.21708800395329794,72.073,0.016,158275.6,False
1024,8192,8192,300,14,137.439,20.279125213623047,58.20709090909091,1.18,6777.4,False
1024,8192,8192,300,27,137.439,9.210880279541016,68.34100000000001,0.629,14921.4,False
1024,8192,8192,300,54,137.439,4.6373545328776045,79.16689999999998,0.367,29637.4,False
1024,8192,8192,300,81,137.439,3.3868799209594727,88.06460000000001,0.298,40579.8,False
1024,8192,8192,300,108,137.439,2.4415574073791504,100.91959999999999,0.246,56291.5,False
1024,8192,8192,510,14,137.439,11.948885599772135,64.9494,0.776,11502.2,False
1024,8192,8192,510,27,137.439,5.427541097005208,80.2488,0.436,25322.5,False
1024,8192,8192,510,54,137.439,2.7386881510416665,97.02529999999999,0.266,50184.2,False
1024,8192,8192,510,81,137.439,2.0019200642903647,110.2807,0.221,68653.6,False
1024,8192,8192,510,108,137.439,1.4501546223958333,134.5712,0.195,94775.4,False
1024,8192,8192,705,14,137.439,8.643754959106445,70.5545,0.61,15900.4,False
1024,8192,8192,705,27,137.439,3.932842572530111,91.37729999999999,0.359,34946.5,False
1024,8192,8192,705,54,137.439,1.9824639956156414,113.11770000000001,0.224,69327.3,False
1024,8192,8192,705,81,137.439,1.4564693768819172,124.98910000000001,0.182,94364.5,False
1024,8192,8192,705,108,137.439,1.0567680199940999,164.9664,0.174,130055.9,False
1024,8192,8192,900,14,137.439,6.771029154459636,77.3972,0.524,20298.1,False
