config_id,dtype,M,N,K,freq_mhz,dram_mhz,sm_count,mps_pct,gflop,mbytes,arith_intensity
0,bf16,1024,4096,4096,1410,1215,108,100.0,34.36,50.33,682.7
1,bf16,2048,4096,4096,1410,1215,108,100.0,68.719,67.11,1024.0
2,bf16,4096,4096,4096,1410,1215,108,100.0,137.439,100.66,1365.3
3,bf16,8192,4096,4096,1410,1215,108,100.0,274.878,167.77,1638.4
4,bf16,1024,8192,8192,1410,1215,108,100.0,137.439,167.77,819.2
5,bf16,2048,8192,8192,1410,1215,108,100.0,274.878,201.33,1365.3
6,bf16,4096,8192,8192,1410,1215,108,100.0,549.756,268.44,2048.0
7,bf16,8192,8192,8192,1410,1215,108,100.0,1099.512,402.65,2730.7
8,bf16,1024,16384,16384,1410,1215,108,100.0,549.756,603.98,910.2
9,bf16,2048,16384,16384,1410,1215,108,100.0,1099.512,671.09,1638.4
10,bf16,4096,16384,16384,1410,1215,108,100.0,2199.023,805.31,2730.7
11,bf16,8192,16384,16384,1410,1215,108,100.0,4398.047,1073.74,4096.0
12,bf16,1024,4096,4096,1410,1215,81,75.0,34.36,50.33,682.7
13,bf16,2048,4096,4096,1410,1215,81,75.0,68.719,67.11,1024.0
14,bf16,4096,4096,4096,1410,1215,81,75.0,137.439,100.66,1365.3
15,bf16,8192,4096,4096,1410,1215,81,75.0,274.878,167.77,1638.4
16,bf16,1024,8192,8192,1410,1215,81,75.0,137.439,167.77,819.2
17,bf16,2048,8192,8192,1410,1215,81,75.0,274.878,201.33,1365.3
18,bf16,4096,8192,8192,1410,1215,81,75.0,549.756,268.44,2048.0
19,bf16,8192,8192,8192,1410,1215,81,75.0,1099.512,402.65,2730.7
20,bf16,1024,16384,16384,1410,1215,81,75.0,549.756,603.98,910.2
21,bf16,2048,16384,16384,1410,1215,81,75.0,1099.512,671.09,1638.4
22,bf16,4096,16384,16384,1410,1215,81,75.0,2199.023,805.31,2730.7
23,bf16,8192,16384,16384,1410,1215,81,75.0,4398.047,1073.74,4096.0
24,bf16,1024,4096,4096,1410,1215,54,50.0,34.36,50.33,682.7
25,bf16,2048,4096,4096,1410,1215,54,50.0,68.719,67.11,1024.0
26,bf16,4096,4096,4096,1410,1215,54,50.0,137.439,100.66,1365.3
27,bf16,8192,4096,4096,1410,1215,54,50.0,274.878,167.77,1638.4
28,bf16,1024,8192,8192,1410,1215,54,50.0,137.439,167.77,819.2
29,bf16,2048,8192,8192,1410,1215,54,50.0,274.878,201.33,1365.3
30,bf16,4096,8192,8192,1410,1215,54,50.0,549.756,268.44,2048.0
31,bf16,8192,8192,8192,1410,1215,54,50.0,1099.512,402.65,2730.7
32,bf16,1024,16384,16384,1410,1215,54,50.0,549.756,603.98,910.2
33,bf16,2048,16384,16384,1410,1215,54,50.0,1099.512,671.09,1638.4
34,bf16,4096,16384,16384,1410,1215,54,50.0,2199.023,805.31,2730.7
35,bf16,8192,16384,16384,1410,1215,54,50.0,4398.047,1073.74,4096.0
36,bf16,1024,4096,4096,1410,1215,27,25.0,34.36,50.33,682.7
37,bf16,2048,4096,4096,1410,1215,27,25.0,68.719,67.11,1024.0
38,bf16,4096,4096,4096,1410,1215,27,25.0,137.439,100.66,1365.3
39,bf16,8192,4096,4096,1410,1215,27,25.0,274.878,167.77,1638.4
40,bf16,1024,8192,8192,1410,1215,27,25.0,137.439,167.77,819.2
41,bf16,2048,8192,8192,1410,1215,27,25.0,274.878,201.33,1365.3
42,bf16,4096,8192,8192,1410,1215,27,25.0,549.756,268.44,2048.0
43,bf16,8192,8192,8192,1410,1215,27,25.0,1099.512,402.65,2730.7
44,bf16,1024,16384,16384,1410,1215,27,25.0,549.756,603.98,910.2
45,bf16,2048,16384,16384,1410,1215,27,25.0,1099.512,671.09,1638.4
46,bf16,4096,16384,16384,1410,1215,27,25.0,2199.023,805.31,2730.7
47,bf16,8192,16384,16384,1410,1215,27,25.0,4398.047,1073.74,4096.0
48,bf16,1024,4096,4096,1410,1215,14,12.5,34.36,50.33,682.7
49,bf16,2048,4096,4096,1410,1215,14,12.5,68.719,67.11,1024.0
50,bf16,4096,4096,4096,1410,1215,14,12.5,137.439,100.66,1365.3
51,bf16,8192,4096,4096,1410,1215,14,12.5,274.878,167.77,1638.4
52,bf16,1024,8192,8192,1410,1215,14,12.5,137.439,167.77,819.2
53,bf16,2048,8192,8192,1410,1215,14,12.5,274.878,201.33,1365.3
54,bf16,4096,8192,8192,1410,1215,14,12.5,549.756,268.44,2048.0
55,bf16,8192,8192,8192,1410,1215,14,12.5,1099.512,402.65,2730.7
56,bf16,1024,16384,16384,1410,1215,14,12.5,549.756,603.98,910.2
57,bf16,2048,16384,16384,1410,1215,14,12.5,1099.512,671.09,1638.4
58,bf16,4096,16384,16384,1410,1215,14,12.5,2199.023,805.31,2730.7
59,bf16,8192,16384,16384,1410,1215,14,12.5,4398.047,1073.74,4096.0
60,bf16,1024,4096,4096,1200,1215,108,100.0,34.36,50.33,682.7
61,bf16,2048,4096,4096,1200,1215,108,100.0,68.719,67.11,1024.0
62,bf16,4096,4096,4096,1200,1215,108,100.0,137.439,100.66,1365.3
63,bf16,8192,4096,4096,1200,1215,108,100.0,274.878,167.77,1638.4
64,bf16,1024,8192,8192,1200,1215,108,100.0,137.439,167.77,819.2
65,bf16,2048,8192,8192,1200,1215,108,100.0,274.878,201.33,1365.3
66,bf16,4096,8192,8192,1200,1215,108,100.0,549.756,268.44,2048.0
67,bf16,8192,8192,8192,1200,1215,108,100.0,1099.512,402.65,2730.7
68,bf16,1024,16384,16384,1200,1215,108,100.0,549.756,603.98,910.2
69,bf16,2048,16384,16384,1200,1215,108,100.0,1099.512,671.09,1638.4
70,bf16,4096,16384,16384,1200,1215,108,100.0,2199.023,805.31,2730.7
71,bf16,8192,16384,16384,1200,1215,108,100.0,4398.047,1073.74,4096.0
