model,pas,rep,layer,m_tokens,clock,clock_med,held,locked,ms_per_layer,power_w,idle_w,p_dyn_w,energy_mj_per_layer,e_dyn_mj_per_layer,tflops,kappa_mw_per_mhz_per_sm,replays,reps
qwen,0,0,0,7744,-1,1335,False,False,3.73579,404.87,63.1,341.77,1512.5074,1276.7794,156.5,2.37044,141,4
qwen,0,0,0,7744,1095,1095,True,True,4.39509,268.72,64.3,204.42,1181.0497,898.4452,133.02,1.72856,141,4
qwen,0,0,0,7744,1200,1200,True,True,4.04733,317.95,67.52,250.43,1286.8484,1013.5727,144.45,1.93233,154,4
qwen,0,0,0,7744,1065,1065,True,True,4.50748,256.94,63.42,193.52,1158.1521,872.2877,129.71,1.68249,138,4
qwen,0,0,0,7744,1005,1005,True,True,4.75366,241.74,62.5,179.24,1149.1508,852.0468,122.99,1.65137,131,4
qwen,0,0,0,7744,780,780,True,True,6.03386,202.36,61.08,141.28,1221.0117,852.4636,96.9,1.67711,103,4
qwen,0,0,0,7744,1080,1080,True,True,4.4519,263.1,63.97,199.13,1171.2956,886.5074,131.33,1.70722,140,4
qwen,0,0,0,7744,1155,1155,True,True,4.18915,297.12,66.65,230.47,1244.6792,965.4726,139.56,1.8476,148,4
qwen,0,0,0,7744,1185,1185,True,True,4.09296,310.91,68.12,242.79,1272.5421,993.7297,142.84,1.89709,152,4
qwen,0,0,0,7744,1140,1140,True,True,4.23861,290.09,66.65,223.44,1229.5775,947.0744,137.94,1.81481,147,4
qwen,0,0,0,7744,1290,1290,True,True,3.79734,379.77,73.1,306.67,1442.1163,1164.5307,153.96,2.20119,164,4
qwen,0,0,0,7744,510,510,True,True,9.0214,156.03,60.47,95.56,1407.6083,862.0845,64.81,1.73493,69,4
qwen,0,0,0,7744,1215,1215,True,True,4.00287,326.73,69.27,257.46,1307.8582,1030.5793,146.06,1.96205,155,4
qwen,0,0,0,7744,825,825,True,True,5.71351,212.08,62.23,149.85,1211.7205,856.169,102.33,1.68182,109,4
qwen,0,0,0,7744,1380,1320,False,True,3.72404,402.94,79.27,323.67,1500.5645,1205.3599,156.99,2.27041,174,4
qwen,0,0,0,7744,990,990,True,True,4.82047,239.37,63.42,175.95,1153.8756,848.1615,121.29,1.64562,129,4
qwen,0,0,0,7744,735,735,True,True,6.39357,195.65,61.62,134.03,1250.9017,856.93,91.44,1.68846,97,4
qwen,0,0,0,7744,690,690,True,True,6.81476,186.54,61.08,125.46,1271.2259,854.9801,85.79,1.68357,91,4
qwen,0,0,0,7744,1275,1275,True,True,3.83605,365.71,72.49,293.22,1402.8831,1124.8076,152.41,2.12941,162,4
qwen,0,0,0,7744,1125,1125,True,True,4.29362,280.71,66.05,214.66,1205.2621,921.6685,136.17,1.76675,145,4
qwen,0,0,0,7744,1020,1020,True,True,4.68641,246.68,63.7,182.98,1156.0428,857.5187,124.75,1.66104,132,4
qwen,0,0,0,7744,1110,1110,True,True,4.34789,273.69,65.45,208.24,1189.9747,905.4051,134.47,1.73707,143,4
qwen,0,0,0,7744,1050,1050,True,True,4.56618,252.85,63.7,189.15,1154.5581,863.6926,128.04,1.66799,136,4
qwen,0,0,0,7744,1035,1035,True,True,4.6258,246.68,63.42,183.26,1141.0934,847.7249,126.39,1.63947,134,4
qwen,0,0,0,7744,870,870,True,True,5.42192,220.59,62.5,158.09,1196.0221,857.1519,107.83,1.68252,115,4
qwen,0,0,0,7744,945,945,True,True,5.02555,231.45,62.83,168.62,1163.1643,847.4088,116.34,1.65217,124,4
qwen,0,0,0,7744,960,960,True,True,4.9572,233.94,62.83,171.11,1159.6879,848.2269,117.94,1.65037,125,4
qwen,0,0,0,7744,930,930,True,True,5.09651,229.1,62.83,166.27,1167.6101,847.3964,114.72,1.65542,122,4
