pas,tokens,pairs,per_expert,clock,clock_med,held,ms_per_layer,power_w,idle_w,p_dyn_w,uj_per_token,uj_dyn_per_token,tflops,replays
0,64,512,8.39,1275,1275,True,0.495173,269.27,70.75,198.52,2083.3612,1535.9634,9.76,598
0,128,1024,11.13,1275,1275,True,0.731494,277.23,70.75,206.48,1584.3129,1179.9911,13.21,406
0,256,2048,17.5,1275,1275,True,0.937065,284.26,70.75,213.51,1040.5085,781.5344,20.63,318
0,512,4096,33.57,1275,1275,True,1.026338,291.83,70.75,221.08,584.9928,443.1697,37.66,290
0,1024,8192,64.0,1275,1275,True,1.175237,316.47,70.75,245.72,363.2103,282.011,65.78,253
0,2048,16384,128.0,1275,1275,True,1.508554,350.91,70.75,280.16,258.4799,206.3655,102.49,198
0,4096,32768,256.0,1275,1275,True,2.295389,367.15,70.75,296.4,205.75,166.1019,134.72,130
0,64,512,8.39,1095,1095,True,0.515987,226.8,65.38,161.42,1828.5301,1301.4168,9.36,574
0,128,1024,11.13,1095,1095,True,0.758701,233.23,65.38,167.85,1382.4359,994.9058,12.74,393
0,256,2048,17.5,1095,1095,True,0.970749,238.76,65.38,173.38,905.3749,657.4547,19.91,306
0,512,4096,33.57,1095,1095,True,1.059425,244.68,65.38,179.3,506.2895,371.0058,36.49,282
0,1024,8192,64.0,1095,1095,True,1.227444,257.87,65.38,192.49,309.1026,230.7332,62.98,243
0,2048,16384,128.0,1095,1095,True,1.656453,271.33,65.38,205.95,219.4557,166.5754,93.34,180
0,4096,32768,256.0,1095,1095,True,2.607603,273.68,65.38,208.3,174.2307,132.6083,118.59,114
0,64,512,8.39,1140,1140,True,0.509588,237.61,66.92,170.69,1891.9257,1359.0876,9.48,582
0,128,1024,11.13,1140,1140,True,0.75038,244.4,66.92,177.48,1432.7567,1040.4487,12.88,398
0,256,2048,17.5,1140,1140,True,0.960233,249.8,66.92,182.88,936.9773,685.9664,20.13,310
0,512,4096,33.57,1140,1140,True,1.048818,256.4,66.92,189.48,525.2286,388.1448,36.86,284
0,1024,8192,64.0,1140,1140,True,1.210858,272.21,66.92,205.29,321.8824,242.751,63.85,246
0,2048,16384,128.0,1140,1140,True,1.615546,290.09,66.92,223.17,228.8349,176.0456,95.71,185
0,4096,32768,256.0,1140,1140,True,2.518414,293.91,66.92,226.99,180.7098,139.5642,122.79,118
0,64,512,8.39,960,960,True,0.54234,213.82,64.3,149.52,1811.9246,1267.0422,8.91,547
0,128,1024,11.13,960,960,True,0.803208,218.89,64.3,154.59,1373.5482,970.0618,12.03,370
0,256,2048,17.5,960,960,True,1.027634,224.25,64.3,159.95,900.1835,642.0707,18.81,290
0,512,4096,33.57,960,960,True,1.104606,230.56,64.3,166.26,497.4178,358.6949,34.99,270
0,1024,8192,64.0,960,960,True,1.297105,238.77,64.3,174.47,302.451,221.0019,59.6,230
0,2048,16384,128.0,960,960,True,1.823218,243.8,64.3,179.5,217.0413,159.7987,84.81,164
0,4096,32768,256.0,960,960,True,2.934223,239.72,64.3,175.42,171.7266,125.6644,105.39,101
0,64,512,8.39,1005,1005,True,0.531621,217.42,64.5,152.92,1806.0169,1270.2424,9.09,558
0,128,1024,11.13,1005,1005,True,0.784157,223.31,64.5,158.81,1368.0473,972.9058,12.32,376
0,256,2048,17.5,1005,1005,True,1.003602,228.23,64.5,163.73,894.7343,641.8737,19.26,297
0,512,4096,33.57,1005,1005,True,1.085389,232.92,64.5,168.42,493.767,357.0335,35.61,274
0,1024,8192,64.0,1005,1005,True,1.271032,243.19,64.5,178.69,301.8576,221.7975,60.82,235
