gemm,m,n,k,clock,clock_med,held,grid,waves,s_eff,ms,power_w,energy_mj,reps
gate_up,72,1024,2048,300,300,True,8,1,8.0,0.0525,70.83,3.717,48666
gate_up,355,1024,2048,300,300,True,24,1,24.0,0.0778,82.49,6.415,33172
gate_up,955,1024,2048,300,300,True,64,1,64.0,0.11,96.16,10.579,23747
gate_up,1702,1024,2048,300,300,True,112,2,56.0,0.1511,106.36,16.07,17570
gate_up,2598,1024,2048,300,300,True,168,2,84.0,0.2513,99.59,25.025,10972
gate_up,4244,1024,2048,300,300,True,272,3,90.7,0.3783,112.69,42.63,7631
gate_up,7652,1024,2048,300,300,True,480,5,96.0,0.6088,124.74,75.946,4618
gate_up,13581,1024,2048,300,300,True,856,8,107.0,0.9732,124.74,121.398,3591
gate_up,30754,1024,2048,300,300,True,1928,18,107.1,2.171,122.74,266.468,2174
down,72,2048,1024,300,300,True,16,1,16.0,0.0376,75.77,2.852,67449
down,355,2048,1024,300,300,True,48,1,48.0,0.0563,91.22,5.139,45397
down,955,2048,1024,300,300,True,128,2,64.0,0.1109,95.02,10.539,23564
down,1702,2048,1024,300,300,True,224,3,74.7,0.1563,107.55,16.814,17014
down,2598,2048,1024,300,300,True,336,4,84.0,0.2578,105.81,27.28,10719
down,4244,2048,1024,300,300,True,544,6,90.7,0.3901,108.9,42.479,7432
down,7652,2048,1024,300,300,True,960,9,106.7,0.5946,124.15,73.821,5227
down,13581,2048,1024,300,300,True,1712,16,107.0,1.0323,125.61,129.672,3444
down,30754,2048,1024,300,300,True,3856,36,107.1,2.2516,123.87,278.901,2133
gate_up,72,1024,2048,510,510,True,8,1,8.0,0.0328,78.1,2.56,77298
gate_up,355,1024,2048,510,510,True,24,1,24.0,0.0477,96.75,4.618,53397
gate_up,955,1024,2048,510,510,True,64,1,64.0,0.0671,120.08,8.054,38296
gate_up,1702,1024,2048,510,510,True,112,2,56.0,0.0936,135.4,12.678,27723
gate_up,2598,1024,2048,510,510,True,168,2,84.0,0.1499,126.81,19.013,17697
gate_up,4244,1024,2048,510,510,True,272,3,90.7,0.2248,148.51,33.379,12146
gate_up,7652,1024,2048,510,510,True,480,5,96.0,0.3652,167.42,61.147,7357
gate_up,13581,1024,2048,510,510,True,856,8,107.0,0.5756,169.47,97.55,5366
gate_up,30754,1024,2048,510,510,True,1928,18,107.1,1.2842,165.96,213.119,2969
down,72,2048,1024,510,510,True,16,1,16.0,0.024,85.1,2.042,105200
down,355,2048,1024,510,510,True,48,1,48.0,0.035,110.15,3.855,72462
down,955,2048,1024,510,510,True,128,2,64.0,0.0676,117.95,7.968,38029
down,1702,2048,1024,510,510,True,224,3,74.7,0.0944,138.92,13.119,27496
down,2598,2048,1024,510,510,True,336,4,84.0,0.154,137.27,21.136,17259
