workload,m,n,k,clock,clock_med,held,ms_per_gemm,power_w,idle_w,p_dyn_w,kappa_mw_per_mhz,energy_mj,e_dyn_mj,replays,reps
gemm_large,4096,8192,8192,1380,1290,False,2.132849,401.34,81.03,320.31,232.1087,855.99776,683.17298,18,64
moe_expert_n955,955,1024,2048,1380,1380,True,0.030106,284.52,81.03,203.49,147.4565,8.56579,6.12629,400,64
moe_expert_n7652,7652,1024,2048,1380,1380,True,0.162042,402.9,81.03,321.87,233.2391,65.2867,52.15644,241,64
gemm_large,4096,8192,8192,1335,1275,False,2.145137,401.02,80.43,320.59,240.1423,860.24301,687.70961,18,64
moe_expert_n955,955,1024,2048,1335,1335,True,0.031121,256.87,80.43,176.44,132.1648,7.99415,5.49106,400,64
moe_expert_n7652,7652,1024,2048,1335,1335,True,0.167096,363.33,80.43,282.9,211.9101,60.71084,47.27134,233,64
gemm_large,4096,8192,8192,1290,1275,True,2.151038,402.48,79.09,323.39,250.6899,865.74972,695.62414,18,64
moe_expert_n955,955,1024,2048,1290,1290,True,0.032268,234.11,79.09,155.02,120.1705,7.55423,5.00217,400,64
moe_expert_n7652,7652,1024,2048,1290,1290,True,0.17307,327.83,79.09,248.74,192.8217,56.73758,43.04946,225,64
gemm_large,4096,8192,8192,1245,1245,True,2.20344,376.63,76.56,300.07,241.0201,829.88151,661.18616,17,64
moe_expert_n955,955,1024,2048,1245,1245,True,0.033458,214.98,76.56,138.42,111.1807,7.19283,4.63127,400,64
moe_expert_n7652,7652,1024,2048,1245,1245,True,0.179506,299.63,76.56,223.07,179.1727,53.78541,40.04243,217,64
gemm_large,4096,8192,8192,1200,1200,True,2.285501,347.64,74.63,273.01,227.5083,794.53145,623.96454,17,64
moe_expert_n955,955,1024,2048,1200,1200,True,0.034607,201.02,74.63,126.39,105.325,6.95662,4.37393,400,64
moe_expert_n7652,7652,1024,2048,1200,1200,True,0.185841,278.41,74.63,203.78,169.8167,51.73997,37.87066,209,64
gemm_large,4096,8192,8192,1155,1155,True,2.378818,311.0,71.9,239.1,207.013,739.81251,568.77547,16,64
moe_expert_n955,955,1024,2048,1155,1155,True,0.036031,184.05,71.9,112.15,97.0996,6.63157,4.04091,400,64
moe_expert_n7652,7652,1024,2048,1155,1155,True,0.193168,253.68,71.9,181.78,157.3853,49.00276,35.11401,201,64
gemm_large,4096,8192,8192,1140,1140,True,2.40902,301.95,71.2,230.75,202.4123,727.40372,555.88147,16,64
moe_expert_n955,955,1024,2048,1140,1140,True,0.0365,179.39,71.2,108.19,94.9035,6.54778,3.94896,400,64
moe_expert_n7652,7652,1024,2048,1140,1140,True,0.195586,247.29,71.2,176.09,154.4649,48.36637,34.44068,199,64
gemm_large,4096,8192,8192,1125,1125,True,2.441087,293.83,70.51,223.32,198.5067,717.26463,545.14357,15,64
moe_expert_n955,955,1024,2048,1125,1125,True,0.036988,175.09,70.51,104.58,92.96,6.47624,3.86821,400,64
moe_expert_n7652,7652,1024,2048,1125,1125,True,0.198064,241.17,70.51,170.66,151.6978,47.76712,33.80162,196,64
gemm_large,4096,8192,8192,1110,1110,True,2.474371,284.8,69.97,214.83,193.5405,704.70075,531.56904,15,64
moe_expert_n955,955,1024,2048,1110,1110,True,0.037486,170.94,69.97,100.97,90.964,6.40779,3.78492,400,64
moe_expert_n7652,7652,1024,2048,1110,1110,True,0.200784,235.06,69.97,165.09,148.7297,47.19624,33.1474,194,64
gemm_large,4096,8192,8192,1095,1095,True,2.507743,278.09,68.97,209.12,190.9772,697.37832,524.41927,15,64
moe_expert_n955,955,1024,2048,1095,1095,True,0.038046,166.55,68.97,97.58,89.1142,6.3366,3.71255,400,64
moe_expert_n7652,7652,1024,2048,1095,1095,True,0.203596,228.59,68.97,159.62,145.7717,46.5401,32.49806,191,64
gemm_large,4096,8192,8192,1080,1080,True,2.544218,271.43,68.43,203.0,187.963,690.57704,516.47621,15,64
moe_expert_n955,955,1024,2048,1080,1080,True,0.038566,162.49,68.43,94.06,87.0926,6.26664,3.62755,400,64
moe_expert_n7652,7652,1024,2048,1080,1080,True,0.206526,224.02,68.43,155.59,144.0648,46.26587,32.13332,188,64
gemm_large,4096,8192,8192,1065,1065,True,2.578772,263.26,67.56,195.7,183.7559,678.88741,504.6656,15,64
moe_expert_n955,955,1024,2048,1065,1065,True,0.039141,158.42,67.56,90.86,85.3146,6.20068,3.55633,400,64
moe_expert_n7652,7652,1024,2048,1065,1065,True,0.209408,216.94,67.56,149.38,140.2629,45.42905,31.28142,186,64
gemm_large,4096,8192,8192,1050,1050,True,2.616904,255.68,67.31,188.37,179.4,669.09012,492.94628,14,64
moe_expert_n955,955,1024,2048,1050,1050,True,0.039855,154.31,67.31,87.0,82.8571,6.15009,3.46742,400,64
moe_expert_n7652,7652,1024,2048,1050,1050,True,0.212618,210.92,67.31,143.61,136.7714,44.84536,30.53405,183,64
gemm_large,4096,8192,8192,1035,1035,True,2.652596,253.35,66.64,186.71,180.3961,672.03517,495.26618,14,64
moe_expert_n955,955,1024,2048,1035,1035,True,0.040164,153.17,66.64,86.53,83.6039,6.15198,3.47543,400,64
moe_expert_n7652,7652,1024,2048,1035,1035,True,0.215353,208.87,66.64,142.23,137.4203,44.9808,30.62967,181,64
gemm_large,4096,8192,8192,1020,1020,True,2.687253,251.61,66.44,185.17,181.5392,676.13981,497.5987,14,64
moe_expert_n955,955,1024,2048,1020,1020,True,0.040585,151.97,66.44,85.53,83.8529,6.16767,3.47121,400,64
moe_expert_n7652,7652,1024,2048,1020,1020,True,0.217496,206.75,66.44,140.31,137.5588,44.9674,30.51693,179,64
gemm_large,4096,8192,8192,1005,1005,True,2.729,246.97,66.37,180.6,179.7015,673.98106,492.85735,14,64
moe_expert_n955,955,1024,2048,1005,1005,True,0.04113,150.56,66.37,84.19,83.7711,6.19246,3.46269,400,64
moe_expert_n7652,7652,1024,2048,1005,1005,True,0.221164,204.42,66.37,138.05,137.3632,45.21029,30.53165,176,64
gemm_large,4096,8192,8192,990,990,True,2.770081,244.37,66.1,178.27,180.0707,676.92473,493.82237,14,64
moe_expert_n955,955,1024,2048,990,990,True,0.041752,149.1,66.1,83.0,83.8384,6.22522,3.46541,400,64
moe_expert_n7652,7652,1024,2048,990,990,True,0.224376,202.09,66.1,135.99,137.3636,45.34405,30.51283,173,64
gemm_large,4096,8192,8192,975,975,True,2.812225,240.85,66.1,174.75,179.2308,677.32441,491.43633,13,64
moe_expert_n955,955,1024,2048,975,975,True,0.042372,147.64,66.1,81.54,83.6308,6.25573,3.45497,400,64
moe_expert_n7652,7652,1024,2048,975,975,True,0.227645,199.76,66.1,133.66,137.0872,45.47437,30.42703,171,64
gemm_large,4096,8192,8192,960,960,True,2.856442,237.98,65.57,172.41,179.5938,679.776,492.47911,13,64
moe_expert_n955,955,1024,2048,960,960,True,0.04306,146.18,65.57,80.61,83.9688,6.29447,3.47104,400,64
moe_expert_n7652,7652,1024,2048,960,960,True,0.231208,197.23,65.57,131.66,137.1458,45.60124,30.4409,168,64
gemm_large,4096,8192,8192,945,945,True,2.901333,234.9,65.57,169.33,179.1852,681.52309,491.2827,13,64
moe_expert_n955,955,1024,2048,945,945,True,0.043718,144.72,65.57,79.15,83.7566,6.32694,3.46032,400,64
moe_expert_n7652,7652,1024,2048,945,945,True,0.234771,195.1,65.57,129.53,137.0688,45.80382,30.40989,166,64
gemm_large,4096,8192,8192,930,930,True,2.947653,232.41,65.5,166.91,179.4731,685.06413,491.99283,13,64
moe_expert_n955,955,1024,2048,930,930,True,0.044399,143.58,65.5,78.08,83.957,6.37478,3.46666,400,64
moe_expert_n7652,7652,1024,2048,930,930,True,0.238446,192.77,65.5,127.27,136.8495,45.96528,30.34705,163,64
gemm_large,4096,8192,8192,915,915,True,2.996889,228.94,65.57,163.37,178.5464,686.10787,489.60183,13,64
moe_expert_n955,955,1024,2048,915,915,True,0.045177,141.52,65.57,75.95,83.0055,6.39349,3.43121,400,64
moe_expert_n7652,7652,1024,2048,915,915,True,0.242516,190.18,65.57,124.61,136.1858,46.12171,30.21993,160,64
gemm_large,4096,8192,8192,870,870,True,3.150182,221.33,65.57,155.76,179.0345,697.22975,490.67232,12,64
moe_expert_n955,955,1024,2048,870,870,True,0.047435,137.73,65.57,72.16,82.9425,6.53318,3.42289,400,64
moe_expert_n7652,7652,1024,2048,870,870,True,0.254737,184.05,65.57,118.48,136.1839,46.88429,30.1812,153,64
gemm_large,4096,8192,8192,825,825,True,3.322672,212.33,64.98,147.35,178.6061,705.50304,489.59578,11,64
moe_expert_n955,955,1024,2048,825,825,True,0.050051,133.34,64.98,68.36,82.8606,6.67386,3.42152,400,64
moe_expert_n7652,7652,1024,2048,825,825,True,0.2687,176.74,64.98,111.76,135.4667,47.49011,30.02996,145,64
gemm_large,4096,8192,8192,780,780,True,3.514592,204.15,64.38,139.77,179.1923,717.50401,491.23456,11,64
moe_expert_n955,955,1024,2048,780,780,True,0.052937,129.0,64.38,64.62,82.8462,6.82888,3.42079,400,64
moe_expert_n7652,7652,1024,2048,780,780,True,0.284181,170.07,64.38,105.69,135.5,48.33067,30.0351,137,64
gemm_large,4096,8192,8192,735,735,True,3.72937,196.83,63.84,132.99,180.9388,734.05194,495.96895,10,64
moe_expert_n955,955,1024,2048,735,735,True,0.056185,124.61,63.84,60.77,82.6803,7.00116,3.41434,400,64
moe_expert_n7652,7652,1024,2048,735,735,True,0.30159,163.35,63.84,99.51,135.3878,49.26478,30.01126,129,64
gemm_large,4096,8192,8192,690,690,True,3.973328,188.11,63.51,124.6,180.5797,747.42265,495.07662,9,64
moe_expert_n955,955,1024,2048,690,690,True,0.059889,121.69,63.51,58.18,84.3188,7.28787,3.48433,400,64
moe_expert_n7652,7652,1024,2048,690,690,True,0.321379,158.69,63.51,95.18,137.942,50.99971,30.5889,121,64
gemm_large,4096,8192,8192,645,645,True,4.247941,179.66,63.24,116.42,180.4961,763.18517,494.54535,9,64
moe_expert_n955,955,1024,2048,645,645,True,0.063917,117.63,63.24,54.39,84.3256,7.51857,3.47645,400,64
moe_expert_n7652,7652,1024,2048,645,645,True,0.343366,152.3,63.24,89.06,138.0775,52.29457,30.58013,113,64
gemm_large,4096,8192,8192,600,600,True,4.566429,170.07,62.64,107.43,179.05,776.61261,490.57149,8,64
moe_expert_n955,955,1024,2048,600,600,True,0.068705,113.41,62.64,50.77,84.6167,7.79185,3.48816,400,64
moe_expert_n7652,7652,1024,2048,600,600,True,0.369091,145.31,62.64,82.67,137.7833,53.63265,30.51277,105,64
gemm_large,4096,8192,8192,555,555,True,4.935487,162.49,62.37,100.12,180.3964,801.96729,494.14096,7,64
moe_expert_n955,955,1024,2048,555,555,True,0.074123,109.61,62.37,47.24,85.1171,8.12462,3.50157,400,64
moe_expert_n7652,7652,1024,2048,555,555,True,0.398765,138.92,62.37,76.55,137.9279,55.39644,30.52547,97,64
gemm_large,4096,8192,8192,510,510,True,5.370036,154.03,62.37,91.66,179.7255,827.14661,492.21748,7,64
moe_expert_n955,955,1024,2048,510,510,True,0.080516,105.49,62.37,43.12,84.549,8.49358,3.47183,400,64
moe_expert_n7652,7652,1024,2048,510,510,True,0.433585,132.79,62.37,70.42,138.0784,57.57575,30.53305,89,64
gemm_large,4096,8192,8192,405,405,True,6.759325,135.27,61.78,73.49,181.4568,914.33385,496.74277,5,64
moe_expert_n955,955,1024,2048,405,405,True,0.100977,96.48,61.78,34.7,85.679,9.7423,3.50391,385,64
moe_expert_n7652,7652,1024,2048,405,405,True,0.545493,118.07,61.78,56.29,138.9877,64.40641,30.70582,71,64
gemm_large,4096,8192,8192,300,300,True,9.121629,116.02,61.18,54.84,182.8,1058.29144,500.23016,4,64
moe_expert_n955,955,1024,2048,300,300,True,0.135686,87.43,61.18,26.25,87.5,11.86302,3.56175,286,64
moe_expert_n7652,7652,1024,2048,300,300,True,0.735298,103.48,61.18,42.3,141.0,76.0886,31.10309,53,64
