  N= 110  waves 2  gain  -34.61%   2@1380 + 106@735, 4 tiles to d1, uniform 1380
  N= 115  waves 2  gain  -32.00%   7@1380 + 101@735, 14 tiles to d1, uniform 1380
  N= 120  waves 2  gain  -29.54%   12@1380 + 96@735, 24 tiles to d1, uniform 1380
  N= 125  waves 2  gain  -27.21%   17@1380 + 91@735, 34 tiles to d1, uniform 1380
  N= 130  waves 2  gain  -25.02%   22@1380 + 86@735, 44 tiles to d1, uniform 1380
  N= 135  waves 2  gain  -22.91%   27@1380 + 81@750, 54 tiles to d1, uniform 1380
  N= 140  waves 2  gain  -20.94%   32@1380 + 76@750, 64 tiles to d1, uniform 1380
  N= 145  waves 2  gain  -19.04%   37@1380 + 71@765, 74 tiles to d1, uniform 1380
  N= 150  waves 2  gain  -17.29%   66@750 + 42@1380, 66 tiles to d1, uniform 1380
  N= 155  waves 2  gain  -15.59%   61@750 + 47@1380, 61 tiles to d1, uniform 1380
  N= 160  waves 2  gain  -13.98%   56@750 + 52@1380, 56 tiles to d1, uniform 1380
  N= 165  waves 2  gain  -12.46%   51@735 + 57@1380, 51 tiles to d1, uniform 1380
  N= 170  waves 2  gain  -10.98%   46@735 + 62@1380, 46 tiles to d1, uniform 1380
  N= 175  waves 2  gain   -9.58%   41@735 + 67@1380, 41 tiles to d1, uniform 1380
  N= 180  waves 2  gain   -8.23%   36@735 + 72@1380, 36 tiles to d1, uniform 1380
  N= 185  waves 2  gain   -6.94%   31@735 + 77@1380, 31 tiles to d1, uniform 1380
  N= 190  waves 2  gain   -5.70%   26@735 + 82@1380, 26 tiles to d1, uniform 1380
  N= 195  waves 2  gain   -4.51%   21@735 + 87@1380, 21 tiles to d1, uniform 1380
  N= 200  waves 2  gain   -3.37%   16@735 + 92@1380, 16 tiles to d1, uniform 1380
  N= 205  waves 2  gain   -2.27%   11@735 + 97@1380, 11 tiles to d1, uniform 1380
  N= 210  waves 2  gain   -1.21%   6@735 + 102@1380, 6 tiles to d1, uniform 1380
  N= 215  waves 2  gain   -0.96%   1@690 + 107@735, 2 tiles to d1, uniform 690
  N= 220  waves 3  gain  -34.40%   4@1380 + 104@915, 12 tiles to d1, uniform 1380
  N= 225  waves 3  gain  -32.21%   9@1380 + 99@915, 27 tiles to d1, uniform 1380
  N= 230  waves 3  gain  -30.09%   14@1380 + 94@915, 42 tiles to d1, uniform 1380
  N= 235  waves 3  gain  -28.04%   19@1380 + 89@915, 57 tiles to d1, uniform 1380
  N= 240  waves 3  gain  -26.05%   24@1380 + 84@915, 72 tiles to d1, uniform 1380
  N= 245  waves 3  gain  -24.12%   29@1380 + 79@915, 87 tiles to d1, uniform 1380
  N= 250  waves 3  gain  -22.25%   34@1380 + 74@915, 102 tiles to d1, uniform 1380
  N= 255  waves 3  gain  -20.44%   39@1380 + 69@915, 117 tiles to d1, uniform 1380
  N= 260  waves 3  gain  -18.68%   44@1380 + 64@915, 132 tiles to d1, uniform 1380
  N= 265  waves 3  gain  -16.97%   49@1380 + 59@915, 147 tiles to d1, uniform 1380
  N= 270  waves 3  gain  -15.31%   54@915 + 54@1380, 108 tiles to d1, uniform 1380
  N= 275  waves 3  gain  -13.70%   49@915 + 59@1380, 98 tiles to d1, uniform 1380
  N= 280  waves 3  gain  -12.13%   44@915 + 64@1380, 88 tiles to d1, uniform 1380
  N= 285  waves 3  gain  -10.60%   39@915 + 69@1380, 78 tiles to d1, uniform 1380
  N= 290  waves 3  gain   -9.12%   34@915 + 74@1380, 68 tiles to d1, uniform 1380
  N= 295  waves 3  gain   -7.67%   29@915 + 79@1380, 58 tiles to d1, uniform 1380
  N= 300  waves 3  gain   -6.27%   24@915 + 84@1380, 48 tiles to d1, uniform 1380
  N= 305  waves 3  gain   -4.90%   19@915 + 89@1380, 38 tiles to d1, uniform 1380
  N= 310  waves 3  gain   -3.56%   14@915 + 94@1380, 28 tiles to d1, uniform 1380
  N= 315  waves 3  gain   -2.26%   9@915 + 99@1380, 18 tiles to d1, uniform 1380
  N= 320  waves 3  gain   -0.99%   4@915 + 104@1380, 8 tiles to d1, uniform 1380
  N= 325  waves 4  gain  -35.73%   1@1380 + 107@1050, 4 tiles to d1, uniform 1380
  N= 330  waves 4  gain  -33.67%   6@1380 + 102@1050, 24 tiles to d1, uniform 1380
  N= 335  waves 4  gain  -31.51%   11@1380 + 97@1035, 44 tiles to d1, uniform 1380
  N= 340  waves 4  gain  -29.55%   16@1380 + 92@1035, 64 tiles to d1, uniform 1380
  N= 345  waves 4  gain  -27.64%   21@1380 + 87@1035, 84 tiles to d1, uniform 1380
  N= 350  waves 4  gain  -25.76%   26@1380 + 82@1035, 104 tiles to d1, uniform 1380
  N= 355  waves 4  gain  -23.93%   31@1380 + 77@1035, 124 tiles to d1, uniform 1380
  N= 360  waves 4  gain  -22.14%   36@1380 + 72@1035, 144 tiles to d1, uniform 1380
  N= 365  waves 4  gain  -20.38%   41@1380 + 67@1035, 164 tiles to d1, uniform 1380
  N= 370  waves 4  gain  -18.66%   46@1380 + 62@1035, 184 tiles to d1, uniform 1380
  N= 375  waves 4  gain  -16.98%   51@1380 + 57@1035, 204 tiles to d1, uniform 1380
  N= 380  waves 4  gain  -15.33%   52@1035 + 56@1380, 156 tiles to d1, uniform 1380
  N= 385  waves 4  gain  -13.71%   47@1035 + 61@1380, 141 tiles to d1, uniform 1380
  N= 390  waves 4  gain  -12.13%   42@1035 + 66@1380, 126 tiles to d1, uniform 1380
  N= 395  waves 4  gain  -10.58%   37@1035 + 71@1380, 111 tiles to d1, uniform 1380
  N= 400  waves 4  gain   -9.06%   32@1035 + 76@1380, 96 tiles to d1, uniform 1380
  N= 405  waves 4  gain   -7.57%   27@1035 + 81@1380, 81 tiles to d1, uniform 1380
  N= 410  waves 4  gain   -6.11%   22@1035 + 86@1380, 66 tiles to d1, uniform 1380
  N= 415  waves 4  gain   -4.68%   17@1035 + 91@1380, 51 tiles to d1, uniform 1380
  N= 420  waves 4  gain   -3.28%   12@1050 + 96@1380, 36 tiles to d1, uniform 1380
  N= 425  waves 4  gain   -1.90%   7@1050 + 101@1380, 21 tiles to d1, uniform 1380
  N= 430  waves 4  gain   -0.96%   1@690 + 107@735, 4 tiles to d1, uniform 690
  N= 435  waves 5  gain  -31.85%   3@1380 + 105@1095, 15 tiles to d1, uniform 1380
  N= 440  waves 5  gain  -30.07%   8@1380 + 100@1095, 40 tiles to d1, uniform 1380
  N= 445  waves 5  gain  -28.32%   13@1380 + 95@1095, 65 tiles to d1, uniform 1380
  N= 450  waves 5  gain  -26.24%   19@1380 + 89@1095, 95 tiles to d1, uniform 1380
  N= 455  waves 5  gain  -24.55%   24@1380 + 84@1095, 120 tiles to d1, uniform 1380
  N= 460  waves 5  gain  -22.89%   29@1380 + 79@1095, 145 tiles to d1, uniform 1380
  N= 465  waves 5  gain  -20.91%   35@1380 + 73@1095, 175 tiles to d1, uniform 1380
  N= 470  waves 5  gain  -19.31%   40@1380 + 68@1095, 200 tiles to d1, uniform 1380
  N= 475  waves 5  gain  -17.73%   45@1380 + 63@1095, 225 tiles to d1, uniform 1380
  N= 480  waves 5  gain  -16.52%   49@1380 + 59@1095, 245 tiles to d1, uniform 1380
  N= 485  waves 5  gain  -15.00%   54@1095 + 54@1380, 215 tiles to d1, uniform 1380
  N= 490  waves 5  gain  -13.49%   49@1095 + 59@1380, 195 tiles to d1, uniform 1380
  N= 495  waves 5  gain  -12.01%   44@1095 + 64@1380, 175 tiles to d1, uniform 1380
  N= 500  waves 5  gain  -10.56%   39@1095 + 69@1380, 155 tiles to d1, uniform 1380
  N= 505  waves 5  gain   -9.12%   34@1095 + 74@1380, 135 tiles to d1, uniform 1380
  N= 510  waves 5  gain   -7.77%   30@1110 + 78@1380, 120 tiles to d1, uniform 1380
  N= 515  waves 5  gain   -6.42%   25@1110 + 83@1380, 100 tiles to d1, uniform 1380
  N= 520  waves 5  gain   -5.10%   20@1110 + 88@1380, 80 tiles to d1, uniform 1380
  N= 525  waves 5  gain   -3.93%   15@1095 + 93@1380, 60 tiles to d1, uniform 1380
  N= 530  waves 5  gain   -2.60%   10@1095 + 98@1380, 40 tiles to d1, uniform 1380
  N= 535  waves 5  gain   -1.29%   5@1095 + 103@1380, 20 tiles to d1, uniform 1380
  N= 540  waves 5  gain   -0.97%   1@825 + 107@735, 6 tiles to d1, uniform 690
  N= 545  waves 6  gain  -28.14%   5@1380 + 103@1140, 30 tiles to d1, uniform 1380
  N= 550  waves 6  gain  -26.59%   10@1380 + 98@1140, 60 tiles to d1, uniform 1380
  N= 555  waves 6  gain  -24.42%   17@1380 + 91@1140, 102 tiles to d1, uniform 1380
  N= 560  waves 6  gain  -22.91%   22@1380 + 86@1140, 132 tiles to d1, uniform 1380
  N= 565  waves 6  gain  -21.43%   27@1380 + 81@1140, 162 tiles to d1, uniform 1380
  N= 570  waves 6  gain  -19.96%   32@1380 + 76@1140, 192 tiles to d1, uniform 1380
  N= 575  waves 6  gain  -18.52%   37@1380 + 71@1140, 222 tiles to d1, uniform 1380
  N= 580  waves 6  gain  -17.09%   42@1380 + 66@1140, 252 tiles to d1, uniform 1380
  N= 585  waves 6  gain  -15.68%   47@1380 + 61@1140, 282 tiles to d1, uniform 1380
  N= 590  waves 6  gain  -14.29%   52@1380 + 56@1140, 312 tiles to d1, uniform 1380
  N= 595  waves 6  gain  -12.92%   51@1140 + 57@1380, 253 tiles to d1, uniform 1380
  N= 600  waves 6  gain  -11.57%   46@1140 + 62@1380, 228 tiles to d1, uniform 1380
  N= 605  waves 6  gain  -10.24%   41@1140 + 67@1380, 203 tiles to d1, uniform 1380
  N= 610  waves 6  gain   -9.21%   37@1140 + 71@1380, 184 tiles to d1, uniform 1380
  N= 615  waves 6  gain   -7.91%   32@1140 + 76@1380, 159 tiles to d1, uniform 1380
  N= 620  waves 6  gain   -6.66%   28@1155 + 80@1380, 140 tiles to d1, uniform 1380
  N= 625  waves 6  gain   -5.43%   23@1155 + 85@1380, 115 tiles to d1, uniform 1380
  N= 630  waves 6  gain   -4.23%   18@1155 + 90@1380, 90 tiles to d1, uniform 1380
  N= 635  waves 6  gain   -3.03%   13@1155 + 95@1380, 65 tiles to d1, uniform 1380
  N= 640  waves 6  gain   -1.93%   8@1140 + 100@1380, 40 tiles to d1, uniform 1380
  N= 645  waves 6  gain   -0.96%   1@690 + 107@735, 6 tiles to d1, uniform 690
