pas,block_m,part,sms,clock,clock_med,held,real_rows,padded_rows,tiles,ms,power_w,idle_w,p_dyn_w,kappa_mw_per_mhz_per_sm,e_dyn_mj,replays
0,128,light,54,1200,1200,True,338,1152,252,0.15017,167.16,67.8,99.36,1.53333,14.92123,500
0,128,heavy,54,1200,1200,True,61614,69120,15120,8.31899,176.88,67.8,109.08,1.68333,907.43512,45
0,128,light,54,1065,1065,True,338,1152,252,0.16897,137.85,63.1,74.75,1.29977,12.63054,500
0,128,heavy,54,1065,1065,True,61614,69120,15120,9.38067,144.89,63.1,81.79,1.42219,767.24506,39
0,128,light,54,1290,1290,True,338,1152,252,0.14039,163.4,72.49,90.91,1.30505,12.76245,500
0,128,heavy,54,1290,1290,True,61614,69120,15120,7.74073,197.99,72.49,125.5,1.80161,971.46221,48
0,128,light,54,1035,1035,True,338,1152,252,0.17354,138.12,62.5,75.62,1.35301,13.12274,500
0,128,heavy,54,1035,1035,True,61614,69120,15120,9.63396,141.08,62.5,78.58,1.40598,757.03669,38
0,128,light,54,870,870,True,338,1152,252,0.20496,126.12,61.08,65.04,1.38442,13.33088,500
0,128,heavy,54,870,870,True,61614,69120,15120,11.44367,126.12,61.08,65.04,1.38442,744.29599,32
0,128,light,54,1110,1110,True,338,1152,252,0.16277,148.71,64.3,84.41,1.40824,13.73953,500
0,128,heavy,54,1110,1110,True,61614,69120,15120,9.01319,153.08,64.3,88.78,1.48115,800.19067,41
0,128,light,54,1245,1245,True,338,1152,252,0.14512,174.2,70.14,104.06,1.54782,15.10138,500
0,128,heavy,54,1245,1245,True,61614,69120,15120,8.01857,187.41,70.14,117.27,1.74431,940.33802,46
0,128,light,54,1155,1155,True,338,1152,252,0.15603,159.57,66.65,92.92,1.48982,14.49862,500
0,128,heavy,54,1155,1155,True,61614,69120,15120,8.64259,166.61,66.65,99.96,1.60269,863.91291,43
0,128,light,54,690,690,True,338,1152,252,0.25647,112.04,60.15,51.89,1.39265,13.30844,500
0,128,heavy,54,690,690,True,61614,69120,15120,14.39508,111.44,60.15,51.29,1.37654,738.32359,26
0,128,light,54,780,780,True,338,1152,252,0.22808,118.81,60.47,58.34,1.38509,13.30623,500
0,128,heavy,54,780,780,True,61614,69120,15120,12.76042,119.08,60.47,58.61,1.3915,747.88793,29
0,128,light,54,600,600,True,338,1152,252,0.29399,104.67,59.27,45.4,1.40123,13.34717,500
0,128,heavy,54,600,600,True,61614,69120,15120,16.52855,104.67,59.27,45.4,1.40123,750.39603,22
0,128,light,54,930,930,True,338,1152,252,0.19205,130.54,61.62,68.92,1.37236,13.23576,500
0,128,heavy,54,930,930,True,61614,69120,15120,10.71004,131.09,61.62,69.47,1.38331,744.02633,34
0,128,light,54,990,990,True,338,1152,252,0.18077,134.33,61.95,72.38,1.35391,13.08407,500
0,128,heavy,54,990,990,True,61614,69120,15120,10.06765,136.11,61.95,74.16,1.38721,746.61679,37
1,128,light,54,990,990,True,338,1152,252,0.18076,98.43,61.95,36.48,0.68238,6.59417,500
1,128,heavy,54,990,990,True,61614,69120,15120,10.06741,135.37,61.95,73.42,1.37336,739.14899,37
1,128,light,54,870,870,True,338,1152,252,0.20493,126.4,61.35,65.05,1.38463,13.33071,500
1,128,heavy,54,870,870,True,61614,69120,15120,11.44549,126.4,61.35,65.05,1.38463,744.5288,32
1,128,light,54,690,690,True,338,1152,252,0.25649,111.88,60.09,51.79,1.38996,13.28338,500
1,128,heavy,54,690,690,True,61614,69120,15120,14.39466,112.31,60.09,52.22,1.4015,751.68923,26
1,128,light,54,780,780,True,338,1152,252,0.22807,118.48,60.47,58.01,1.37726,13.23042,500
1,128,heavy,54,780,780,True,61614,69120,15120,12.76032,119.08,60.47,58.61,1.3915,747.88239,29
1,128,light,54,600,600,True,338,1152,252,0.29399,104.73,59.54,45.19,1.39475,13.2856,500
1,128,heavy,54,600,600,True,61614,69120,15120,16.5287,104.67,59.54,45.13,1.3929,745.94029,22
1,128,light,54,1065,1065,True,338,1152,252,0.16894,140.62,63.42,77.2,1.34238,13.04195,500
1,128,heavy,54,1065,1065,True,61614,69120,15120,9.37963,145.5,63.42,82.08,1.42723,769.87977,39
1,128,light,54,1155,1155,True,338,1152,252,0.1561,116.74,66.65,50.09,0.80311,7.81887,500
1,128,heavy,54,1155,1155,True,61614,69120,15120,8.64791,166.02,66.65,99.37,1.59323,859.34299,43
1,128,light,54,1035,1035,True,338,1152,252,0.1736,138.12,62.83,75.29,1.34711,13.07032,500
1,128,heavy,54,1035,1035,True,61614,69120,15120,9.64531,140.2,62.83,77.37,1.38433,746.25775,38
1,128,light,54,1290,1290,True,338,1152,252,0.14046,187.13,72.82,114.31,1.64097,16.05608,500
1,128,heavy,54,1290,1290,True,61614,69120,15120,7.74172,198.26,72.82,125.44,1.80075,971.12098,48
1,128,light,54,930,930,True,338,1152,252,0.19205,130.81,61.95,68.86,1.37117,13.22445,500
1,128,heavy,54,930,930,True,61614,69120,15120,10.70997,131.69,61.95,69.74,1.38869,746.91327,34
1,128,light,54,1245,1245,True,338,1152,252,0.14505,70.75,70.75,0.0,0.0,0.0,500
1,128,heavy,54,1245,1245,True,61614,69120,15120,8.01837,187.13,70.75,116.38,1.73107,933.17781,46
1,128,light,54,1200,1200,True,338,1152,252,0.15037,80.14,68.12,12.02,0.18549,1.80745,500
1,128,heavy,54,1200,1200,True,61614,69120,15120,8.31896,173.65,68.12,105.53,1.62855,877.90006,44
1,128,light,54,1110,1110,True,338,1152,252,0.16231,127.6,64.3,63.3,1.05606,10.2741,500
1,128,heavy,54,1110,1110,True,61614,69120,15120,9.00414,151.34,64.3,87.04,1.45212,783.72067,41
2,128,light,54,1035,1035,True,338,1152,252,0.17359,138.46,62.76,75.7,1.35445,13.14062,500
2,128,heavy,54,1035,1035,True,61614,69120,15120,9.63652,141.35,62.76,78.59,1.40615,757.33446,38
2,128,light,54,1065,1065,True,338,1152,252,0.16891,143.69,63.42,80.27,1.39576,13.55803,500
2,128,heavy,54,1065,1065,True,61614,69120,15120,9.37883,145.77,63.42,82.35,1.43192,772.34695,39
2,128,light,54,690,690,True,338,1152,252,0.25649,112.16,60.47,51.69,1.38728,13.25801,500
2,128,heavy,54,690,690,True,61614,69120,15120,14.39483,112.43,60.47,51.96,1.39452,747.95519,26
2,128,light,54,1200,1200,True,338,1152,252,0.15053,164.27,69.0,95.27,1.47022,14.34089,500
2,128,heavy,54,1200,1200,True,61614,69120,15120,8.31716,174.2,69.0,105.2,1.62346,874.96569,44
