pas,block_m,part,sms,clock,clock_med,held,real_rows,padded_rows,tiles,ms,power_w,idle_w,p_dyn_w,kappa_mw_per_mhz_per_sm,e_dyn_mj,replays
0,128,light,54,1200,1200,True,1821,3200,700,0.42043,169.84,68.12,101.72,1.56975,42.76649,500
0,128,heavy,54,1200,1200,True,60131,67072,14672,8.08271,170.71,68.12,102.59,1.58318,829.20521,46
0,256,light,54,1200,1200,True,1821,4096,448,19.48976,116.13,68.12,48.01,0.7409,935.70348,19
0,256,heavy,54,1200,1200,True,60131,74240,8120,340.92072,130.54,68.12,62.42,0.96327,21280.27113,2
0,128,light,54,1065,1065,True,1821,3200,700,0.47345,139.33,62.5,76.83,1.33594,36.37528,500
0,128,heavy,54,1065,1065,True,60131,67072,14672,9.10073,142.11,62.5,79.61,1.38428,724.50907,41
0,256,light,54,1065,1065,True,1821,4096,448,21.53276,101.45,62.5,38.95,0.67727,838.70114,17
0,256,heavy,54,1065,1065,True,60131,74240,8120,375.80955,113.3,62.5,50.8,0.88332,19091.12515,2
0,128,light,54,1290,1290,True,1821,3200,700,0.39228,187.13,71.62,115.51,1.6582,45.31172,500
0,128,heavy,54,1290,1290,True,60131,67072,14672,7.52365,196.52,71.62,124.9,1.79299,939.70432,49
0,256,light,54,1290,1290,True,1821,4096,448,18.29427,127.12,71.62,55.5,0.79673,1015.33176,20
0,256,heavy,54,1290,1290,True,60131,74240,8120,320.46276,145.17,71.62,73.55,1.05584,23570.03624,2
0,128,light,54,1035,1035,True,1821,3200,700,0.48565,137.85,62.5,75.35,1.34818,36.5934,500
0,128,heavy,54,1035,1035,True,60131,67072,14672,9.36059,138.73,62.5,76.23,1.36393,713.55782,40
0,256,light,54,1035,1035,True,1821,4096,448,21.95129,100.41,62.5,37.91,0.6783,832.17339,17
0,256,heavy,54,1035,1035,True,60131,74240,8120,382.42847,112.43,62.5,49.93,0.89336,19094.65337,2
0,128,light,54,870,870,True,1821,3200,700,0.5754,125.05,61.35,63.7,1.3559,36.65281,500
0,128,heavy,54,870,870,True,60131,67072,14672,11.11782,125.98,61.35,64.63,1.37569,718.54468,33
0,256,light,54,870,870,True,1821,4096,448,25.26457,93.97,61.35,32.62,0.69434,824.1304,14
0,256,heavy,54,870,870,True,60131,74240,8120,439.03598,104.78,61.35,43.43,0.92444,19067.33269,2
0,128,light,54,1110,1110,True,1821,3200,700,0.45488,147.51,64.3,83.21,1.38822,37.85065,500
0,128,heavy,54,1110,1110,True,60131,67072,14672,8.75215,149.86,64.3,85.56,1.42743,748.83397,42
0,256,light,54,1110,1110,True,1821,4096,448,20.75565,105.71,64.3,41.41,0.69086,859.49141,18
0,256,heavy,54,1110,1110,True,60131,74240,8120,362.35076,118.81,64.3,54.51,0.90941,19751.74003,2
0,128,light,54,1245,1245,True,1821,3200,700,0.40566,178.89,70.14,108.75,1.61758,44.11527,500
0,128,heavy,54,1245,1245,True,60131,67072,14672,7.79409,184.79,70.14,114.65,1.70534,893.59195,48
0,256,light,54,1245,1245,True,1821,4096,448,18.869,123.03,70.14,52.89,0.7867,997.98166,19
0,256,heavy,54,1245,1245,True,60131,74240,8120,330.3239,138.87,70.14,68.73,1.02231,22703.16197,2
0,128,light,54,1155,1155,True,1821,3200,700,0.43754,156.36,66.33,90.03,1.44348,39.39174,500
0,128,heavy,54,1155,1155,True,60131,67072,14672,8.41071,159.85,66.33,93.52,1.49944,786.56996,44
0,256,light,54,1155,1155,True,1821,4096,448,20.1599,108.06,66.33,41.73,0.66907,841.27263,18
0,256,heavy,54,1155,1155,True,60131,74240,8120,352.10255,124.05,66.33,57.72,0.92544,20323.35906,2
0,128,light,54,690,690,True,1821,3200,700,0.72427,111.17,60.15,51.02,1.3693,36.95233,500
0,128,heavy,54,690,690,True,60131,67072,14672,14.009,111.17,60.15,51.02,1.3693,714.73936,26
0,256,light,54,690,690,True,1821,4096,448,31.71517,86.92,60.15,26.77,0.71846,849.01513,11
0,256,heavy,54,690,690,True,60131,74240,8120,549.0723,94.84,60.15,34.69,0.93103,19047.31793,2
0,128,light,54,780,780,True,1821,3200,700,0.64114,117.88,60.75,57.13,1.35636,36.6285,500
0,128,heavy,54,780,780,True,60131,67072,14672,12.39607,118.21,60.75,57.46,1.3642,712.27826,30
0,256,light,54,780,780,True,1821,4096,448,28.07334,89.81,60.75,29.06,0.68993,815.81121,13
0,256,heavy,54,780,780,True,60131,74240,8120,486.88993,99.71,60.75,38.96,0.92498,18969.23162,2
0,128,light,54,600,600,True,1821,3200,700,0.83033,103.97,59.6,44.37,1.36944,36.84181,448
0,128,heavy,54,600,600,True,60131,67072,14672,16.0753,103.91,59.6,44.31,1.36759,712.29643,23
