pas,block_m,part,sms,clock,clock_med,held,real_rows,padded_rows,tiles,ms,power_w,idle_w,p_dyn_w,kappa_mw_per_mhz_per_sm,e_dyn_mj,replays
0,16,light,54,1200,1200,True,1821,1936,3388,0.76314,148.71,67.52,81.19,1.25293,61.95953,486
0,16,heavy,54,1200,1200,True,60131,60880,106540,22.1784,141.35,67.52,73.83,1.13935,1637.43157,16
0,32,light,54,1200,1200,True,1821,2080,1820,0.48572,164.81,67.52,97.29,1.50139,47.25584,500
0,32,heavy,54,1200,1200,True,60131,61824,54096,12.94501,155.43,67.52,87.91,1.35664,1137.99575,28
0,64,light,54,1200,1200,True,1821,2432,1064,0.42509,161.6,67.52,94.08,1.45185,39.99233,500
0,64,heavy,54,1200,1200,True,60131,63552,27804,10.07607,153.08,67.52,85.56,1.32037,862.10884,37
0,128,light,54,1200,1200,True,1821,3200,700,0.42069,160.72,67.52,93.2,1.43827,39.20846,500
0,128,heavy,54,1200,1200,True,60131,67072,14672,8.08495,159.57,67.52,92.05,1.42052,744.21931,46
0,16,light,54,1065,1065,True,1821,1936,3388,0.83722,125.52,62.83,62.69,1.09007,52.48535,444
0,16,heavy,54,1065,1065,True,60131,60880,106540,24.46644,117.88,62.83,55.05,0.95722,1346.87769,15
0,32,light,54,1065,1065,True,1821,2080,1820,0.53262,139.6,62.83,76.77,1.3349,40.88955,500
0,32,heavy,54,1065,1065,True,60131,61824,54096,14.29216,130.81,62.83,67.98,1.18206,971.58119,26
0,64,light,54,1065,1065,True,1821,2432,1064,0.47512,136.11,62.83,73.28,1.27421,34.81662,500
0,64,heavy,54,1065,1065,True,60131,63552,27804,11.32484,129.07,62.83,66.24,1.1518,750.15735,33
0,128,light,54,1065,1065,True,1821,3200,700,0.4736,135.05,62.83,72.22,1.25578,34.2037,500
0,128,heavy,54,1065,1065,True,60131,67072,14672,9.1023,134.64,62.83,71.81,1.24865,653.63581,41
0,16,light,54,1290,1290,True,1821,1936,3388,0.72071,164.54,71.9,92.64,1.32989,66.7667,500
