case,pas,clock,clock_med,sm_light,sm_heavy,light_experts,tile_share_light,ms,power_w,energy_mj,tflops
pinned_L16_sm3,0,1200,1200,3,105,16,0.0455,5.29583,264.91,1402.918,110.4
pinned_L96_sm62,0,1200,1200,62,46,96,0.5956,4.34807,314.13,1365.8584,134.46
pinned_L48_sm18,0,1200,1200,18,90,48,0.2077,4.55198,304.43,1385.7607,128.44
pinned_L48_sm22,0,1200,1200,22,86,48,0.2077,4.29771,319.43,1372.8187,136.04
pinned_L8_sm2,0,1200,1200,2,106,8,0.0164,4.28036,318.22,1362.0967,136.59
pinned_L64_sm35,0,1200,1200,35,73,64,0.3242,4.30288,322.31,1386.8617,135.87
queue,0,1200,1200,,,,,4.04872,328.2,1328.7885,144.4
pinned_L32_sm13,0,1200,1200,13,95,32,0.1202,4.3066,318.22,1370.4472,135.76
pinned_L96_sm60,0,1200,1200,60,48,96,0.5956,4.45007,310.91,1383.5706,131.38
pinned_L16_sm1,0,1200,1200,1,107,16,0.0455,12.0366,159.66,1921.764,48.57
pinned_L32_sm9,0,1200,1200,9,99,32,0.1202,4.88855,288.32,1409.4657,119.6
pinned_L16_sm7,0,1200,1200,7,101,16,0.0455,4.36959,314.46,1374.0597,133.8
pinned_L8_sm6,0,1200,1200,6,102,8,0.0164,4.4231,310.77,1374.5667,132.18
pinned_L64_sm33,0,1200,1200,33,75,64,0.3242,4.34939,319.42,1389.2809,134.42
pinned_L96_sm68,0,1200,1200,68,40,96,0.5956,4.48423,308.89,1385.1337,130.38
pinned_L96_sm64,0,1200,1200,64,44,96,0.5956,4.30017,321.5,1382.5042,135.96
pinned_L16_sm5,0,1200,1200,5,103,16,0.0455,4.2781,320.56,1371.389,136.66
pinned_L32_sm15,0,1200,1200,15,93,32,0.1202,4.36679,319.15,1393.6609,133.89
pinned_L64_sm31,0,1200,1200,31,77,64,0.3242,4.38827,317.95,1395.2507,133.23
pinned_L48_sm20,0,1200,1200,20,88,48,0.2077,4.44194,314.46,1396.8137,131.62
pinned_L64_sm39,0,1200,1200,39,69,64,0.3242,4.47374,313.86,1404.1287,130.69
pinned_L96_sm66,0,1200,1200,66,42,96,0.5956,4.37892,317.95,1392.2774,133.52
pinned_L48_sm26,0,1200,1200,26,82,48,0.2077,4.43875,317.41,1408.905,131.72
pinned_L8_sm1,0,1200,1200,1,107,8,0.0164,5.52815,265.18,1465.9553,105.76
pinned_L16_sm9,0,1200,1200,9,99,16,0.0455,4.42151,315.61,1395.472,132.23
pinned_L48_sm24,0,1200,1200,24,84,48,0.2077,4.3598,318.55,1388.8148,134.1
pinned_L8_sm4,0,1200,1200,4,104,8,0.0164,4.35557,317.08,1381.0645,134.23
persistent_2blk_per_sm,0,1200,1200,,,,,4.24148,321.77,1364.7802,137.84
pinned_L64_sm37,0,1200,1200,37,71,64,0.3242,4.35665,320.62,1396.8297,134.2
pinned_L32_sm11,0,1200,1200,11,97,32,0.1202,4.50424,311.24,1401.8986,129.8
persistent_1blk_per_sm,0,1200,1200,,,,,5.04523,273.96,1382.1923,115.88
pinned_L32_sm17,0,1200,1200,17,91,32,0.1202,4.4315,315.61,1398.6263,131.93
pinned_L64_sm37,1,1200,1200,37,71,64,0.3242,4.35735,320.3,1395.6578,134.18
pinned_L96_sm62,1,1200,1200,62,46,96,0.5956,4.34917,320.62,1394.4297,134.43
pinned_L96_sm68,1,1200,1200,68,40,96,0.5956,4.47967,312.38,1399.3605,130.51
pinned_L32_sm13,1,1200,1200,13,95,32,0.1202,4.30439,321.77,1385.0222,135.83
queue,1,1200,1200,,,,,4.05186,328.21,1329.8598,144.29
pinned_L32_sm9,1,1200,1200,9,99,32,0.1202,4.8812,293.94,1434.7804,119.78
