stage,kind,clock,clock_med,held,ms,power_w,energy_mj,reps
router_gemm,"compute, tiny N",300,300,True,0.084,115.29,9.684,30784
permute,pure data movement,300,300,True,0.5161,146.06,75.379,5867
expert_gemm,"compute, the 99.7%",300,300,True,4.6137,122.01,562.919,1564
combine,pure data movement,300,300,True,8.0686,85.96,693.575,1332
router_gemm,"compute, tiny N",510,510,True,0.053,144.99,7.685,48187
permute,pure data movement,510,510,True,0.3884,172.07,66.832,7459
expert_gemm,"compute, the 99.7%",510,510,True,2.7267,164.12,447.512,1939
combine,pure data movement,510,510,True,5.7138,95.62,546.352,1460
router_gemm,"compute, tiny N",705,705,True,0.0434,163.79,7.108,58632
permute,pure data movement,705,705,True,0.3534,184.92,65.351,8097
expert_gemm,"compute, the 99.7%",705,705,True,1.9782,204.69,404.927,2286
combine,pure data movement,705,705,True,4.5759,104.62,478.732,1569
router_gemm,"compute, tiny N",900,900,True,0.0359,185.19,6.655,70593
permute,pure data movement,900,900,True,0.3474,190.18,66.077,8218
expert_gemm,"compute, the 99.7%",900,900,True,1.5517,243.43,377.736,2634
combine,pure data movement,900,900,True,3.8264,113.95,436.022,1676
router_gemm,"compute, tiny N",1050,1050,True,0.0328,197.7,6.489,77188
permute,pure data movement,1050,1050,True,0.3482,192.7,67.097,8203
expert_gemm,"compute, the 99.7%",1050,1050,True,1.3456,273.72,368.31,2881
combine,pure data movement,1050,1050,True,3.4126,121.55,414.796,1755
router_gemm,"compute, tiny N",1200,1200,True,0.0306,234.11,7.175,82590
permute,pure data movement,1200,1200,True,0.3493,214.61,74.969,8179
expert_gemm,"compute, the 99.7%",1200,1200,True,1.1677,375.3,438.253,3163
combine,pure data movement,1200,1200,True,3.1093,144.99,450.819,1827
router_gemm,"compute, tiny N",1305,1305,True,0.0294,267.05,7.861,85946
permute,pure data movement,1305,1305,True,0.3495,235.9,82.447,8176
expert_gemm,"compute, the 99.7%",1305,1245,False,1.1361,406.0,461.269,3226
combine,pure data movement,1305,1305,True,2.9274,166.28,486.766,1877
router_gemm,"compute, tiny N",1410,1410,True,0.0286,322.17,9.221,88367
permute,pure data movement,1410,1410,True,0.3508,274.03,96.133,8149
expert_gemm,"compute, the 99.7%",1410,1230,False,1.1404,402.21,458.669,3217
combine,pure data movement,1410,1410,True,2.7751,205.88,571.346,1923
