latency_ms,one_45MHz_hi,two_45MHz_hi,one_45MHz_mix,two_45MHz_mix,one_15MHz_hi,two_15MHz_hi,one_15MHz_mix,two_15MHz_mix,one_5MHz_hi,two_5MHz_hi,one_5MHz_mix,two_5MHz_mix,two_cost
3.7972566666666663,1443.38,1443.38,1443.38,1443.38,1443.38,1443.38,1443.38,1443.38,1443.38,1443.38,1443.38,1443.38,
3.817,1443.38,1435.63,1443.38,1434.8,1443.38,1432.27,1443.38,1431.41,1430.93,1426.19,1430.93,1425.83,
3.837,1443.38,1428.31,1443.38,1426.2,1406.05,1405.79,1406.05,1405.76,1406.05,1405.79,1406.05,1405.76,
3.857,1443.38,1417.35,1443.38,1413.7,1406.05,1399.01,1406.05,1397.85,1400.06,1397.31,1400.06,1396.9,
3.877,1443.38,1417.35,1443.38,1413.41,1388.09,1387.85,1388.09,1387.81,1388.09,1387.85,1388.09,1387.81,
3.897,1443.38,1402.75,1443.38,1397.05,1388.09,1380.86,1388.09,1379.75,1382.32,1379.57,1382.32,1378.46,
3.917,1443.38,1401.42,1443.38,1394.75,1388.09,1372.36,1388.09,1369.72,1376.55,1370.84,1376.55,1369.09,
3.937,1370.77,1363.42,1370.77,1362.18,1370.77,1363.42,1370.77,1362.18,1364.7,1362.26,1364.7,1359.61,
3.957,1370.77,1357.08,1370.77,1354.63,1370.77,1356.0,1370.77,1353.19,1358.63,1353.14,1358.63,1351.26,
3.977,1370.77,1350.94,1370.77,1347.58,1352.56,1342.79,1352.56,1339.55,1340.9,1339.52,1340.9,1339.28,
3.997,1370.77,1344.83,1370.77,1340.48,1352.56,1334.61,1352.56,1331.93,1329.24,1325.99,1329.24,1325.51,
4.017,1370.77,1333.85,1370.77,1327.23,1317.58,1313.75,1317.58,1312.97,1317.58,1313.19,1317.58,1312.28,1489.63
4.037,1370.77,1330.27,1370.77,1323.49,1317.58,1306.98,1317.58,1305.08,1304.58,1303.3,1304.58,1303.06,1482.45
4.057,1298.09,1295.67,1298.09,1295.23,1298.09,1295.67,1298.09,1295.23,1298.09,1295.33,1298.09,1294.88,1453.01
4.077,1298.09,1290.35,1298.09,1289.15,1298.09,1290.35,1298.09,1289.15,1291.6,1287.28,1291.6,1286.55,1446.1
4.097,1298.09,1284.72,1298.09,1282.65,1278.61,1277.74,1278.61,1277.62,1278.61,1277.74,1278.61,1277.62,1435.41
4.117,1298.09,1277.22,1298.09,1273.99,1278.61,1270.92,1278.61,1269.56,1271.26,1269.19,1271.26,1268.91,1427.62
4.137,1298.09,1272.8,1298.09,1268.5,1278.61,1266.6,1278.61,1264.48,1263.92,1261.01,1263.92,1260.44,1418.88
4.157,1298.09,1266.43,1298.09,1260.69,1256.57,1252.86,1256.57,1252.06,1256.57,1252.7,1256.57,1251.87,1409.42
4.177,1298.09,1259.76,1298.09,1253.82,1256.57,1245.93,1256.57,1243.63,1249.26,1245.23,1249.26,1243.63,1403.98
4.197,1234.65,1234.46,1234.65,1234.46,1234.65,1234.46,1234.65,1234.46,1234.65,1234.31,1234.65,1234.28,1390.36
4.217,1234.65,1230.07,1234.65,1229.4,1234.65,1230.07,1234.65,1229.4,1230.63,1229.46,1230.63,1229.28,1381.96
4.237,1234.65,1226.51,1234.65,1225.42,1234.65,1226.51,1234.65,1225.42,1226.61,1224.5,1226.61,1224.12,1361.12
4.257,1222.6,1219.37,1222.6,1218.73,1222.6,1219.37,1222.6,1218.73,1222.6,1219.37,1222.6,1218.73,1355.86
4.277,1222.6,1214.38,1222.6,1212.51,1222.6,1214.38,1222.6,1212.51,1211.05,1211.06,1211.05,1211.06,1343.16
4.297,1205.28,1204.68,1205.28,1204.58,1205.28,1204.68,1205.28,1204.58,1205.28,1204.68,1205.28,1204.58,1336.71
4.317,1205.28,1201.04,1205.28,1200.34,1205.28,1201.04,1205.28,1200.34,1200.14,1199.1,1200.14,1198.93,1332.49
4.337,1205.28,1197.5,1205.28,1196.21,1205.28,1197.5,1205.28,1196.21,1195.0,1193.6,1195.0,1193.36,1319.62
4.357,1189.86,1188.75,1189.86,1188.44,1189.86,1188.75,1189.86,1188.44,1189.86,1188.58,1189.86,1188.23,1312.45
4.377,1189.86,1186.23,1189.86,1185.26,1189.86,1186.23,1189.86,1185.26,1185.77,1184.28,1185.77,1183.96,1301.2
4.397,1189.86,1184.2,1189.86,1182.68,1189.86,1184.2,1189.86,1182.68,1181.67,1179.78,1181.67,1179.28,1295.57
4.417,1177.57,1175.45,1177.57,1175.0,1177.57,1175.45,1177.57,1175.0,1177.57,1175.45,1177.57,1175.0,1290.6
4.437,1177.57,1173.91,1177.57,1173.12,1177.57,1173.91,1177.57,1173.12,1174.07,1171.92,1174.07,1171.5,1277.52
4.457,1177.57,1171.72,1177.57,1170.53,1177.57,1171.72,1177.57,1170.53,1170.58,1168.39,1170.58,1168.0,1273.58
4.477,1167.09,1164.86,1167.09,1164.5,1167.09,1164.86,1167.09,1164.5,1167.09,1164.86,1167.09,1164.5,1270.59
4.497,1167.09,1163.24,1167.09,1162.62,1167.09,1163.24,1167.09,1162.62,1159.31,1159.11,1159.31,1159.08,1263.28
4.517,1155.42,1155.0,1155.42,1154.94,1155.42,1155.0,1155.42,1154.94,1155.42,1154.97,1155.42,1154.91,1258.17
4.537,1155.42,1152.43,1155.42,1152.02,1155.42,1152.43,1155.42,1152.02,1151.78,1151.15,1151.78,1151.06,1248.14
4.557,1155.42,1149.93,1155.42,1149.18,1155.42,1149.93,1155.42,1149.18,1148.14,1147.51,1148.14,1147.42,1244.41
4.577,1144.51,1144.44,1144.51,1144.42,1144.51,1144.44,1144.51,1144.42,1144.51,1144.39,1144.51,1144.35,1240.79
4.597,1144.51,1144.03,1144.51,1143.86,1144.51,1144.03,1144.51,1143.86,1143.62,1143.46,1143.62,1143.4,1232.29
4.617,1144.51,1143.62,1144.51,1143.31,1144.51,1143.62,1144.51,1143.31,1142.72,1142.57,1142.72,1142.51,1229.63
