anchor,step_mhz,gain_pct
1035,15,1.671
1035,30,2.5291
1035,45,3.3412
1035,60,4.4317
1035,75,5.0139
1035,90,5.4533
1050,15,1.671
1050,30,2.581
1050,45,3.3976
1050,60,4.7458
1050,75,4.9255
1050,90,6.2387
1065,15,1.671
1065,30,2.5291
1065,45,3.7522
1065,60,4.226
1065,75,5.5958
1065,90,6.4791
1080,15,1.671
1080,30,2.581
1080,45,3.3412
1080,60,4.1864
1080,75,5.6211
1080,90,6.1382
1095,15,1.671
1095,30,2.5291
1095,45,3.3976
1095,60,4.4317
1095,75,5.3365
1095,90,5.8315
1110,15,1.671
1110,30,2.581
1110,45,3.7522
1110,60,4.7458
1110,75,5.0139
1110,90,6.5565
1125,15,1.671
1125,30,2.5291
1125,45,3.3412
1125,60,4.226
1125,75,4.9255
1125,90,5.4533
1140,15,1.671
1140,30,2.581
1140,45,3.3976
1140,60,4.1864
1140,75,5.5958
1140,90,6.2387
1155,15,1.671
1155,30,2.5291
1155,45,3.7522
1155,60,4.4317
1155,75,5.6211
1155,90,6.4791
1170,15,1.671
1170,30,2.581
1170,45,3.3412
1170,60,4.7458
1170,75,5.3365
1170,90,6.1382
1185,15,1.671
1185,30,2.5291
1185,45,3.3976
1185,60,4.226
1185,75,5.0139
1185,90,5.8315
1200,15,1.671
1200,30,2.581
1200,45,3.7522
1200,60,4.1864
1200,75,4.9255
1200,90,6.5565
1215,15,1.671
1215,30,2.5291
1215,45,3.3412
1215,60,4.4317
1215,75,5.5958
1215,90,5.4533
1230,15,1.671
1230,30,2.581
1230,45,3.3976
1230,60,4.7458
1230,75,5.6211
1230,90,6.2387
1245,15,1.671
1245,30,2.5291
1245,45,3.7522
1245,60,4.226
1245,75,5.3365
1245,90,6.4791
1260,15,1.671
1260,30,2.581
1260,45,3.3412
1260,60,4.1864
1260,75,5.0139
1260,90,6.1382
1275,15,1.671
1275,30,2.5291
1275,45,3.3976
1275,60,4.4317
1275,75,4.9255
1275,90,5.8315
1290,15,1.671
1290,30,2.581
1290,45,3.7522
1290,60,4.7458
1290,75,5.5958
1290,90,6.5565
