tiles,waves,rem,gain_pct,s1,f1,f2,n1,f_uniform
110,2,2,-34.612,2,1380.0,735.0,4,1380.0
115,2,7,-31.999,7,1380.0,735.0,14,1380.0
120,2,12,-29.537,12,1380.0,735.0,24,1380.0
125,2,17,-27.213,17,1380.0,735.0,34,1380.0
130,2,22,-25.016,22,1380.0,735.0,44,1380.0
135,2,27,-22.906,27,1380.0,750.0,54,1380.0
140,2,32,-20.936,32,1380.0,750.0,64,1380.0
145,2,37,-19.04,37,1380.0,765.0,74,1380.0
150,2,42,-17.287,66,750.0,1380.0,66,1380.0
155,2,47,-15.593,61,750.0,1380.0,61,1380.0
160,2,52,-13.98,56,750.0,1380.0,56,1380.0
165,2,57,-12.456,51,735.0,1380.0,51,1380.0
170,2,62,-10.983,46,735.0,1380.0,46,1380.0
175,2,67,-9.575,41,735.0,1380.0,41,1380.0
180,2,72,-8.227,36,735.0,1380.0,36,1380.0
185,2,77,-6.936,31,735.0,1380.0,31,1380.0
190,2,82,-5.698,26,735.0,1380.0,26,1380.0
195,2,87,-4.509,21,735.0,1380.0,21,1380.0
200,2,92,-3.368,16,735.0,1380.0,16,1380.0
205,2,97,-2.271,11,735.0,1380.0,11,1380.0
210,2,102,-1.215,6,735.0,1380.0,6,1380.0
215,2,107,-0.963,1,690.0,735.0,2,690.0
220,3,4,-34.398,4,1380.0,915.0,12,1380.0
225,3,9,-32.208,9,1380.0,915.0,27,1380.0
230,3,14,-30.088,14,1380.0,915.0,42,1380.0
235,3,19,-28.036,19,1380.0,915.0,57,1380.0
240,3,24,-26.048,24,1380.0,915.0,72,1380.0
245,3,29,-24.121,29,1380.0,915.0,87,1380.0
250,3,34,-22.252,34,1380.0,915.0,102,1380.0
255,3,39,-20.44,39,1380.0,915.0,117,1380.0
260,3,44,-18.68,44,1380.0,915.0,132,1380.0
265,3,49,-16.971,49,1380.0,915.0,147,1380.0
270,3,54,-15.311,54,915.0,1380.0,108,1380.0
275,3,59,-13.698,49,915.0,1380.0,98,1380.0
280,3,64,-12.13,44,915.0,1380.0,88,1380.0
285,3,69,-10.604,39,915.0,1380.0,78,1380.0
290,3,74,-9.12,34,915.0,1380.0,68,1380.0
