m,nk,k,grid,ctas,ar_mib,tc_over_tg,E_1clk_mJ,E_1clk_ms,E_1clk_f,E_2clk_mJ,E_2clk_ms,E_2clk_fg,E_2clk_fc,E_dE_pct,E_dT_pct,T_1clk_mJ,T_1clk_ms,T_1clk_f,T_2clk_mJ,T_2clk_ms,T_2clk_fg,T_2clk_fc,T_dE_pct,T_dT_pct,EDP_1clk_mJ,EDP_1clk_ms,EDP_1clk_f,EDP_2clk_mJ,EDP_2clk_ms,EDP_2clk_fg,EDP_2clk_fc,EDP_dE_pct,EDP_dT_pct
1024,4096,4096,128,1,64,25.7153,708.82,6.0355,1410,514.46,6.0355,300,1410,-27.42,0.0,708.82,6.0355,1410,514.46,6.0355,300,1410,-27.42,0.0,708.82,6.0355,1410,514.46,6.0355,300,1410,-27.42,0.0
1024,4096,4096,128,2,64,12.9186,394.97,3.5252,1200,290.48,3.0506,300,1410,-26.45,-13.46,398.24,3.0506,1410,290.48,3.0506,300,1410,-27.06,0.0,398.24,3.0506,1410,290.48,3.0506,300,1410,-27.06,0.0
1024,4096,4096,128,4,64,6.7409,243.13,1.8676,1200,186.09,1.6272,300,1410,-23.46,-12.88,252.45,1.6272,1410,186.09,1.6272,300,1410,-26.29,0.0,252.45,1.6272,1410,186.09,1.6272,300,1410,-26.29,0.0
1024,4096,4096,128,8,64,3.7505,167.0,1.0659,1200,135.86,0.9308,510,1410,-18.65,-12.67,182.01,0.9308,1410,135.86,0.9308,510,1410,-25.36,0.0,182.01,0.9308,1410,135.86,0.9308,510,1410,-25.36,0.0
1024,4096,4096,128,16,64,2.4136,128.86,0.8518,900,112.18,0.6201,510,1410,-12.94,-27.2,149.06,0.6201,1410,112.18,0.6201,510,1410,-24.74,0.0,129.4,0.6787,1200,112.18,0.6201,510,1410,-13.31,-8.63
1024,4096,4096,128,32,64,2.0997,119.48,0.741,900,108.86,0.5829,705,1200,-8.89,-21.34,143.55,0.5597,1410,110.82,0.5597,705,1410,-22.8,0.0,120.37,0.5829,1200,110.82,0.5597,705,1410,-7.94,-3.97
1024,8192,8192,512,1,64,10.5802,847.3,6.9937,1200,616.05,6.0355,300,1410,-27.29,-13.7,847.3,6.9937,1200,616.05,6.0355,300,1410,-27.29,-13.7,847.3,6.9937,1200,616.05,6.0355,300,1410,-27.29,-13.7
1024,8192,8192,512,2,64,5.3152,516.02,3.5252,1200,392.06,3.0506,510,1410,-24.02,-13.46,516.02,3.5252,1200,392.06,3.0506,510,1410,-24.02,-13.46,516.02,3.5252,1200,392.06,3.0506,510,1410,-24.02,-13.46
1024,8192,8192,512,4,64,2.7734,358.73,2.3789,900,285.91,1.6272,510,1410,-20.3,-31.6,364.18,1.8676,1200,285.91,1.6272,510,1410,-21.49,-12.88,364.18,1.8676,1200,285.91,1.6272,510,1410,-21.49,-12.88
1024,8192,8192,512,8,64,1.5431,269.63,1.3236,900,244.14,1.0293,900,1410,-9.45,-22.23,288.06,1.0659,1200,274.33,0.9308,1200,1410,-4.77,-12.67,288.06,1.0659,1200,244.14,1.0293,900,1410,-15.24,-3.44
