m,nk,k,grid,ar_mib,E_1clk_mJ,E_1clk_ms,E_2clk_mJ,E_2clk_ms,E_dE_pct,E_dT_pct,T_1clk_mJ,T_1clk_ms,T_2clk_mJ,T_2clk_ms,T_dE_pct,T_dT_pct,EDP_1clk_mJ,EDP_1clk_ms,EDP_2clk_mJ,EDP_2clk_ms,EDP_dE_pct,EDP_dT_pct
1024,4096,4096,128,64,119.48,0.741,108.86,0.5829,-8.89,-21.34,143.55,0.5597,110.82,0.5597,-22.8,0.0,120.37,0.5829,110.82,0.5597,-7.94,-3.97
1024,8192,8192,512,64,238.52,1.0281,236.12,0.9935,-1.01,-3.37,257.96,0.7864,258.08,0.7793,0.05,-0.89,257.96,0.7864,258.08,0.7793,0.05,-0.89
1024,16384,16384,512,64,750.88,3.2529,750.88,3.2529,0.0,0.0,865.57,2.3259,852.24,2.3259,-1.54,0.0,865.57,2.3259,852.24,2.3259,-1.54,0.0
2048,4096,4096,256,64,150.98,0.741,145.63,0.6451,-3.54,-12.94,159.16,0.5829,160.95,0.5597,1.13,-3.97,159.16,0.5829,160.95,0.5597,1.13,-3.97
2048,8192,8192,512,64,402.24,1.7558,400.73,1.7211,-0.38,-1.97,445.65,1.3368,446.72,1.3251,0.24,-0.88,445.65,1.3368,446.72,1.3251,0.24,-0.88
2048,16384,16384,1024,64,1429.8,6.2848,1429.8,6.2848,0.0,0.0,1640.03,4.6005,1628.02,4.6005,-0.73,0.0,1640.03,4.6005,1628.02,4.6005,-0.73,0.0
4096,4096,4096,512,64,233.74,1.0003,231.53,0.9693,-0.95,-3.1,253.52,0.7605,253.9,0.7578,0.15,-0.36,253.52,0.7605,253.9,0.7578,0.15,-0.36
4096,8192,8192,1024,64,750.46,3.2922,750.46,3.2922,0.0,0.0,862.65,2.3552,849.34,2.3552,-1.54,0.0,862.65,2.3552,849.34,2.3552,-1.54,0.0
4096,16384,16384,2048,64,2768.42,11.7619,2768.42,11.7619,0.0,0.0,3201.79,8.8138,3191.35,8.8011,-0.33,-0.14,3182.48,8.8277,3186.34,8.8135,0.12,-0.16
8192,4096,4096,1024,64,412.58,1.7916,411.11,1.757,-0.36,-1.93,465.15,1.336,460.34,1.3224,-1.03,-1.01,465.15,1.336,460.34,1.3224,-1.03,-1.01
8192,8192,8192,2048,64,1425.41,6.0787,1425.41,6.0787,0.0,0.0,1646.52,4.5442,1633.58,4.5315,-0.79,-0.28,1627.2,4.5581,1626.1,4.5439,-0.07,-0.31
8192,16384,16384,4096,64,5497.11,23.2569,5491.91,23.5368,-0.09,1.2,6385.5,17.4578,6399.66,17.4471,0.22,-0.06,6385.5,17.4578,6385.5,17.4578,0.0,0.0
