ctas,clock,m,n,k,mode,grid,waves,s_eff,ar_mib,iter_ms,iters,clock_min,clock_held,power_node_w,power_per_gpu_w,n_samples,world
4,0,1024,4096,4096,concurrent,128,2,64.0,256,6.52014,330,1410,True,557.6,139.41,77,4
4,0,2048,4096,4096,concurrent,256,3,85.33,256,6.43992,408,1410,True,594.7,148.67,101,4
4,0,4096,4096,4096,concurrent,512,5,102.4,256,6.44221,407,1410,True,667.9,166.98,100,4
4,0,1024,8192,8192,concurrent,512,5,102.4,256,6.46161,407,1410,True,665.1,166.28,101,4
4,0,2048,8192,8192,concurrent,512,5,102.4,256,6.51478,404,1410,True,806.6,201.65,101,4
4,0,8192,8192,8192,concurrent,2048,19,107.79,256,7.01456,350,1365,True,1539.6,384.89,92,4
8,0,1024,4096,4096,concurrent,128,2,64.0,256,3.65191,606,1410,True,644.2,161.04,80,4
8,0,2048,4096,4096,concurrent,256,3,85.33,256,3.59297,738,1410,True,706.8,176.69,102,4
8,0,4096,4096,4096,concurrent,512,5,102.4,256,3.61195,734,1410,True,842.9,210.72,102,4
8,0,1024,8192,8192,concurrent,512,5,102.4,256,3.62136,727,1410,True,852.4,213.1,101,4
8,0,2048,8192,8192,concurrent,512,5,102.4,256,3.65302,662,1410,True,1096.4,274.09,90,4
8,0,8192,8192,8192,concurrent,2048,19,107.79,256,5.07849,572,1170,True,1602.5,400.62,114,4
16,0,1024,4096,4096,concurrent,128,2,64.0,256,2.2498,1020,1410,True,765.2,191.31,84,4
16,0,2048,4096,4096,concurrent,256,3,85.33,256,2.24113,1195,1410,True,869.5,217.37,103,4
16,0,4096,4096,4096,concurrent,512,5,102.4,256,2.26007,1112,1410,True,1080.2,270.06,95,4
16,0,1024,8192,8192,concurrent,512,5,102.4,256,2.27338,1103,1410,True,1088.7,272.18,95,4
16,0,2048,8192,8192,concurrent,512,5,102.4,256,2.28598,1068,1410,True,1498.6,374.65,92,4
16,0,8192,8192,8192,concurrent,2048,19,107.79,256,5.12327,562,1230,True,1598.3,399.57,113,4
32,0,1024,4096,4096,concurrent,128,2,64.0,256,2.0252,1194,1410,True,802.7,200.67,90,4
32,0,2048,4096,4096,concurrent,256,3,85.33,256,1.99971,1248,1410,True,932.7,233.18,94,4
32,0,4096,4096,4096,concurrent,512,5,102.4,256,2.00429,1265,1410,True,1170.5,292.62,96,4
32,0,1024,8192,8192,concurrent,512,5,102.4,256,2.00854,1279,1410,True,1170.8,292.69,98,4
32,0,2048,8192,8192,concurrent,512,5,102.4,256,2.29766,1237,1410,True,1526.4,381.6,111,4
32,0,8192,8192,8192,concurrent,2048,19,107.79,256,5.53294,528,1245,True,1589.6,397.4,115,4
