coefficient,clock_mhz,index,index_kind,value,unit,note,source
a,300,,,0.51208,W per busy SM,P_gemm = a*S_eff + b,gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
kappa,300,,,0.00170693,W per SM per MHz,"a/f = C*V^2, the voltage curve; flat below ~1020 MHz",gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
P_static,300,,,56.366,W,"board floor, counted over the whole iteration",gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
b,300,32,N*K footprint MiB,5.021,W,residual intercept once a is fixed; collinear with a,gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
b,300,128,N*K footprint MiB,7.036,W,residual intercept once a is fixed; collinear with a,gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
b,300,512,N*K footprint MiB,8.122,W,residual intercept once a is fixed; collinear with a,gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
tau,300,,,0.000110836766,ms per wave per unit K,t_gemm = W*(K/splitK)*tau + t0.,gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
t0,300,,,0.11059588,ms,fixed per-launch cost.,gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
p0,300,,,24.692,W,P_comm = p0 + gamma*B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
gamma,300,,,0.18501,W per GB/s,P_comm = p0 + gamma*B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
B,300,1,NCCL CTAs,2.6842,GB/s algorithmic,world=4; 1 CTA = 1 SM (ncu-verified); unmeasured above 32,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
alpha,300,1,NCCL CTAs,108.71,microseconds,t_comm = alpha + S/B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
B,300,2,NCCL CTAs,5.3712,GB/s algorithmic,world=4; 1 CTA = 1 SM (ncu-verified); unmeasured above 32,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
alpha,300,2,NCCL CTAs,131.781,microseconds,t_comm = alpha + S/B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
B,300,4,NCCL CTAs,10.7559,GB/s algorithmic,world=4; 1 CTA = 1 SM (ncu-verified); unmeasured above 32,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
alpha,300,4,NCCL CTAs,163.475,microseconds,t_comm = alpha + S/B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
B,300,8,NCCL CTAs,21.4452,GB/s algorithmic,world=4; 1 CTA = 1 SM (ncu-verified); unmeasured above 32,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
alpha,300,8,NCCL CTAs,210.145,microseconds,t_comm = alpha + S/B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
B,300,16,NCCL CTAs,43.0218,GB/s algorithmic,world=4; 1 CTA = 1 SM (ncu-verified); unmeasured above 32,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
alpha,300,16,NCCL CTAs,265.923,microseconds,t_comm = alpha + S/B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
B,300,32,NCCL CTAs,74.6299,GB/s algorithmic,world=4; 1 CTA = 1 SM (ncu-verified); unmeasured above 32,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
alpha,300,32,NCCL CTAs,286.87,microseconds,t_comm = alpha + S/B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
a,510,,,0.86138,W per busy SM,P_gemm = a*S_eff + b,gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
kappa,510,,,0.00168897,W per SM per MHz,"a/f = C*V^2, the voltage curve; flat below ~1020 MHz",gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
P_static,510,,,57.602,W,"board floor, counted over the whole iteration",gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
b,510,32,N*K footprint MiB,4.438,W,residual intercept once a is fixed; collinear with a,gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
b,510,128,N*K footprint MiB,7.852,W,residual intercept once a is fixed; collinear with a,gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
b,510,512,N*K footprint MiB,9.602,W,residual intercept once a is fixed; collinear with a,gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
tau,510,,,6.5212787e-05,ms per wave per unit K,t_gemm = W*(K/splitK)*tau + t0.,gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
t0,510,,,0.06913138,ms,fixed per-launch cost.,gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
p0,510,,,24.138,W,P_comm = p0 + gamma*B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
gamma,510,,,0.22103,W per GB/s,P_comm = p0 + gamma*B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
B,510,1,NCCL CTAs,4.4271,GB/s algorithmic,world=4; 1 CTA = 1 SM (ncu-verified); unmeasured above 32,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
alpha,510,1,NCCL CTAs,83.194,microseconds,t_comm = alpha + S/B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
B,510,2,NCCL CTAs,8.872,GB/s algorithmic,world=4; 1 CTA = 1 SM (ncu-verified); unmeasured above 32,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
alpha,510,2,NCCL CTAs,94.828,microseconds,t_comm = alpha + S/B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
B,510,4,NCCL CTAs,17.6208,GB/s algorithmic,world=4; 1 CTA = 1 SM (ncu-verified); unmeasured above 32,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
alpha,510,4,NCCL CTAs,107.999,microseconds,t_comm = alpha + S/B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
B,510,8,NCCL CTAs,34.0287,GB/s algorithmic,world=4; 1 CTA = 1 SM (ncu-verified); unmeasured above 32,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
alpha,510,8,NCCL CTAs,136.999,microseconds,t_comm = alpha + S/B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
B,510,16,NCCL CTAs,63.508,GB/s algorithmic,world=4; 1 CTA = 1 SM (ncu-verified); unmeasured above 32,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
alpha,510,16,NCCL CTAs,172.19,microseconds,t_comm = alpha + S/B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
B,510,32,NCCL CTAs,77.9782,GB/s algorithmic,world=4; 1 CTA = 1 SM (ncu-verified); unmeasured above 32,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
alpha,510,32,NCCL CTAs,146.952,microseconds,t_comm = alpha + S/B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
a,705,,,1.19426,W per busy SM,P_gemm = a*S_eff + b,gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
kappa,705,,,0.00169398,W per SM per MHz,"a/f = C*V^2, the voltage curve; flat below ~1020 MHz",gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
P_static,705,,,59.376,W,"board floor, counted over the whole iteration",gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
b,705,32,N*K footprint MiB,4.435,W,residual intercept once a is fixed; collinear with a,gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
b,705,128,N*K footprint MiB,9.141,W,residual intercept once a is fixed; collinear with a,gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
b,705,512,N*K footprint MiB,11.475,W,residual intercept once a is fixed; collinear with a,gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
tau,705,,,4.7181887e-05,ms per wave per unit K,t_gemm = W*(K/splitK)*tau + t0.,gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
t0,705,,,0.05226279,ms,fixed per-launch cost.,gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
p0,705,,,23.734,W,P_comm = p0 + gamma*B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
gamma,705,,,0.21894,W per GB/s,P_comm = p0 + gamma*B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
B,705,1,NCCL CTAs,5.9096,GB/s algorithmic,world=4; 1 CTA = 1 SM (ncu-verified); unmeasured above 32,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
alpha,705,1,NCCL CTAs,62.889,microseconds,t_comm = alpha + S/B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
B,705,2,NCCL CTAs,11.8576,GB/s algorithmic,world=4; 1 CTA = 1 SM (ncu-verified); unmeasured above 32,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
alpha,705,2,NCCL CTAs,74.738,microseconds,t_comm = alpha + S/B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
B,705,4,NCCL CTAs,23.2915,GB/s algorithmic,world=4; 1 CTA = 1 SM (ncu-verified); unmeasured above 32,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
alpha,705,4,NCCL CTAs,82.886,microseconds,t_comm = alpha + S/B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
B,705,8,NCCL CTAs,43.7229,GB/s algorithmic,world=4; 1 CTA = 1 SM (ncu-verified); unmeasured above 32,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
alpha,705,8,NCCL CTAs,98.059,microseconds,t_comm = alpha + S/B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
B,705,16,NCCL CTAs,78.2831,GB/s algorithmic,world=4; 1 CTA = 1 SM (ncu-verified); unmeasured above 32,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
alpha,705,16,NCCL CTAs,133.437,microseconds,t_comm = alpha + S/B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
B,705,32,NCCL CTAs,89.485,GB/s algorithmic,world=4; 1 CTA = 1 SM (ncu-verified); unmeasured above 32,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
alpha,705,32,NCCL CTAs,110.652,microseconds,t_comm = alpha + S/B,comm_dvfs_char/data/comm_trtllm_ar_ctas.csv (288 rows)
a,900,,,1.52401,W per busy SM,P_gemm = a*S_eff + b,gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
kappa,900,,,0.00169334,W per SM per MHz,"a/f = C*V^2, the voltage curve; flat below ~1020 MHz",gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
P_static,900,,,61.356,W,"board floor, counted over the whole iteration",gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
b,900,32,N*K footprint MiB,4.343,W,residual intercept once a is fixed; collinear with a,gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
b,900,128,N*K footprint MiB,10.666,W,residual intercept once a is fixed; collinear with a,gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
b,900,512,N*K footprint MiB,12.832,W,residual intercept once a is fixed; collinear with a,gemm_dcfs_char/data/gemm_dynamic_energy.csv (1080 rows)
