ctas,clock,m,n,k,mode,grid,waves,s_eff,ar_mib,iter_ms,iters,clock_min,clock_held,power_node_w,power_per_gpu_w,n_samples,world
4,1410,0,0,0,comm_only,0,0,0,512,12.50844,207,1410,True,512.1,128.03,99,4
4,1410,1024,4096,4096,gemm_only,128,2,64.0,512,0.23489,11253,1410,True,1354.8,338.71,102,4
4,1410,1024,4096,4096,serial,128,2,64.0,512,12.72123,204,1410,True,540.9,135.23,99,4
4,1410,1024,4096,4096,concurrent,128,2,64.0,512,12.62249,206,1410,True,538.2,134.56,100,4
4,1410,2048,4096,4096,gemm_only,256,3,85.33,512,0.34745,7880,1335,False,1606.4,401.61,107,4
4,1410,2048,4096,4096,serial,256,3,85.33,512,12.84948,198,1410,True,562.3,140.58,97,4
4,1410,2048,4096,4096,concurrent,256,3,85.33,512,12.63445,206,1410,True,557.3,139.32,100,4
4,1410,4096,4096,4096,gemm_only,512,5,102.4,512,0.58924,4864,1245,False,1598.5,399.62,113,4
4,1410,4096,4096,4096,serial,512,5,102.4,512,13.03748,190,1410,True,596.7,149.17,94,4
4,1410,4096,4096,4096,concurrent,512,5,102.4,512,12.67141,206,1410,True,603.3,150.81,100,4
4,1410,1024,8192,8192,gemm_only,512,5,102.4,512,0.60907,4713,1215,False,1595.0,398.75,113,4
4,1410,1024,8192,8192,serial,512,5,102.4,512,13.06897,190,1410,True,605.0,151.24,94,4
4,1410,1024,8192,8192,concurrent,512,5,102.4,512,12.65711,206,1410,True,605.3,151.31,100,4
4,1410,2048,8192,8192,gemm_only,512,5,102.4,512,1.13186,2561,1200,False,1608.0,402.0,115,4
4,1410,2048,8192,8192,serial,512,5,102.4,512,13.5458,161,1410,True,669.0,167.25,79,4
4,1410,2048,8192,8192,concurrent,512,5,102.4,512,12.7467,205,1410,True,673.0,168.24,100,4
4,1410,8192,8192,8192,gemm_only,2048,19,107.79,512,4.31123,685,1185,False,1607.3,401.82,117,4
4,1410,8192,8192,8192,serial,2048,19,107.79,512,16.39016,145,1410,True,972.7,243.18,89,4
4,1410,8192,8192,8192,concurrent,2048,19,107.79,512,13.13962,199,1410,True,1112.3,278.07,100,4
4,1200,0,0,0,comm_only,0,0,0,512,14.38848,181,1200,True,436.7,109.17,100,4
4,1200,1024,4096,4096,gemm_only,128,2,64.0,512,0.27166,9688,1200,True,893.4,223.35,101,4
4,1200,1024,4096,4096,serial,128,2,64.0,512,14.63016,177,1200,True,445.2,111.3,99,4
4,1200,1024,4096,4096,concurrent,128,2,64.0,512,14.49288,180,1200,True,443.8,110.96,100,4
4,1200,2048,4096,4096,gemm_only,256,3,85.33,512,0.39166,6758,1200,True,1116.2,279.05,102,4
4,1200,2048,4096,4096,serial,256,3,85.33,512,14.72283,176,1200,True,453.1,113.28,99,4
4,1200,2048,4096,4096,concurrent,256,3,85.33,512,14.51038,180,1200,True,452.5,113.13,100,4
4,1200,4096,4096,4096,gemm_only,512,5,102.4,512,0.63283,4167,1200,True,1309.5,327.38,101,4
4,1200,4096,4096,4096,serial,512,5,102.4,512,14.99374,174,1200,True,474.3,118.58,100,4
4,1200,4096,4096,4096,concurrent,512,5,102.4,512,14.51236,179,1200,True,473.1,118.27,100,4
4,1200,1024,8192,8192,gemm_only,512,5,102.4,512,0.653,4021,1200,True,1304.8,326.19,101,4
4,1200,1024,8192,8192,serial,512,5,102.4,512,15.00138,174,1200,True,473.6,118.39,100,4
4,1200,1024,8192,8192,concurrent,512,5,102.4,512,14.55441,179,1200,True,475.6,118.91,100,4
4,1200,2048,8192,8192,gemm_only,512,5,102.4,512,1.20003,2185,1200,True,1345.7,336.42,101,4
4,1200,2048,8192,8192,serial,512,5,102.4,512,15.56592,168,1200,True,510.7,127.67,100,4
4,1200,2048,8192,8192,concurrent,512,5,102.4,512,14.60558,178,1200,True,513.6,128.39,100,4
4,1200,8192,8192,8192,gemm_only,2048,19,107.79,512,4.44986,586,1200,True,1439.8,359.95,100,4
4,1200,8192,8192,8192,serial,2048,19,107.79,512,18.77736,138,1200,True,670.8,167.7,99,4
4,1200,8192,8192,8192,concurrent,2048,19,107.79,512,15.00423,173,1200,True,759.2,189.81,99,4
4,900,0,0,0,comm_only,0,0,0,512,18.53152,141,900,True,381.6,95.41,100,4
4,900,1024,4096,4096,gemm_only,128,2,64.0,512,0.35203,7518,900,True,634.2,158.55,102,4
4,900,1024,4096,4096,serial,128,2,64.0,512,18.84021,138,900,True,385.7,96.42,100,4
4,900,1024,4096,4096,concurrent,128,2,64.0,512,18.6185,139,900,True,385.4,96.34,99,4
4,900,2048,4096,4096,gemm_only,256,3,85.33,512,0.51107,5157,900,True,766.4,191.6,101,4
4,900,2048,4096,4096,serial,256,3,85.33,512,18.99184,137,900,True,391.5,97.87,100,4
4,900,2048,4096,4096,concurrent,256,3,85.33,512,18.706,140,900,True,390.7,97.67,101,4
4,900,4096,4096,4096,gemm_only,512,5,102.4,512,0.83335,3167,900,True,876.5,219.12,102,4
4,900,4096,4096,4096,serial,512,5,102.4,512,19.32423,135,900,True,402.3,100.58,100,4
4,900,4096,4096,4096,concurrent,512,5,102.4,512,18.67118,139,900,True,403.0,100.76,99,4
4,900,1024,8192,8192,gemm_only,512,5,102.4,512,0.85777,3081,900,True,875.8,218.95,102,4
4,900,1024,8192,8192,serial,512,5,102.4,512,19.35022,135,900,True,402.2,100.55,100,4
4,900,1024,8192,8192,concurrent,512,5,102.4,512,18.68134,139,900,True,404.2,101.04,100,4
4,900,2048,8192,8192,gemm_only,512,5,102.4,512,1.58522,1656,900,True,891.2,222.79,101,4
4,900,2048,8192,8192,serial,512,5,102.4,512,20.07093,129,900,True,406.3,101.57,99,4
4,900,2048,8192,8192,concurrent,512,5,102.4,512,18.78302,139,900,True,424.2,106.06,100,4
4,900,8192,8192,8192,gemm_only,2048,19,107.79,512,5.90159,441,900,True,941.4,235.35,100,4
4,900,8192,8192,8192,serial,2048,19,107.79,512,24.36096,106,900,True,520.6,130.15,99,4
4,900,8192,8192,8192,concurrent,2048,19,107.79,512,19.25681,135,900,True,575.4,143.85,100,4
4,705,0,0,0,comm_only,0,0,0,512,23.11502,112,705,True,363.5,90.87,99,4
4,705,1024,4096,4096,gemm_only,128,2,64.0,512,0.44131,5916,705,True,548.4,137.1,100,4
4,705,1024,4096,4096,serial,128,2,64.0,512,23.53219,111,705,True,366.6,91.66,100,4
4,705,1024,4096,4096,concurrent,128,2,64.0,512,23.18725,112,705,True,366.7,91.68,100,4
4,705,2048,4096,4096,gemm_only,256,3,85.33,512,0.64424,4096,705,True,649.7,162.43,102,4
4,705,2048,4096,4096,serial,256,3,85.33,512,23.68829,110,705,True,370.7,92.68,100,4
4,705,2048,4096,4096,concurrent,256,3,85.33,512,23.23828,112,705,True,371.8,92.95,100,4
4,705,4096,4096,4096,gemm_only,512,5,102.4,512,1.05357,2498,705,True,732.4,183.11,101,4
4,705,4096,4096,4096,serial,512,5,102.4,512,24.12749,108,705,True,379.0,94.75,100,4
4,705,4096,4096,4096,concurrent,512,5,102.4,512,23.23625,112,705,True,381.4,95.35,100,4
4,705,1024,8192,8192,gemm_only,512,5,102.4,512,1.08113,2435,705,True,734.2,183.55,101,4
4,705,1024,8192,8192,serial,512,5,102.4,512,24.12122,102,705,True,379.0,94.75,93,4
4,705,1024,8192,8192,concurrent,512,5,102.4,512,23.29129,112,705,True,381.9,95.48,100,4
4,705,2048,8192,8192,gemm_only,512,5,102.4,512,2.01059,1303,705,True,743.6,185.89,101,4
4,705,2048,8192,8192,serial,512,5,102.4,512,25.08338,101,705,True,392.2,98.05,96,4
4,705,2048,8192,8192,concurrent,512,5,102.4,512,23.34021,112,705,True,400.1,100.02,100,4
4,705,8192,8192,8192,gemm_only,2048,19,107.79,512,7.51212,346,705,True,781.9,195.48,100,4
4,705,8192,8192,8192,serial,2048,19,107.79,512,30.45258,83,705,True,470.1,117.54,96,4
4,705,8192,8192,8192,concurrent,2048,19,107.79,512,23.88508,104,705,True,523.8,130.95,94,4
4,510,0,0,0,comm_only,0,0,0,512,30.34527,85,510,True,349.2,87.29,99,4
4,510,1024,4096,4096,gemm_only,128,2,64.0,512,0.59712,4420,510,True,465.1,116.26,102,4
4,510,1024,4096,4096,serial,128,2,64.0,512,30.94854,84,510,True,351.5,87.88,100,4
4,510,1024,4096,4096,concurrent,128,2,64.0,512,30.48542,85,510,True,351.2,87.79,99,4
4,510,2048,4096,4096,gemm_only,256,3,85.33,512,0.87902,2993,510,True,537.4,134.35,101,4
4,510,2048,4096,4096,serial,256,3,85.33,512,31.21729,83,510,True,354.4,88.6,99,4
4,510,2048,4096,4096,concurrent,256,3,85.33,512,30.48549,85,510,True,354.4,88.6,99,4
4,510,4096,4096,4096,gemm_only,512,5,102.4,512,1.441,1823,510,True,597.5,149.38,101,4
4,510,4096,4096,4096,serial,512,5,102.4,512,31.74443,82,510,True,358.2,89.55,100,4
