mib,m,nk,ctas,tc_over_tg,E_dE_pct,E_dT_pct,T_dE_pct,T_dT_pct,EDP_dE_pct,EDP_dT_pct,matched_dE_pct,vs_measured_dE_pct,compose_bias_pct
128,1024,4096,4,13.323,-18.04,-12.94,-23.17,0.0,-23.17,0.0,-23.17,-25.52,-3.06
128,1024,4096,8,7.298,-15.3,-11.61,-22.42,0.0,-22.42,0.0,-22.42,-24.0,-2.05
128,1024,4096,16,4.387,-11.23,-7.51,-21.57,0.0,-11.23,-7.51,-21.57,-23.65,-2.65
128,1024,4096,32,3.899,-8.17,0.0,-19.63,0.0,-5.77,-4.2,-19.63,-22.64,-1.24
128,1024,8192,4,5.468,-18.03,-12.94,-18.03,-12.94,-18.03,-12.94,-18.03,-18.38,-0.44
128,1024,8192,8,2.995,-14.66,-30.44,-16.53,-11.61,-16.53,-11.61,-16.53,-16.5,0.04
128,1024,8192,16,1.8,-8.59,-27.14,-13.58,-7.51,-13.58,-7.51,-13.58,-14.19,-0.7
128,1024,8192,32,1.6,-3.85,-12.5,1.33,-4.2,1.33,-4.2,0.0,-15.5,-6.7
128,2048,4096,4,9.177,-17.97,-12.94,-17.97,-12.94,-17.97,-12.94,-17.97,-17.98,-0.01
128,2048,4096,8,5.027,-15.81,-11.61,-15.81,-11.61,-15.81,-11.61,-15.81,-15.56,0.3
128,2048,4096,16,3.022,-12.05,-27.14,-12.55,-7.51,-12.55,-7.51,-12.55,-12.78,-0.27
128,2048,4096,32,2.686,-9.36,-22.19,-8.04,-4.2,-8.04,-4.2,-10.0,-11.35,-1.5
128,2048,8192,4,2.959,-16.47,-32.13,-18.57,-12.94,-18.57,-12.94,-18.57,-19.85,-1.58
128,2048,8192,8,1.621,-8.97,-25.95,-3.07,-11.61,-15.55,-5.91,-15.55,-15.86,-0.36
128,2048,8192,16,0.974,-1.26,-3.46,0.16,-1.04,0.16,-1.04,0.0,-6.93,-6.93
128,2048,8192,32,0.866,-1.39,-5.71,1.73,-1.1,0.0,0.0,0.0,-8.75,-8.75
128,4096,4096,4,5.628,-18.13,-12.94,-18.13,-12.94,-18.13,-12.94,-18.13,-18.54,-0.51
128,4096,4096,8,3.083,-14.92,-30.44,-16.66,-11.61,-16.66,-11.61,-16.66,-16.77,-0.13
128,4096,4096,16,1.853,-8.69,-27.14,-13.55,-7.51,-13.55,-7.51,-13.55,-14.43,-1.03
128,4096,4096,32,1.647,-4.63,-15.0,1.35,-4.2,1.35,-4.2,0.0,-16.71,-7.42
128,8192,8192,4,0.795,-1.08,-1.29,-0.21,-0.54,-0.21,-0.54,-0.21,-3.3,-3.09
128,8192,8192,8,0.435,-0.41,-0.93,0.03,-0.53,0.03,-0.53,0.0,-5.34,-5.34
128,8192,8192,16,0.262,-0.04,-1.11,0.48,-0.41,0.0,0.0,0.0,-6.71,-6.71
128,8192,8192,32,0.233,0.0,0.0,1.4,-0.39,0.0,0.0,0.0,-5.47,-5.47
256,1024,4096,4,26.451,-20.38,-12.98,-22.93,0.0,-22.93,0.0,-22.93,-24.97,-2.65
256,1024,4096,8,14.361,-14.59,-11.86,-20.76,0.0,-20.76,0.0,-20.76,-21.74,-1.24
256,1024,4096,16,8.49,-8.55,0.0,-18.43,0.0,-7.46,-6.95,-18.43,-19.63,-1.47
