clock,ctas,m,n,k,grid,waves,s_eff,occ_pct,clock_min,throttled,t_gemm_ms,t_comm_ms,t_serial_ms,t_conc_meas_ms,t_conc_pred_ms,err_t_pct,p_meas_w,p_model_measT_w,err_p_measT_pct,p_model_predT_w,err_p_predT_pct,speedup
1410,1,1024,4096,4096,128,2,64.0,59.3,1410,False,0.2366,6.0355,6.2541,6.1373,6.0355,-1.66,117.7,124.55,5.82,125.21,6.38,1.019
1410,1,2048,4096,4096,256,3,85.33,79.0,1410,False,0.3426,6.0355,6.3563,6.1708,6.0355,-2.19,128.4,134.59,4.82,135.69,5.68,1.0301
1410,1,4096,4096,4096,512,5,102.4,94.8,1410,False,0.5786,6.0355,6.5798,6.192,6.0355,-2.53,147.97,156.18,5.55,158.02,6.79,1.0626
1410,1,8192,4096,4096,1024,10,102.4,94.8,1410,False,1.1339,6.0355,7.0876,6.2774,6.0355,-3.85,185.62,195.95,5.56,200.38,7.95,1.1291
1410,1,1024,8192,8192,512,5,102.4,94.8,1410,False,0.5992,6.0355,6.6027,6.1999,6.0355,-2.65,150.43,158.76,5.54,160.76,6.87,1.065
1410,1,2048,8192,8192,512,5,102.4,94.8,1410,False,1.1108,6.0355,7.0634,6.2577,6.0355,-3.55,187.08,196.69,5.13,200.78,7.33,1.1288
1410,1,4096,8192,8192,1024,10,102.4,94.8,1410,False,2.1955,6.0355,8.0408,6.4104,6.0355,-5.85,252.19,273.94,8.62,285.65,13.27,1.2543
1410,1,8192,8192,8192,2048,19,107.79,99.8,1365,True,4.2213,6.0355,9.8753,6.7394,6.0355,-10.45,377.29,421.74,11.78,460.98,22.18,1.4653
1410,1,1024,16384,16384,512,5,102.4,94.8,1410,False,2.1901,6.0355,8.0116,6.4021,6.0355,-5.73,259.06,275.3,6.27,286.84,10.72,1.2514
1410,1,2048,16384,16384,1024,10,102.4,94.8,1380,True,4.3301,6.0355,10.0085,6.7142,6.0355,-10.11,389.65,418.4,7.38,455.84,16.99,1.4907
1410,1,4096,16384,16384,2048,19,107.79,99.8,1185,True,8.3922,6.0355,13.6164,9.0988,8.8339,-2.91,398.51,566.12,42.06,580.53,45.68,1.4965
1410,1,8192,16384,16384,4096,38,107.79,99.8,1185,True,16.7321,6.0355,22.1971,17.6825,17.1724,-2.88,396.66,568.91,43.42,583.27,47.05,1.2553
1200,1,1024,4096,4096,128,2,64.0,59.3,1200,False,0.2728,6.9937,7.2412,7.101,6.9937,-1.51,101.83,102.98,1.13,103.49,1.63,1.0197
1200,1,2048,4096,4096,256,3,85.33,79.0,1200,False,0.3925,6.9937,7.3721,7.1269,6.9937,-1.87,106.44,108.92,2.33,109.67,3.03,1.0344
1200,1,4096,4096,4096,512,5,102.4,94.8,1200,False,0.6337,6.9937,7.6035,7.1555,6.9937,-2.26,117.49,120.58,2.63,121.76,3.64,1.0626
1200,1,8192,4096,4096,1024,10,102.4,94.8,1200,False,1.2294,6.9937,8.2045,7.2376,6.9937,-3.37,139.29,142.7,2.45,145.25,4.28,1.1336
1200,1,1024,8192,8192,512,5,102.4,94.8,1200,False,0.6553,6.9937,7.627,7.1583,6.9937,-2.3,116.98,122.14,4.41,123.38,5.47,1.0655
1200,1,2048,8192,8192,512,5,102.4,94.8,1200,False,1.201,6.9937,8.1752,7.2179,6.9937,-3.11,137.54,143.18,4.1,145.54,5.82,1.1326
1200,1,4096,8192,8192,1024,10,102.4,94.8,1200,False,2.3552,6.9937,9.3235,7.3873,6.9937,-5.33,179.73,185.87,3.42,192.41,7.06,1.2621
1200,1,8192,8192,8192,2048,19,107.79,99.8,1200,False,4.4459,6.9937,11.3882,7.671,6.9937,-8.83,257.07,267.39,4.02,286.54,11.47,1.4846
1200,1,1024,16384,16384,512,5,102.4,94.8,1200,False,2.3259,6.9937,9.2932,7.3739,6.9937,-5.16,179.56,186.54,3.89,192.9,7.43,1.2603
1200,1,2048,16384,16384,1024,10,102.4,94.8,1200,False,4.6005,6.9937,11.5421,7.6334,6.9937,-8.38,256.67,268.69,4.68,286.9,11.78,1.5121
1200,1,4096,16384,16384,2048,19,107.79,99.8,1200,False,8.7155,6.9937,15.6195,9.3118,9.1742,-1.48,364.14,374.14,2.75,378.7,4.0,1.6774
1200,1,8192,16384,16384,4096,38,107.79,99.8,1200,False,17.3736,6.9937,24.2918,17.9558,17.8308,-0.7,371.37,373.93,0.69,376.07,1.26,1.3529
900,1,1024,4096,4096,128,2,64.0,59.3,900,False,0.3529,9.0752,9.4095,9.177,9.0752,-1.11,90.08,90.72,0.71,91.05,1.07,1.0253
900,1,2048,4096,4096,256,3,85.33,79.0,900,False,0.5121,9.0752,9.564,9.2226,9.0752,-1.6,92.79,94.14,1.45,94.67,2.03,1.037
900,1,4096,4096,4096,512,5,102.4,94.8,900,False,0.8336,9.0752,9.8877,9.2374,9.0752,-1.76,99.54,101.11,1.58,101.82,2.29,1.0704
