ctas,clock,m,n,k,mode,grid,waves,s_eff,ar_mib,iter_ms,iters,clock_min,clock_held,power_node_w,power_per_gpu_w,n_samples,world
2,1410,0,0,0,comm_only,0,0,0,256,11.99538,217,1410,True,478.8,119.71,100,4
2,1410,1024,4096,4096,gemm_only,128,2,64.0,256,0.23428,11025,1410,True,1360.8,340.21,99,4
2,1410,1024,4096,4096,concurrent,128,2,64.0,256,12.09794,85,1410,True,510.8,127.69,22,4
2,1410,1024,8192,8192,gemm_only,512,5,102.4,256,0.60803,4679,1230,False,1600.0,400.0,112,4
2,1410,1024,8192,8192,concurrent,512,5,102.4,256,12.18089,104,1410,True,579.1,144.78,33,4
2,1410,2048,4096,4096,gemm_only,256,3,85.33,256,0.34799,7867,1305,False,1613.8,403.44,106,4
2,1410,2048,4096,4096,concurrent,256,3,85.33,256,12.13532,121,1410,True,540.5,135.13,43,4
2,1410,2048,8192,8192,gemm_only,512,5,102.4,256,1.13328,2560,1170,False,1613.9,403.46,114,4
2,1410,2048,8192,8192,concurrent,512,5,102.4,256,12.24358,116,1410,True,651.5,162.87,41,4
2,1410,4096,4096,4096,gemm_only,512,5,102.4,256,0.59266,4872,1230,False,1610.7,402.67,114,4
2,1410,4096,4096,4096,concurrent,512,5,102.4,256,12.16333,90,1410,True,573.5,143.36,25,4
2,1410,8192,8192,8192,gemm_only,2048,19,107.79,256,4.32378,683,1155,False,1615.7,403.92,117,4
2,1410,8192,8192,8192,concurrent,2048,19,107.79,256,12.72182,163,1410,True,1094.9,273.72,73,4
2,1200,0,0,0,comm_only,0,0,0,256,13.89584,187,1200,True,412.9,103.23,99,4
2,1200,1024,4096,4096,gemm_only,128,2,64.0,256,0.27113,9761,1200,True,890.2,222.56,102,4
2,1200,1024,4096,4096,concurrent,128,2,64.0,256,14.00584,133,1200,True,422.0,105.49,63,4
2,1200,1024,8192,8192,gemm_only,512,5,102.4,256,0.65396,4034,1200,True,1303.0,325.75,101,4
2,1200,1024,8192,8192,concurrent,512,5,102.4,256,14.07075,83,1200,True,459.0,114.75,28,4
2,1200,2048,4096,4096,gemm_only,256,3,85.33,256,0.39112,6803,1200,True,1121.5,280.37,103,4
2,1200,2048,4096,4096,concurrent,256,3,85.33,256,14.03448,111,1200,True,434.9,108.73,48,4
2,1200,2048,8192,8192,gemm_only,512,5,102.4,256,1.2,2193,1200,True,1355.5,338.88,101,4
2,1200,2048,8192,8192,concurrent,512,5,102.4,256,14.1449,186,1200,True,499.8,124.96,101,4
2,1200,4096,4096,4096,gemm_only,512,5,102.4,256,0.63188,4160,1200,True,1322.2,330.55,101,4
2,1200,4096,4096,4096,concurrent,512,5,102.4,256,14.05817,186,1200,True,456.4,114.11,100,4
2,1200,8192,8192,8192,gemm_only,2048,19,107.79,256,4.44767,586,1200,True,1449.5,362.37,100,4
2,1200,8192,8192,8192,concurrent,2048,19,107.79,256,14.60491,181,1200,True,750.8,187.69,102,4
2,900,0,0,0,comm_only,0,0,0,256,18.1257,143,900,True,365.3,91.32,99,4
2,900,1024,4096,4096,gemm_only,128,2,64.0,256,0.35126,7472,900,True,634.8,158.69,101,4
2,900,1024,4096,4096,concurrent,128,2,64.0,256,18.2342,143,900,True,370.4,92.6,100,4
2,900,1024,8192,8192,gemm_only,512,5,102.4,256,0.85772,3079,900,True,879.6,219.9,101,4
2,900,1024,8192,8192,concurrent,512,5,102.4,256,18.3165,141,900,True,391.6,97.9,99,4
2,900,2048,4096,4096,gemm_only,256,3,85.33,256,0.51006,5105,900,True,764.9,191.23,100,4
2,900,2048,4096,4096,concurrent,256,3,85.33,256,18.2707,81,900,True,375.2,93.8,44,4
2,900,2048,8192,8192,gemm_only,512,5,102.4,256,1.58291,1656,900,True,892.8,223.19,101,4
2,900,2048,8192,8192,concurrent,512,5,102.4,256,18.38195,95,900,True,412.1,103.02,57,4
2,900,4096,4096,4096,gemm_only,512,5,102.4,256,0.83189,3169,900,True,873.5,218.37,101,4
2,900,4096,4096,4096,concurrent,512,5,102.4,256,18.2999,87,900,True,394.5,98.63,50,4
2,900,8192,8192,8192,gemm_only,2048,19,107.79,256,5.89986,442,900,True,942.4,235.59,100,4
