ctas,clock,m,n,k,mode,grid,waves,s_eff,ar_mib,iter_ms,iters,clock_min,clock_held,power_node_w,power_per_gpu_w,n_samples,world
2,0,1024,4096,4096,concurrent,128,2,64.0,512,24.1115,86,1410,True,502.1,125.51,73,4
2,0,1024,8192,8192,concurrent,512,5,102.4,512,24.09426,108,1410,True,527.3,131.82,100,4
2,0,2048,4096,4096,concurrent,256,3,85.33,512,24.04951,108,1410,True,513.5,128.37,100,4
2,0,2048,8192,8192,concurrent,512,5,102.4,512,24.16153,108,1410,True,559.0,139.76,100,4
2,0,4096,4096,4096,concurrent,512,5,102.4,512,24.10948,108,1410,True,526.9,131.72,100,4
2,0,8192,8192,8192,concurrent,2048,19,107.79,512,24.62491,106,1410,True,764.6,191.16,100,4
4,0,1024,4096,4096,concurrent,128,2,64.0,512,12.84786,167,1410,True,543.8,135.95,77,4
4,0,1024,8192,8192,concurrent,512,5,102.4,512,12.68059,205,1410,True,593.2,148.29,100,4
4,0,2048,4096,4096,concurrent,256,3,85.33,512,12.631,206,1410,True,559.0,139.75,100,4
4,0,2048,8192,8192,concurrent,512,5,102.4,512,12.74855,205,1410,True,662.9,165.72,100,4
4,0,4096,4096,4096,concurrent,512,5,102.4,512,12.65712,207,1410,True,598.2,149.55,101,4
4,0,8192,8192,8192,concurrent,2048,19,107.79,512,13.13461,199,1410,True,1064.3,266.09,100,4
8,0,1024,4096,4096,concurrent,128,2,64.0,512,7.10677,306,1410,True,616.9,154.22,77,4
8,0,1024,8192,8192,concurrent,512,5,102.4,512,7.03863,372,1410,True,720.7,180.16,100,4
8,0,2048,4096,4096,concurrent,256,3,85.33,512,7.00763,375,1410,True,651.8,162.95,101,4
8,0,2048,8192,8192,concurrent,512,5,102.4,512,7.06897,371,1410,True,844.9,211.22,101,4
8,0,4096,4096,4096,concurrent,512,5,102.4,512,7.02544,374,1410,True,718.2,179.56,101,4
8,0,8192,8192,8192,concurrent,2048,19,107.79,512,7.4117,327,1365,True,1552.5,388.11,91,4
12,0,1024,4096,4096,concurrent,128,2,64.0,512,5.19845,429,1410,True,680.6,170.15,81,4
12,0,1024,8192,8192,concurrent,512,5,102.4,512,5.14818,510,1410,True,819.6,204.91,101,4
12,0,2048,4096,4096,concurrent,256,3,85.33,512,5.12673,514,1410,True,731.1,182.77,101,4
12,0,2048,8192,8192,concurrent,512,5,102.4,512,5.17613,508,1410,True,991.1,247.78,101,4
12,0,4096,4096,4096,concurrent,512,5,102.4,512,5.14091,512,1410,True,825.9,206.47,101,4
12,0,8192,8192,8192,concurrent,2048,19,107.79,512,5.71467,442,1245,True,1598.0,399.49,96,4
16,0,1024,4096,4096,concurrent,128,2,64.0,512,4.32029,522,1410,True,724.0,181.0,82,4
16,0,1024,8192,8192,concurrent,512,5,102.4,512,4.33759,608,1410,True,890.0,222.49,101,4
16,0,2048,4096,4096,concurrent,256,3,85.33,512,4.30522,611,1410,True,784.5,196.14,101,4
16,0,2048,8192,8192,concurrent,512,5,102.4,512,4.35172,551,1410,True,1093.7,273.42,89,4
16,0,4096,4096,4096,concurrent,512,5,102.4,512,4.32749,608,1410,True,895.5,223.87,101,4
16,0,8192,8192,8192,concurrent,2048,19,107.79,512,5.71469,500,1200,True,1598.8,399.71,112,4
22,0,1024,4096,4096,concurrent,128,2,64.0,512,3.95019,593,1410,True,753.6,188.4,86,4
22,0,1024,8192,8192,concurrent,512,5,102.4,512,3.94458,668,1410,True,928.9,232.22,101,4
22,0,2048,4096,4096,concurrent,256,3,85.33,512,3.90953,674,1410,True,817.6,204.4,101,4
22,0,2048,8192,8192,concurrent,512,5,102.4,512,3.95206,625,1410,True,1158.2,289.56,93,4
22,0,4096,4096,4096,concurrent,512,5,102.4,512,3.93133,668,1410,True,942.8,235.69,101,4
22,0,8192,8192,8192,concurrent,2048,19,107.79,512,5.98017,500,1230,True,1596.9,399.23,119,4
32,0,1024,4096,4096,concurrent,128,2,64.0,512,3.82188,614,1410,True,766.5,191.63,86,4
32,0,1024,8192,8192,concurrent,512,5,102.4,512,3.79105,682,1410,True,955.3,238.82,99,4
32,0,2048,4096,4096,concurrent,256,3,85.33,512,3.77248,696,1410,True,837.7,209.42,101,4
32,0,2048,8192,8192,concurrent,512,5,102.4,512,3.8067,676,1410,True,1208.7,302.19,98,4
32,0,4096,4096,4096,concurrent,512,5,102.4,512,3.78648,685,1410,True,968.4,242.1,99,4
32,0,8192,8192,8192,concurrent,2048,19,107.79,512,6.39986,469,1275,True,1588.6,397.15,119,4
48,0,1024,4096,4096,concurrent,128,2,64.0,512,3.77184,606,1410,True,783.4,195.84,83,4
48,0,1024,8192,8192,concurrent,512,5,102.4,512,3.79755,686,1410,True,980.6,245.16,100,4
48,0,2048,4096,4096,concurrent,256,3,85.33,512,3.73746,709,1410,True,864.8,216.21,102,4
48,0,2048,8192,8192,concurrent,512,5,102.4,512,4.31667,690,1410,True,1169.0,292.25,118,4
48,0,4096,4096,4096,concurrent,512,5,102.4,512,3.78447,700,1410,True,1019.8,254.96,102,4
48,0,8192,8192,8192,concurrent,2048,19,107.79,512,7.31786,414,1290,True,1585.2,396.29,121,4
64,0,1024,4096,4096,concurrent,128,2,64.0,512,3.95166,610,1410,True,762.9,190.72,90,4
64,0,1024,8192,8192,concurrent,512,5,102.4,512,4.17939,687,1410,True,920.4,230.1,113,4
64,0,2048,4096,4096,concurrent,256,3,85.33,512,3.90812,686,1410,True,836.3,209.09,103,4
64,0,2048,8192,8192,concurrent,512,5,102.4,512,4.67067,662,1410,True,1109.2,277.3,124,4
64,0,4096,4096,4096,concurrent,512,5,102.4,512,4.16396,678,1410,True,937.9,234.47,110,4
64,0,8192,8192,8192,concurrent,2048,19,107.79,512,7.61619,400,1335,True,1565.6,391.39,121,4
