mib,m,nk,ctas,dE_pct,sd_pp,p05,p95,draws
128,1024,4096,4,-25.52,0.588,-26.59,-24.64,400
128,1024,4096,8,-24.0,0.547,-25.1,-23.34,400
128,1024,4096,16,-23.65,0.52,-24.6,-22.88,400
128,1024,4096,32,-22.64,0.877,-23.72,-20.47,400
128,1024,8192,4,-18.38,0.592,-19.53,-17.53,400
128,1024,8192,8,-16.5,0.599,-17.59,-15.58,400
128,1024,8192,16,-14.19,0.592,-15.13,-13.18,400
128,1024,8192,32,-15.5,0.638,-16.38,-14.3,400
128,2048,4096,4,-17.98,0.581,-19.11,-17.21,400
128,2048,4096,8,-15.56,0.636,-16.7,-14.62,400
128,2048,4096,16,-12.78,0.597,-13.82,-11.88,400
128,2048,4096,32,-11.35,0.641,-12.5,-10.4,400
128,2048,8192,4,-19.85,0.608,-20.9,-18.95,400
128,2048,8192,8,-15.86,0.636,-16.87,-14.87,400
128,2048,8192,16,-6.93,0.71,-8.08,-5.79,400
128,2048,8192,32,-8.75,3.014,-16.64,-7.65,400
128,4096,4096,4,-18.54,0.556,-19.64,-17.78,400
128,4096,4096,8,-16.77,0.566,-17.72,-15.91,400
128,4096,4096,16,-14.43,0.625,-15.44,-13.34,400
128,4096,4096,32,-16.71,0.629,-17.7,-15.57,400
128,8192,8192,4,-3.3,0.754,-4.46,-2.02,400
128,8192,8192,8,-5.34,0.753,-6.56,-4.04,400
128,8192,8192,16,-6.71,0.754,-7.84,-5.44,400
128,8192,8192,32,-5.47,0.759,-6.67,-4.23,400
256,1024,4096,4,-24.97,0.583,-25.95,-24.0,400
256,1024,4096,8,-21.74,0.605,-22.85,-20.85,400
256,1024,4096,16,-19.63,0.583,-20.78,-18.9,400
256,1024,4096,32,-16.64,0.632,-17.85,-16.0,400
256,1024,8192,4,-20.38,0.56,-21.43,-19.58,400
256,1024,8192,8,-14.5,0.599,-15.68,-13.67,400
256,1024,8192,16,-10.98,0.593,-12.1,-10.14,400
256,1024,8192,32,-10.0,0.615,-11.13,-9.12,400
256,2048,4096,4,-20.48,0.598,-21.47,-19.52,400
256,2048,4096,8,-13.97,0.663,-15.19,-13.11,400
256,2048,4096,16,-9.97,0.598,-11.19,-9.19,400
256,2048,4096,32,-8.77,0.612,-9.96,-7.97,400
256,2048,8192,4,-19.91,0.588,-20.97,-19.11,400
256,2048,8192,8,-16.61,0.595,-17.65,-15.74,400
256,2048,8192,16,-12.93,0.599,-14.11,-12.08,400
256,2048,8192,32,-17.16,0.625,-18.09,-16.13,400
256,4096,4096,4,-20.09,0.607,-21.21,-19.19,400
256,4096,4096,8,-14.8,0.586,-16.01,-14.02,400
256,4096,4096,16,-10.53,0.585,-11.65,-9.74,400
256,4096,4096,32,-11.13,0.593,-12.19,-10.33,400
256,8192,8192,4,-20.14,0.616,-21.15,-19.12,400
256,8192,8192,8,-1.89,0.817,-3.21,-0.61,400
256,8192,8192,16,-4.38,0.706,-5.5,-3.1,400
256,8192,8192,32,-7.93,0.699,-9.07,-6.79,400
512,1024,4096,4,-24.1,1.838,-25.07,-22.73,399
512,1024,4096,8,-20.9,0.848,-21.97,-19.91,399
512,1024,4096,16,-17.65,0.647,-18.82,-16.67,400
512,1024,4096,32,-15.09,0.553,-16.12,-14.32,400
512,1024,8192,4,-19.49,0.625,-20.44,-18.34,400
512,1024,8192,8,-14.34,0.663,-15.55,-13.38,400
512,1024,8192,16,-9.14,0.588,-10.28,-8.4,400
512,1024,8192,32,-8.13,0.663,-9.39,-7.25,400
512,2048,4096,4,-19.44,0.648,-20.56,-18.37,400
512,2048,4096,8,-14.27,0.642,-15.47,-13.33,400
512,2048,4096,16,-8.22,0.666,-9.56,-7.34,400
512,2048,4096,32,-7.31,0.682,-8.79,-6.44,400
512,2048,8192,4,-18.99,0.608,-20.1,-18.07,400
512,2048,8192,8,-15.14,0.614,-16.28,-14.34,400
512,2048,8192,16,-11.24,0.638,-12.47,-10.29,400
512,2048,8192,32,-11.05,0.637,-12.09,-10.08,400
512,4096,4096,4,-19.08,0.64,-20.18,-18.16,400
512,4096,4096,8,-14.58,0.628,-15.71,-13.7,400
512,4096,4096,16,-9.36,0.626,-10.58,-8.47,400
512,4096,4096,32,-8.99,0.644,-10.17,-8.02,400
512,8192,8192,4,-19.2,0.555,-20.27,-18.37,400
512,8192,8192,8,-16.48,0.625,-17.47,-15.5,400
512,8192,8192,16,-3.05,0.684,-4.16,-1.91,400
512,8192,8192,32,-7.89,0.655,-8.95,-6.77,400
