ctas,comm_sm_pct,ar_mib,m,nk,f_gemm,f_comm,iter_ms,energy_mj,base_energy_mj,base_iter_ms,base_clock,dE_vs_auto_pct,is_best_pair_for_workload,is_global_fixed_pair
2,1.9,64,1024,4096,300,300,12.5602,1084.92,456.24,3.2288,1410,+137.80,False,False
2,1.9,64,1024,4096,300,510,7.6145,684.14,456.24,3.2288,1410,+49.95,False,False
2,1.9,64,1024,4096,300,705,5.7157,529.67,456.24,3.2288,1410,+16.10,False,False
2,1.9,64,1024,4096,300,900,4.5848,441.17,456.24,3.2288,1410,-3.30,False,False
2,1.9,64,1024,4096,300,1050,3.9733,380.12,456.24,3.2288,1410,-16.68,False,False
2,1.9,64,1024,4096,300,1200,3.5238,359.32,456.24,3.2288,1410,-21.24,False,False
2,1.9,64,1024,4096,300,1305,3.2662,320.79,456.24,3.2288,1410,-29.69,True,False
2,1.9,64,1024,4096,300,1410,3.0485,320.81,456.24,3.2288,1410,-29.68,False,False
2,1.9,64,1024,4096,510,300,12.5602,1097.57,456.24,3.2288,1410,+140.57,False,False
2,1.9,64,1024,4096,510,510,7.6145,690.79,456.24,3.2288,1410,+51.41,False,False
2,1.9,64,1024,4096,510,705,5.7157,534.02,456.24,3.2288,1410,+17.05,False,False
2,1.9,64,1024,4096,510,900,4.5848,444.14,456.24,3.2288,1410,-2.65,False,False
2,1.9,64,1024,4096,510,1050,3.9733,382.35,456.24,3.2288,1410,-16.19,False,False
2,1.9,64,1024,4096,510,1200,3.5238,361.01,456.24,3.2288,1410,-20.87,False,False
2,1.9,64,1024,4096,510,1305,3.2662,322.16,456.24,3.2288,1410,-29.39,False,False
2,1.9,64,1024,4096,510,1410,3.0485,321.92,456.24,3.2288,1410,-29.44,False,True
2,1.9,64,1024,4096,705,300,12.5602,1118.55,456.24,3.2288,1410,+145.17,False,False
2,1.9,64,1024,4096,705,510,7.6145,703.16,456.24,3.2288,1410,+54.12,False,False
2,1.9,64,1024,4096,705,705,5.7157,543.08,456.24,3.2288,1410,+19.04,False,False
2,1.9,64,1024,4096,705,900,4.5848,451.24,456.24,3.2288,1410,-1.10,False,False
