m,nk,ctas,ar_mib,tc_over_tg,E_Bmeas_mJ,E_Bmeas_ms,E_Bmeas_f,E_Bcomp_mJ,E_Bcomp_ms,E_C_mJ,E_C_ms,E_C_fg,E_C_fc,E_C_vs_Bmeas_pct,E_C_vs_Bcomp_pct,E_compbias_pct,T_Bmeas_mJ,T_Bmeas_ms,T_Bmeas_f,T_Bcomp_mJ,T_Bcomp_ms,T_C_mJ,T_C_ms,T_C_fg,T_C_fc,T_C_vs_Bmeas_pct,T_C_vs_Bcomp_pct,T_compbias_pct,EDP_Bmeas_mJ,EDP_Bmeas_ms,EDP_Bmeas_f,EDP_Bcomp_mJ,EDP_Bcomp_ms,EDP_C_mJ,EDP_C_ms,EDP_C_fg,EDP_C_fc,EDP_C_vs_Bmeas_pct,EDP_C_vs_Bcomp_pct,EDP_compbias_pct
1024,4096,1,64,25.7153,722.36,6.1373,1410,708.82,6.0355,514.46,6.0355,300,1410,-28.78,-27.42,-1.87,722.36,6.1373,1410,708.82,6.0355,514.46,6.0355,300,1410,-28.78,-27.42,-1.87,722.36,6.1373,1410,708.82,6.0355,514.46,6.0355,300,1410,-28.78,-27.42,-1.87
1024,4096,2,64,12.9186,399.25,3.6394,1200,394.97,3.5252,290.48,3.0506,300,1410,-27.24,-26.45,-1.07,411.15,3.1636,1410,398.24,3.0506,290.48,3.0506,300,1410,-29.35,-27.06,-3.14,411.15,3.1636,1410,398.24,3.0506,290.48,3.0506,300,1410,-29.35,-27.06,-3.14
1024,4096,4,64,6.7409,249.95,1.9768,1200,243.13,1.8676,186.09,1.6272,300,1410,-25.55,-23.46,-2.73,265.97,1.7384,1410,252.45,1.6272,186.09,1.6272,300,1410,-30.03,-26.29,-5.08,265.97,1.7384,1410,252.45,1.6272,186.09,1.6272,300,1410,-30.03,-26.29,-5.08
1024,4096,8,64,3.7505,170.95,1.1339,1200,167.0,1.0659,135.86,0.9308,510,1410,-20.53,-18.65,-2.31,189.49,1.0,1410,182.01,0.9308,135.86,0.9308,510,1410,-28.3,-25.36,-3.95,189.49,1.0,1410,182.01,0.9308,135.86,0.9308,510,1410,-28.3,-25.36,-3.95
1024,4096,16,64,2.4136,132.88,0.9237,900,128.86,0.8518,112.18,0.6201,510,1410,-15.58,-12.94,-3.03,157.29,0.6911,1410,149.06,0.6201,112.18,0.6201,510,1410,-28.68,-24.74,-5.23,134.24,0.7482,1200,129.4,0.6787,112.18,0.6201,510,1410,-16.43,-13.31,-3.6
1024,4096,32,64,2.0997,121.99,0.8043,900,119.48,0.741,108.86,0.5829,705,1200,-10.77,-8.89,-2.06,151.39,0.622,1410,143.55,0.5597,110.82,0.5597,705,1410,-26.8,-22.8,-5.17,125.66,0.6464,1200,120.37,0.5829,110.82,0.5597,705,1410,-11.81,-7.94,-4.21
1024,8192,1,64,10.5802,837.38,7.1583,1200,847.3,6.9937,616.05,6.0355,300,1410,-26.43,-27.29,1.18,837.38,7.1583,1200,847.3,6.9937,616.05,6.0355,300,1410,-26.43,-27.29,1.18,837.38,7.1583,1200,847.3,6.9937,616.05,6.0355,300,1410,-26.43,-27.29,1.18
1024,8192,2,64,5.3152,520.46,3.697,1200,516.02,3.5252,392.06,3.0506,510,1410,-24.67,-24.02,-0.85,520.46,3.697,1200,516.02,3.5252,392.06,3.0506,510,1410,-24.67,-24.02,-0.85,520.46,3.697,1200,516.02,3.5252,392.06,3.0506,510,1410,-24.67,-24.02,-0.85
1024,8192,4,64,2.7734,368.75,2.5695,900,358.73,2.3789,285.91,1.6272,510,1410,-22.46,-20.3,-2.72,376.04,2.0241,1200,364.18,1.8676,285.91,1.6272,510,1410,-23.97,-21.49,-3.15,376.04,2.0241,1200,364.18,1.8676,285.91,1.6272,510,1410,-23.97,-21.49,-3.15
1024,8192,8,64,1.5431,274.42,1.4484,900,269.63,1.3236,244.14,1.0293,900,1410,-11.03,-9.45,-1.75,295.18,1.1689,1200,288.06,1.0659,274.33,0.9308,1200,1410,-7.07,-4.77,-2.41,295.18,1.1689,1200,288.06,1.0659,244.14,1.0293,900,1410,-17.29,-15.24,-2.41
