arm,m,nk,mib,latency_budget_ms,energy_mJ,f_gemm,f_comm,sm_gemm,ctas
1 clock,4096,4096,256,1.96088,481.02,1290,1290,76,32
1 clock,4096,4096,256,1.96753,472.87,1275,1275,76,32
1 clock,4096,4096,256,1.9742,464.54,1260,1260,76,32
1 clock,4096,4096,256,1.98091,456.02,1245,1245,76,32
1 clock,4096,4096,256,1.98765,447.32,1230,1230,76,32
1 clock,4096,4096,256,1.99442,438.43,1215,1215,76,32
1 clock,4096,4096,256,2.00122,429.36,1200,1200,76,32
1 clock,4096,4096,256,2.04728,429.35,1170,1170,76,32
1 clock,4096,4096,256,2.0711,429.22,1155,1155,76,32
1 clock,4096,4096,256,2.09546,429.0,1140,1140,76,32
1 clock,4096,4096,256,2.12039,428.7,1125,1125,76,32
1 clock,4096,4096,256,2.1459,428.31,1110,1110,76,32
1 clock,4096,4096,256,2.17203,427.84,1095,1095,76,32
1 clock,4096,4096,256,2.19878,427.29,1080,1080,76,32
1 clock,4096,4096,256,2.22619,426.66,1065,1065,76,32
1 clock,4096,4096,256,2.25429,425.95,1050,1050,76,32
1 clock,4096,4096,256,2.28308,425.16,1035,1035,76,32
1 clock,4096,4096,256,2.31262,424.3,1020,1020,76,32
1 clock,4096,4096,256,2.34292,423.37,1005,1005,76,32
1 clock,4096,4096,256,2.37401,422.36,990,990,76,32
1 clock,4096,4096,256,2.40593,421.28,975,975,76,32
1 clock,4096,4096,256,2.43871,420.13,960,960,76,32
1 clock,4096,4096,256,2.47239,418.92,945,945,76,32
1 clock,4096,4096,256,2.507,417.64,930,930,76,32
1 clock,4096,4096,256,2.54259,416.31,915,915,76,32
1 clock,4096,4096,256,2.5792,414.91,900,900,76,32
2 clocks,4096,4096,256,1.90878,399.3,555,1410,76,32
2 clocks,4096,4096,256,1.90878,398.99,675,1410,76,32
2 clocks,4096,4096,256,1.90878,398.23,690,1410,76,32
2 clocks,4096,4096,256,1.90878,397.32,705,1410,76,32
2 clocks,4096,4096,256,1.91519,396.99,690,1395,76,32
2 clocks,4096,4096,256,1.91519,396.08,705,1395,76,32
2 clocks,4096,4096,256,1.92163,395.74,690,1380,76,32
2 clocks,4096,4096,256,1.92163,394.83,705,1380,76,32
2 clocks,4096,4096,256,1.9281,394.49,690,1365,76,32
2 clocks,4096,4096,256,1.9281,393.58,705,1365,76,32
2 clocks,4096,4096,256,1.93459,393.24,690,1350,76,32
2 clocks,4096,4096,256,1.93459,392.32,705,1350,76,32
2 clocks,4096,4096,256,1.94112,391.98,690,1335,76,32
2 clocks,4096,4096,256,1.94112,391.07,705,1335,76,32
2 clocks,4096,4096,256,1.94768,390.71,690,1320,76,32
2 clocks,4096,4096,256,1.94768,389.8,705,1320,76,32
2 clocks,4096,4096,256,1.95426,389.8,540,1305,76,32
2 clocks,4096,4096,256,1.95426,389.45,690,1305,76,32
2 clocks,4096,4096,256,1.95426,388.54,705,1305,76,32
2 clocks,4096,4096,256,1.96088,388.52,540,1290,76,32
2 clocks,4096,4096,256,1.96088,388.18,690,1290,76,32
2 clocks,4096,4096,256,1.96088,387.27,705,1290,76,32
2 clocks,4096,4096,256,1.96753,386.4,525,1275,76,32
2 clocks,4096,4096,256,1.96753,386.0,705,1275,76,32
2 clocks,4096,4096,256,1.9742,385.12,525,1260,76,32
2 clocks,4096,4096,256,1.9742,384.72,705,1260,76,32
2 clocks,4096,4096,256,1.98091,383.83,525,1245,76,32
2 clocks,4096,4096,256,1.98091,383.44,705,1245,76,32
2 clocks,4096,4096,256,1.98765,382.54,525,1230,76,32
2 clocks,4096,4096,256,1.98765,382.16,705,1230,76,32
2 clocks,4096,4096,256,1.99442,381.24,525,1215,76,32
2 clocks,4096,4096,256,1.99442,380.87,705,1215,76,32
2 clocks,4096,4096,256,2.00122,379.95,525,1200,76,32
2 clocks,4096,4096,256,2.00122,379.58,705,1200,76,32
2 clocks,4096,4096,256,2.0067,379.28,510,1200,76,32
