mib,m,nk,ctas,auto_f,auto_mJ,auto_ms,best1_f,best1_mJ,best1_ms,two_fg,two_fc,two_mJ,two_ms,lock_vs_auto,two_vs_auto,two_vs_lock
128,1024,4096,4,1410,468.2,3.3454,1200,452.7,3.7628,300,1410,369.0,3.1832,-3.31,-21.18,-18.48
128,1024,4096,8,1410,326.3,1.9039,1200,289.6,2.0873,510,1410,243.8,1.7871,-11.26,-25.3,-15.82
128,1024,4096,16,1410,250.5,1.1997,1200,210.0,1.2681,510,1410,185.8,1.1252,-16.18,-25.84,-11.52
128,1024,4096,32,1410,244.0,1.096,1200,194.7,1.1186,510,1200,177.5,1.068,-20.22,-27.27,-8.84
128,1024,8192,4,1410,653.4,3.3439,1200,578.5,3.816,510,1410,472.2,3.1832,-11.46,-27.74,-18.38
128,1024,8192,8,1410,510.9,1.9117,900,406.0,2.6794,510,1410,345.2,1.7871,-20.54,-32.43,-14.96
128,1024,8192,16,1410,444.9,1.2213,900,313.2,1.6165,900,1410,289.6,1.1252,-29.6,-34.91,-7.55
128,1024,8192,32,1410,454.8,1.2563,900,329.1,1.7512,900,1200,288.9,1.2009,-27.63,-36.46,-12.21
128,2048,4096,4,1410,529.5,3.3174,1200,490.5,3.7893,300,1410,402.3,3.1832,-7.36,-24.02,-17.98
128,2048,4096,8,1410,379.2,1.8806,1200,327.1,2.1004,510,1410,276.2,1.7871,-13.74,-27.17,-15.56
128,2048,4096,16,1410,308.5,1.1936,900,248.2,1.5981,510,1410,218.2,1.1252,-19.55,-29.26,-12.06
128,2048,4096,32,1410,303.6,1.0891,900,234.2,1.4234,705,1200,210.2,1.068,-22.85,-30.77,-10.26
128,2048,8192,4,1410,890.5,3.4125,900,723.0,4.945,510,1410,593.3,3.1832,-18.81,-33.38,-17.94
128,2048,8192,8,1410,748.4,1.9433,900,530.2,2.7254,900,1410,478.1,1.9023,-29.16,-36.11,-9.81
128,2048,8192,16,1290,648.4,1.6322,900,494.6,2.2344,900,1200,453.1,1.8285,-23.72,-30.12,-8.39
128,2048,8192,32,1350,726.1,1.8327,900,527.4,2.537,900,1200,461.5,2.0124,-27.36,-36.44,-12.5
128,4096,4096,4,1410,643.4,3.3347,1200,574.5,3.8113,510,1410,468.0,3.1832,-10.72,-27.27,-18.54
128,4096,4096,8,1410,502.2,1.9039,900,403.1,2.6668,510,1410,341.0,1.7871,-19.73,-32.1,-15.41
128,4096,4096,16,1410,438.1,1.2112,900,311.9,1.6107,900,1410,285.8,1.1252,-28.82,-34.75,-8.34
128,4096,4096,32,1410,449.8,1.2431,900,326.7,1.7338,900,1200,283.1,1.1667,-27.35,-37.07,-13.37
128,8192,8192,4,1170,1938.8,4.8321,900,1628.8,6.6429,900,1410,1553.7,6.0691,-15.99,-19.87,-4.61
128,8192,8192,8,1215,1939.3,4.8754,900,1626.1,6.6462,900,1200,1511.0,6.1144,-16.15,-22.09,-7.08
128,8192,8192,16,1230,1945.7,4.881,900,1609.9,6.6537,900,1200,1495.0,6.1577,-17.26,-23.16,-7.13
128,8192,8192,32,1230,2011.6,5.0507,900,1633.2,6.9467,900,900,1505.5,6.4795,-18.81,-25.16,-7.82
256,1024,4096,4,1410,909.0,6.5201,1200,838.5,7.3548,300,1410,666.7,6.2983,-7.76,-26.65,-20.48
256,1024,4096,8,1410,588.1,3.6519,1200,523.2,4.051,300,1410,445.5,3.5116,-11.04,-24.24,-14.84
256,1024,4096,16,1410,430.4,2.2498,1200,368.2,2.4085,300,1200,334.7,2.3537,-14.44,-22.23,-9.1
256,1024,4096,32,1410,406.4,2.0252,1200,337.5,2.1043,510,1200,313.8,2.0612,-16.95,-22.77,-7.01
256,1024,8192,4,1410,1074.4,6.4616,1200,968.3,7.4021,300,1410,771.0,6.2983,-9.88,-28.25,-20.38
256,1024,8192,8,1410,771.7,3.6214,1200,642.0,4.0923,510,1410,548.9,3.5116,-16.81,-28.87,-14.5
256,1024,8192,16,1410,618.8,2.2734,900,482.5,3.0601,510,1200,436.6,2.3537,-22.02,-29.44,-9.52
256,1024,8192,32,1410,587.9,2.0085,900,450.7,2.666,510,1200,415.5,2.0645,-23.33,-29.33,-7.82
256,2048,4096,4,1410,957.4,6.4399,1200,880.3,7.3673,300,1410,700.0,6.2983,-8.05,-26.88,-20.48
256,2048,4096,8,1410,634.8,3.593,1200,556.6,4.0624,300,1410,478.9,3.5116,-12.32,-24.57,-13.97
256,2048,4096,16,1410,487.2,2.2411,1200,408.3,2.417,510,1200,367.6,2.3537,-16.19,-24.55,-9.97
256,2048,4096,32,1410,466.3,1.9997,1200,379.6,2.1056,510,1200,346.3,2.0612,-18.6,-25.74,-8.77
256,2048,8192,4,1410,1313.7,6.5148,1200,1117.2,7.4739,510,1410,894.7,6.2983,-14.96,-31.89,-19.91
256,2048,8192,8,1410,1001.3,3.653,900,786.7,5.205,510,1410,670.0,3.5116,-21.43,-33.08,-14.83
256,2048,8192,16,1410,856.4,2.286,900,605.0,3.0858,705,1200,561.6,2.4127,-29.35,-34.42,-7.17
256,2048,8192,32,1410,876.8,2.2977,900,629.0,3.239,900,1200,550.3,2.2193,-28.26,-37.24,-12.53
256,4096,4096,4,1410,1075.7,6.4422,1200,959.2,7.4049,300,1410,766.5,6.2983,-10.83,-28.74,-20.09
256,4096,4096,8,1410,761.1,3.612,1200,639.3,4.083,510,1410,544.7,3.5116,-16.0,-28.43,-14.8
256,4096,4096,16,1410,610.4,2.2601,900,478.0,3.055,510,1200,432.4,2.3537,-21.68,-29.16,-9.55
256,4096,4096,32,1410,586.5,2.0043,900,453.9,2.6823,510,1200,411.1,2.0612,-22.6,-29.91,-9.44
256,8192,8192,4,1365,2699.8,7.0146,900,1932.2,10.0382,900,1410,1686.7,6.2983,-28.43,-37.52,-12.7
256,8192,8192,8,1170,2034.5,5.0785,900,1695.0,6.9605,900,1200,1620.9,6.321,-16.69,-20.33,-4.37
256,8192,8192,16,1230,2047.1,5.1233,900,1695.2,7.0001,900,1200,1587.5,6.3971,-17.19,-22.45,-6.35
256,8192,8192,32,1245,2198.8,5.5329,900,1751.4,7.5724,900,1200,1611.6,6.7695,-20.35,-26.71,-7.98
512,1024,4096,4,1410,1715.5,12.685,1200,1608.1,14.4929,300,1410,1289.2,12.5084,-6.26,-24.85,-19.83
512,1024,4096,8,1410,1103.3,7.1324,1200,983.1,7.9378,300,1410,839.6,6.9307,-10.9,-23.9,-14.6
512,1024,4096,16,1410,779.3,4.3371,1200,672.6,4.6596,300,1200,618.5,4.6067,-13.69,-20.63,-8.04
512,1024,4096,32,1410,724.3,3.8122,1200,607.4,3.9871,300,1200,569.2,3.9336,-16.14,-21.41,-6.28
512,1024,8192,4,1410,1903.9,12.6713,1200,1730.7,14.5544,300,1410,1393.4,12.5084,-9.1,-26.81,-19.49
512,1024,8192,8,1410,1273.4,7.0543,1200,1101.7,7.9801,300,1410,943.8,6.9307,-13.48,-25.89,-14.34
512,1024,8192,16,1410,962.4,4.3341,1200,795.4,4.6984,510,1200,722.8,4.6067,-17.35,-24.9,-9.14
512,1024,8192,32,1410,907.6,3.7867,1200,731.5,3.9968,510,1200,672.0,3.9336,-19.4,-25.95,-8.13
512,2048,4096,4,1410,1766.8,12.6719,1200,1641.6,14.5104,300,1410,1322.5,12.5084,-7.09,-25.15,-19.44
512,2048,4096,8,1410,1138.9,7.0115,1200,1018.1,7.9524,300,1410,872.9,6.9307,-10.6,-23.36,-14.27
512,2048,4096,16,1410,835.3,4.3045,1200,710.2,4.6721,300,1200,651.9,4.6067,-14.97,-21.96,-8.22
512,2048,4096,32,1410,780.5,3.7747,1200,650.1,3.9929,300,1200,602.5,3.9336,-16.71,-22.8,-7.31
512,2048,8192,4,1410,2124.0,12.7474,1200,1875.2,14.6056,300,1410,1519.1,12.5084,-11.71,-28.48,-18.99
512,2048,8192,8,1410,1489.8,7.0922,1200,1258.5,8.0264,510,1410,1068.0,6.9307,-15.53,-28.31,-15.14
512,2048,8192,16,1410,1190.0,4.3513,900,931.0,5.9454,510,1200,843.9,4.6067,-21.76,-29.08,-9.36
512,2048,8192,32,1410,1145.7,3.8067,900,883.9,5.1747,510,1200,793.1,3.9336,-22.84,-30.77,-10.27
512,4096,4096,4,1410,1873.3,12.6637,1200,1716.4,14.5124,300,1410,1389.0,12.5084,-8.38,-25.86,-19.08
512,4096,4096,8,1410,1261.2,7.0392,1200,1099.7,7.9798,300,1410,939.3,6.9307,-12.81,-25.52,-14.58
512,4096,4096,16,1410,959.4,4.3261,1200,792.5,4.6874,300,1200,718.3,4.6067,-17.39,-25.12,-9.36
512,4096,4096,32,1410,905.0,3.7864,1200,733.8,3.9898,510,1200,667.8,3.9336,-18.92,-26.21,-8.99
512,8192,8192,4,1410,3579.3,13.1465,900,2770.1,19.2568,510,1410,2301.3,12.5084,-22.61,-35.71,-16.92
512,8192,8192,8,1365,2864.1,7.4117,900,2068.2,10.4432,900,1410,1861.3,6.9307,-27.79,-35.01,-10.0
512,8192,8192,16,1230,2279.1,5.7034,900,1873.6,7.919,900,1200,1769.6,6.8714,-17.79,-22.35,-5.55
512,8192,8192,32,1290,2533.2,6.3965,900,2034.9,8.9804,900,1200,1804.1,7.5579,-19.67,-28.78,-11.34
