m,nk,mib,tc_over_tg,matched_E_pct,A_E_mJ,A_E_ms,A_E_set,B_E_mJ,B_E_ms,B_E_set,C_E_mJ,C_E_ms,C_E_set,CvB_E_mJ_pct,CvB_E_ms_pct,CvA_E_mJ_pct,CvA_E_ms_pct,matched_T_pct,A_T_mJ,A_T_ms,A_T_set,B_T_mJ,B_T_ms,B_T_set,C_T_mJ,C_T_ms,C_T_set,CvB_T_mJ_pct,CvB_T_ms_pct,CvA_T_mJ_pct,CvA_T_ms_pct,matched_EDP_pct,A_EDP_mJ,A_EDP_ms,A_EDP_set,B_EDP_mJ,B_EDP_ms,B_EDP_set,C_EDP_mJ,C_EDP_ms,C_EDP_set,CvB_EDP_mJ_pct,CvB_EDP_ms_pct,CvA_EDP_mJ_pct,CvA_EDP_ms_pct
1024,4096,8,0.551,-0.88,64.1,0.3443,f900/900 c32,65.1,0.3481,f900/900 c10,64.6,0.3474,f900/1200 c8,-0.88,-0.22,0.66,0.87,-0.0,88.8,0.2276,f1380/1380 c6,89.7,0.2288,f1380/1380 c5,89.7,0.2288,f1380/1365 c5,-0.0,0.0,0.92,0.55,0.0,70.5,0.2599,f1200/1200 c10,71.1,0.2619,f1200/1200 c7,71.1,0.2619,f1200/1200 c7,0.0,0.0,0.96,0.76
1024,4096,32,1.309,-3.01,78.7,0.3977,f900/900 c32,79.9,0.3977,f900/900 c32,77.5,0.3511,f900/1200 c18,-3.01,-11.7,-1.5,-11.7,-17.64,101.7,0.2954,f1335/1335 c32,103.8,0.2954,f1335/1335 c32,87.0,0.2858,f1155/1410 c32,-16.19,-3.25,-14.52,-3.25,-5.05,85.5,0.3129,f1200/1200 c32,87.1,0.3129,f1200/1200 c32,86.6,0.2864,f1140/1410 c32,-0.56,-8.47,1.26,-8.47
1024,4096,128,4.338,-9.9,179.8,1.0365,f1200/1200 c32,181.3,1.0365,f1200/1200 c32,163.4,1.0365,f510/1200 c32,-9.9,0.0,-9.12,0.0,-18.67,205.4,1.0007,f1335/1335 c32,207.5,1.0007,f1335/1335 c32,171.6,0.9814,f510/1410 c32,-17.28,-1.93,-16.46,-1.93,-9.9,179.8,1.0365,f1200/1200 c32,181.3,1.0365,f1200/1200 c32,171.6,0.9814,f510/1410 c32,-5.35,-5.32,-4.52,-5.32
1024,4096,256,8.377,-8.52,305.4,2.0012,f1200/1200 c32,306.9,2.0012,f1200/1200 c32,280.8,2.0012,f510/1200 c32,-8.52,0.0,-8.05,0.0,-15.44,343.7,1.9411,f1335/1335 c32,345.8,1.9411,f1335/1335 c32,298.7,1.9088,f510/1410 c32,-13.62,-1.67,-13.11,-1.67,-8.52,305.4,2.0012,f1200/1200 c32,306.9,2.0012,f1200/1200 c32,280.8,2.0012,f510/1200 c32,-8.52,0.0,-8.05,0.0
2048,4096,8,0.383,-0.52,105.3,0.4958,f900/900 c11,106.4,0.5006,f900/900 c9,105.8,0.4995,f900/1200 c7,-0.52,-0.22,0.47,0.76,-0.14,135.9,0.354,f1275/1275 c5,138.7,0.3551,f1275/1275 c3,138.5,0.3551,f1275/1410 c3,-0.14,0.0,1.87,0.33,0.0,119.4,0.3735,f1200/1200 c10,120.5,0.3763,f1200/1200 c7,120.5,0.3763,f1200/1200 c7,0.0,0.0,0.88,0.76
2048,4096,32,0.909,-0.16,117.1,0.4958,f900/900 c22,119.4,0.5044,f900/900 c16,119.2,0.5039,f900/1200 c15,-0.16,-0.11,1.76,1.64,-0.12,141.4,0.3618,f1245/1245 c22,143.8,0.3677,f1245/1245 c15,145.4,0.3669,f1245/1395 c13,1.12,-0.21,2.89,1.42,0.0,131.3,0.3735,f1200/1200 c22,133.7,0.3796,f1200/1200 c15,133.7,0.3796,f1200/1200 c15,0.0,0.0,1.78,1.64
2048,4096,128,3.013,-8.33,212.8,1.3326,f900/900 c32,214.4,1.3326,f900/900 c32,196.5,1.0365,f705/1200 c32,-8.33,-22.22,-7.64,-22.22,-22.37,234.2,1.0244,f1245/1245 c32,260.0,1.0007,f1335/1335 c32,204.7,0.9814,f705/1410 c32,-21.27,-1.93,-12.59,-4.2,-11.41,220.8,1.0365,f1200/1200 c32,221.8,1.0365,f1200/1200 c32,204.7,0.9814,f705/1410 c32,-7.72,-5.32,-7.28,-5.32
2048,4096,256,5.819,-9.71,346.4,2.0012,f1200/1200 c32,347.5,2.0012,f1200/1200 c32,313.7,2.0012,f510/1200 c32,-9.71,0.0,-9.43,0.0,-18.33,364.1,1.9809,f1245/1245 c32,398.3,1.9411,f1335/1335 c32,331.6,1.9088,f510/1410 c32,-16.75,-1.67,-8.93,-3.64,-9.71,346.4,2.0012,f1200/1200 c32,347.5,2.0012,f1200/1200 c32,313.7,2.0012,f510/1200 c32,-9.71,0.0,-9.43,0.0
4096,4096,8,0.238,-0.47,186.8,0.7986,f900/900 c5,187.7,0.8029,f900/900 c5,186.8,0.8029,f900/1200 c5,-0.47,0.0,0.04,0.55,-0.29,222.3,0.5943,f1215/1215 c5,228.4,0.5956,f1215/1215 c2,227.8,0.5956,f1215/1410 c2,-0.29,0.0,2.46,0.22,0.0,216.0,0.6007,f1200/1200 c5,217.1,0.6039,f1200/1200 c5,217.1,0.6039,f1200/1200 c5,0.0,0.0,0.52,0.55
4096,4096,32,0.564,-1.3,202.5,0.8845,f900/900 c22,209.8,0.9666,f900/900 c16,207.1,0.8029,f900/1200 c5,-1.3,-16.93,2.3,-9.23,-0.07,232.7,0.6748,f1200/1200 c15,265.9,0.6886,f1260/1260 c6,271.4,0.681,f1275/1215 c6,2.05,-1.1,16.65,0.92,-4.47,232.7,0.6748,f1200/1200 c15,237.6,0.7228,f1200/1200 c11,230.1,0.6935,f1065/1410 c5,-3.15,-4.06,-1.08,2.76
4096,4096,128,1.871,-4.12,274.3,1.3326,f900/900 c32,278.2,1.3326,f900/900 c32,266.7,1.1399,f900/1080 c32,-4.12,-14.46,-2.75,-14.46,-16.59,300.2,1.0482,f1185/1185 c32,346.9,1.0125,f1290/1290 c32,300.0,0.9814,f1080/1410 c32,-13.51,-3.08,-0.07,-6.38,-6.64,300.2,1.0482,f1185/1185 c32,303.7,1.0365,f1200/1200 c32,272.5,1.0561,f900/1410 c22,-10.29,1.89,-9.24,0.75
4096,4096,256,3.612,-8.59,411.0,2.5792,f900/900 c32,414.9,2.5792,f900/900 c32,379.3,2.0067,f510/1200 c32,-8.59,-22.2,-7.71,-22.2,-19.49,426.3,2.024,f1185/1185 c32,481.0,1.9609,f1290/1290 c32,397.3,1.9088,f705/1410 c32,-17.4,-2.66,-6.79,-5.69,-11.59,426.3,2.024,f1185/1185 c32,429.4,2.0012,f1200/1200 c32,397.3,1.9088,f705/1410 c32,-7.46,-4.62,-6.79,-5.69
8192,4096,8,0.122,-0.17,354.5,1.5758,f900/900 c12,356.5,1.5641,f900/900 c5,355.9,1.5641,f900/1200 c5,-0.17,0.0,0.4,-0.75,-0.48,424.5,1.1563,f1215/1215 c5,441.2,1.1575,f1215/1215 c1,457.7,1.1451,f1230/945 c1,3.75,-1.07,7.83,-0.96,0.0,412.2,1.1686,f1200/1200 c5,414.7,1.1737,f1200/1200 c4,414.7,1.1737,f1200/1200 c4,0.0,0.0,0.61,0.44
8192,4096,32,0.29,-0.85,369.1,1.6044,f900/900 c14,379.4,1.5641,f900/900 c5,376.2,1.5641,f900/1200 c5,-0.85,0.0,1.91,-2.51,-0.02,444.7,1.1563,f1215/1215 c5,450.2,1.1613,f1215/1215 c4,455.6,1.16,f1215/1410 c3,1.21,-0.11,2.45,0.33,0.0,432.5,1.1686,f1200/1200 c5,434.7,1.175,f1200/1200 c5,434.7,1.175,f1200/1200 c5,0.0,0.0,0.51,0.55
8192,4096,128,0.96,-0.2,426.6,1.7111,f900/900 c14,431.8,1.7331,f900/900 c14,430.9,1.7331,f900/1155 c14,-0.2,0.0,1.02,1.28,-2.65,484.2,1.3277,f1200/1200 c14,501.6,1.3192,f1215/1215 c14,508.2,1.2867,f1215/1410 c13,1.32,-2.47,4.97,-3.09,-0.41,484.2,1.3277,f1200/1200 c14,488.3,1.3277,f1200/1200 c14,488.3,1.3024,f1200/1245 c14,0.02,-1.91,0.86,-1.91
