ctas,clock,m,n,k,mode,grid,waves,s_eff,ar_mib,iter_ms,iters,clock_min,clock_held,power_node_w,power_per_gpu_w,n_samples,world
1,1410,0,0,0,comm_only,0,0,0,64,6.03549,431,1410,True,432.8,108.2,100,4
1,1410,1024,4096,4096,gemm_only,128,2,64.0,64,0.23664,11146,1410,True,1284.3,321.08,102,4
1,1410,1024,4096,4096,serial,128,2,64.0,64,6.25405,419,1410,True,473.5,118.37,101,4
1,1410,1024,4096,4096,concurrent,128,2,64.0,64,6.13729,429,1410,True,470.8,117.7,101,4
1,1410,2048,4096,4096,gemm_only,256,3,85.33,64,0.34262,7805,1365,False,1596.3,399.06,103,4
1,1410,2048,4096,4096,serial,256,3,85.33,64,6.35635,176,1410,True,517.5,129.38,26,4
1,1410,2048,4096,4096,concurrent,256,3,85.33,64,6.17085,429,1410,True,513.6,128.4,102,4
1,1410,4096,4096,4096,gemm_only,512,5,102.4,64,0.57856,4862,1260,False,1608.9,402.23,110,4
1,1410,4096,4096,4096,serial,512,5,102.4,64,6.57976,155,1410,True,590.4,147.6,21,4
1,1410,4096,4096,4096,concurrent,512,5,102.4,64,6.19203,427,1410,True,591.9,147.97,102,4
1,1410,8192,4096,4096,gemm_only,1024,10,102.4,64,1.13386,2502,1215,False,1611.3,402.82,112,4
1,1410,8192,4096,4096,serial,1024,10,102.4,64,7.0876,132,1410,True,718.9,179.71,17,4
1,1410,8192,4096,4096,concurrent,1024,10,102.4,64,6.27744,421,1410,True,742.5,185.62,102,4
1,1410,1024,8192,8192,gemm_only,512,5,102.4,64,0.59921,4664,1275,False,1609.3,402.31,109,4
1,1410,1024,8192,8192,serial,512,5,102.4,64,6.60266,151,1410,True,589.1,147.28,20,4
1,1410,1024,8192,8192,concurrent,512,5,102.4,64,6.19988,425,1410,True,601.7,150.43,101,4
1,1410,2048,8192,8192,gemm_only,512,5,102.4,64,1.11077,2558,1215,False,1604.4,401.1,112,4
1,1410,2048,8192,8192,serial,512,5,102.4,64,7.06338,136,1410,True,703.5,175.86,18,4
1,1410,2048,8192,8192,concurrent,512,5,102.4,64,6.2577,423,1410,True,748.3,187.08,102,4
1,1410,4096,8192,8192,gemm_only,1024,10,102.4,64,2.19553,1300,1200,False,1614.5,403.63,112,4
1,1410,4096,8192,8192,serial,1024,10,102.4,64,8.04083,128,1410,True,900.3,225.07,22,4
1,1410,4096,8192,8192,concurrent,1024,10,102.4,64,6.41042,412,1410,True,1008.8,252.19,102,4
1,1410,8192,8192,8192,gemm_only,2048,19,107.79,64,4.22132,687,1170,False,1611.7,402.92,115,4
1,1410,8192,8192,8192,serial,2048,19,107.79,64,9.87534,104,1410,True,1209.6,302.4,22,4
1,1410,8192,8192,8192,concurrent,2048,19,107.79,64,6.73944,367,1365,False,1509.2,377.29,93,4
1,1410,1024,16384,16384,gemm_only,512,5,102.4,64,2.19007,1316,1185,False,1606.9,401.71,114,4
1,1410,1024,16384,16384,serial,512,5,102.4,64,8.01163,129,1410,True,901.7,225.43,22,4
1,1410,1024,16384,16384,concurrent,512,5,102.4,64,6.4021,414,1410,True,1036.2,259.06,102,4
1,1410,2048,16384,16384,gemm_only,1024,10,102.4,64,4.33006,664,1215,False,1605.8,401.45,113,4
1,1410,2048,16384,16384,serial,1024,10,102.4,64,10.00852,114,1410,True,1243.9,310.98,27,4
1,1410,2048,16384,16384,concurrent,1024,10,102.4,64,6.71415,364,1380,False,1558.6,389.65,92,4
1,1410,4096,16384,16384,gemm_only,2048,19,107.79,64,8.39218,348,1200,False,1588.4,397.1,116,4
1,1410,4096,16384,16384,serial,2048,19,107.79,64,13.61643,116,1365,False,1491.1,372.79,49,4
1,1410,4096,16384,16384,concurrent,2048,19,107.79,64,9.09875,308,1185,False,1594.0,398.51,110,4
1,1410,8192,16384,16384,gemm_only,4096,38,107.79,64,16.73207,167,1185,False,1595.5,398.88,109,4
1,1410,8192,16384,16384,serial,4096,38,107.79,64,22.19712,63,1290,False,1589.4,397.35,40,4
1,1410,8192,16384,16384,concurrent,4096,38,107.79,64,17.68249,156,1185,False,1586.6,396.66,108,4
1,1200,0,0,0,comm_only,0,0,0,64,6.99367,373,1200,True,392.1,98.04,100,4
1,1200,1024,4096,4096,gemm_only,128,2,64.0,64,0.27285,9801,1200,True,873.5,218.39,103,4
1,1200,1024,4096,4096,serial,128,2,64.0,64,7.24125,335,1200,True,410.0,102.5,91,4
1,1200,1024,4096,4096,concurrent,128,2,64.0,64,7.10105,372,1200,True,407.3,101.83,102,4
1,1200,2048,4096,4096,gemm_only,256,3,85.33,64,0.39248,6724,1200,True,1087.5,271.87,102,4
1,1200,2048,4096,4096,serial,256,3,85.33,64,7.37212,279,1200,True,426.7,106.68,73,4
1,1200,2048,4096,4096,concurrent,256,3,85.33,64,7.12685,370,1200,True,425.7,106.44,102,4
1,1200,4096,4096,4096,gemm_only,512,5,102.4,64,0.63374,4172,1200,True,1282.2,320.56,102,4
1,1200,4096,4096,4096,serial,512,5,102.4,64,7.60352,320,1200,True,465.8,116.44,91,4
1,1200,4096,4096,4096,concurrent,512,5,102.4,64,7.1555,369,1200,True,470.0,117.49,102,4
1,1200,8192,4096,4096,gemm_only,1024,10,102.4,64,1.22936,2134,1200,True,1319.6,329.89,101,4
1,1200,8192,4096,4096,serial,1024,10,102.4,64,8.20446,321,1200,True,531.7,132.92,101,4
