shape,m,n,k,ar_mib,ctas,mode,world,iter_ms,iters,t_gemm_conc_ms,t_comm_conc_ms,clock_min,clock_held,power_node_w,power_per_gpu_w,n_samples
low_occ,1024,4096,16384,64,2,gemm_only,4,0.6516,5098,0.7588,3.6495,1200,True,1268.6,317.14,130
low_occ,1024,4096,16384,64,2,comm_only,4,3.5331,708,0.7588,3.6495,1200,True,379.1,94.78,90
low_occ,1024,4096,16384,64,2,serial,4,4.1658,780,0.7588,3.6495,1200,True,528.0,131.99,127
low_occ,1024,4096,16384,64,2,concurrent,4,3.7159,892,0.7588,3.6495,1200,True,557.0,139.24,130
low_occ,1024,4096,16384,256,2,gemm_only,4,0.6513,5100,0.7603,14.0426,1200,True,1277.2,319.3,131
low_occ,1024,4096,16384,256,2,comm_only,4,13.8997,218,0.7603,14.0426,1200,True,382.9,95.74,116
low_occ,1024,4096,16384,256,2,serial,4,14.5269,221,0.7603,14.0426,1200,True,422.5,105.63,125
low_occ,1024,4096,16384,256,2,concurrent,4,14.0839,229,0.7603,14.0426,1200,True,425.4,106.34,126
high_occ,8192,4096,4096,64,2,gemm_only,4,1.23,2657,1.2539,3.7402,1200,True,1295.3,323.83,128
high_occ,8192,4096,4096,64,2,comm_only,4,3.5327,689,1.2539,3.7402,1200,True,384.0,96.01,86
high_occ,8192,4096,4096,64,2,serial,4,4.729,683,1.2539,3.7402,1200,True,640.9,160.23,126
high_occ,8192,4096,4096,64,2,concurrent,4,3.788,840,1.2539,3.7402,1200,True,712.6,178.14,124
high_occ,8192,4096,4096,256,2,gemm_only,4,1.232,2659,1.2544,14.1215,1200,True,1303.3,325.82,128
high_occ,8192,4096,4096,256,2,comm_only,4,13.8988,231,1.2544,14.1215,1200,True,386.5,96.61,125
high_occ,8192,4096,4096,256,2,serial,4,15.0813,213,1.2544,14.1215,1200,True,463.9,115.97,125
high_occ,8192,4096,4096,256,2,concurrent,4,14.1628,228,1.2544,14.1215,1200,True,466.5,116.63,126
low_occ,1024,4096,16384,64,4,gemm_only,4,0.651,5101,0.767,2.0419,1200,True,1280.4,320.1,130
low_occ,1024,4096,16384,64,4,comm_only,4,1.8636,789,0.767,2.0419,1200,True,410.9,102.71,39
low_occ,1024,4096,16384,64,4,serial,4,2.4956,1312,0.767,2.0419,1200,True,659.0,164.75,128
low_occ,1024,4096,16384,64,4,concurrent,4,2.0269,1596,0.767,2.0419,1200,True,731.5,182.88,126
low_occ,1024,4096,16384,256,4,gemm_only,4,0.6508,5092,0.7721,7.3185,1200,True,1286.6,321.64,130
low_occ,1024,4096,16384,256,4,comm_only,4,7.2082,355,0.7721,7.3185,1200,True,413.9,103.48,93
low_occ,1024,4096,16384,256,4,serial,4,7.8454,411,0.7721,7.3185,1200,True,489.2,122.31,126
low_occ,1024,4096,16384,256,4,concurrent,4,7.3911,440,0.7721,7.3185,1200,True,500.8,125.2,127
high_occ,8192,4096,4096,64,4,gemm_only,4,1.23,2660,1.3665,2.0495,1200,True,1306.8,326.7,128
high_occ,8192,4096,4096,64,4,comm_only,4,1.8587,1447,1.3665,2.0495,1200,True,412.4,103.1,99
