m,nk,k,mib,grid,splitk,tc_over_tg,E_1clk_mJ,E_1clk_ms,E_1clk_f,E_1clk_ctas,E_2clk_mJ,E_2clk_ms,E_2clk_fg,E_2clk_fc,E_2clk_ctas,E_E_ratio,E_T_ratio,T_1clk_mJ,T_1clk_ms,T_1clk_f,T_1clk_ctas,T_2clk_mJ,T_2clk_ms,T_2clk_fg,T_2clk_fc,T_2clk_ctas,T_E_ratio,T_T_ratio,EDP_1clk_mJ,EDP_1clk_ms,EDP_1clk_f,EDP_1clk_ctas,EDP_2clk_mJ,EDP_2clk_ms,EDP_2clk_fg,EDP_2clk_fc,EDP_2clk_ctas,EDP_E_ratio,EDP_T_ratio
1024,4096,4096,8,128,1,0.5513,65.13,0.34811,900,10,64.56,0.34736,900,1200,8,0.99116,0.99784,89.65,0.22882,1380,5,89.65,0.22882,1380,1365,5,1.0,1.0,71.14,0.26186,1200,7,71.14,0.26186,1200,1200,7,1.0,1.0
1024,4096,4096,32,128,1,1.3086,79.93,0.39767,900,32,77.52,0.35115,900,1200,18,0.96992,0.883,103.76,0.29541,1335,32,86.95,0.2858,1155,1410,32,0.83805,0.96746,87.1,0.31295,1200,32,86.62,0.28644,1140,1410,32,0.99441,0.9153
1024,4096,4096,128,128,1,4.338,181.32,1.0365,1200,32,163.37,1.0365,510,1200,32,0.901,1.0,207.47,1.00072,1335,32,171.62,0.98136,510,1410,32,0.82721,0.98066,181.32,1.0365,1200,32,171.62,0.98136,510,1410,32,0.94652,0.94681
1024,4096,4096,256,128,1,8.3772,306.94,2.00122,1200,32,280.8,2.00122,510,1200,32,0.91485,1.0,345.75,1.94112,1335,32,298.66,1.90878,510,1410,32,0.86379,0.98334,306.94,2.00122,1200,32,280.8,2.00122,510,1200,32,0.91485,1.0
2048,4096,4096,8,256,1,0.3829,106.37,0.50063,900,9,105.82,0.49954,900,1200,7,0.99485,0.99784,138.65,0.35511,1275,3,138.46,0.35511,1275,1410,3,0.99862,1.0,120.48,0.37632,1200,7,120.48,0.37632,1200,1200,7,1.0,1.0
2048,4096,4096,32,256,1,0.909,119.38,0.50442,900,16,119.19,0.50388,900,1200,15,0.99844,0.99893,143.84,0.36769,1245,15,145.45,0.3669,1245,1395,13,1.01117,0.99785,133.66,0.37959,1200,15,133.66,0.37959,1200,1200,15,1.0,1.0
2048,4096,4096,128,256,1,3.0132,214.4,1.33261,900,32,196.54,1.0365,705,1200,32,0.91668,0.77779,260.04,1.00072,1335,32,204.72,0.98136,705,1410,32,0.78728,0.98066,221.84,1.0365,1200,32,204.72,0.98136,705,1410,32,0.92283,0.94681
2048,4096,4096,256,256,1,5.8188,347.46,2.00122,1200,32,313.74,2.00122,510,1200,32,0.90294,1.0,398.32,1.94112,1335,32,331.59,1.90878,510,1410,32,0.83247,0.98334,347.46,2.00122,1200,32,313.74,2.00122,510,1200,32,0.90294,1.0
4096,4096,4096,8,512,1,0.2377,187.73,0.80292,900,5,186.84,0.80292,900,1200,5,0.99529,1.0,228.43,0.59563,1215,2,227.77,0.59563,1215,1410,2,0.99711,1.0,217.13,0.60394,1200,5,217.13,0.60394,1200,1200,5,1.0,1.0
4096,4096,4096,32,512,1,0.5643,209.85,0.96657,900,16,207.11,0.80292,900,1200,5,0.98697,0.83069,265.95,0.68859,1260,6,271.4,0.681,1275,1215,6,1.02051,0.98898,237.65,0.72284,1200,11,230.15,0.69348,1065,1410,5,0.96845,0.95939
