m,n,k,ctas,mode,iter_ms,iters,clock_min,clock_med,clock_held,power_node_w,power_per_gpu,n_samples
1024,4096,16384,4,gemm_only,0.6663,4101,1200,1200,True,621.0,"[309.4, 311.6]",43
1024,4096,16384,4,comm_only,5.784,455,1200,1200,True,204.0,"[102.1, 101.9]",41
1024,4096,16384,4,serial,6.433,408,1200,1200,True,250.8,"[124.4, 126.4]",41
1024,4096,16384,4,concurrent,5.9284,444,1200,1200,True,258.6,"[129.9, 128.7]",41
1024,4096,16384,8,gemm_only,0.6549,4117,1200,1200,True,623.7,"[315.9, 307.7]",42
1024,4096,16384,8,comm_only,3.1793,197,1200,1200,True,228.1,"[113.3, 114.9]",1
1024,4096,16384,8,serial,3.8188,687,1200,1200,True,301.7,"[150.8, 150.9]",41
1024,4096,16384,8,concurrent,3.287,780,1200,1200,True,321.5,"[160.4, 161.1]",40
1024,4096,4096,8,gemm_only,0.2737,10156,1200,1200,True,421.1,"[211.4, 209.8]",44
1024,4096,4096,8,comm_only,3.1775,513,1200,1200,True,227.5,"[115.0, 112.5]",21
1024,4096,4096,8,serial,3.4281,763,1200,1200,True,247.0,"[123.9, 123.1]",41
1024,4096,4096,8,concurrent,3.2366,820,1200,1200,True,251.1,"[123.9, 127.2]",41
1024,8192,8192,8,gemm_only,0.658,4101,1200,1200,True,612.5,"[310.0, 302.4]",42
1024,8192,8192,8,comm_only,3.1935,244,1200,1200,True,230.1,"[116.7, 113.4]",4
1024,8192,8192,8,serial,3.828,687,1200,1200,True,302.3,"[152.5, 149.8]",41
1024,8192,8192,8,concurrent,3.2988,779,1200,1200,True,320.2,"[161.5, 158.7]",40
2048,4096,16384,8,gemm_only,1.2241,2173,1200,1200,True,637.1,"[323.5, 313.6]",42
2048,4096,16384,8,comm_only,3.1991,205,1200,1200,True,231.6,"[117.6, 114.0]",2
2048,4096,16384,8,serial,4.3991,595,1200,1200,True,353.3,"[177.9, 175.3]",41
2048,4096,16384,8,concurrent,3.3395,745,1200,1200,True,408.3,"[205.5, 202.7]",38
8192,4096,4096,8,gemm_only,1.2308,2159,1200,1200,True,642.1,"[325.3, 316.8]",42
8192,4096,4096,8,comm_only,3.1964,232,1200,1200,True,233.2,"[118.6, 114.6]",3
8192,4096,4096,8,serial,4.401,597,1200,1200,True,356.1,"[179.9, 176.2]",41
8192,4096,4096,8,concurrent,3.3405,745,1200,1200,True,412.9,"[208.1, 204.8]",38
1024,4096,16384,16,gemm_only,0.6518,4122,1200,1200,True,636.4,"[320.8, 315.5]",42
1024,4096,16384,16,comm_only,1.9473,718,1200,1200,True,259.8,"[130.8, 129.0]",16
1024,4096,16384,16,serial,2.5886,1025,1200,1200,True,363.3,"[182.9, 180.4]",41
1024,4096,16384,16,concurrent,2.0461,1245,1200,1200,True,412.8,"[208.2, 204.6]",39
1024,4096,4096,16,gemm_only,0.2742,10155,1200,1200,True,425.2,"[214.6, 210.6]",44
1024,4096,4096,16,comm_only,1.9472,724,1200,1200,True,260.1,"[131.1, 129.0]",17
1024,4096,4096,16,serial,2.2011,1202,1200,1200,True,285.5,"[143.7, 141.8]",41
1024,4096,4096,16,concurrent,2.0083,1341,1200,1200,True,293.5,"[148.1, 145.3]",42
8192,4096,4096,16,gemm_only,1.2307,2158,1200,1200,True,646.8,"[325.6, 321.2]",42
8192,4096,4096,16,comm_only,1.947,937,1200,1200,True,260.6,"[131.4, 129.3]",25
8192,4096,4096,16,serial,3.1672,836,1200,1200,True,419.2,"[211.1, 208.1]",41
8192,4096,4096,16,concurrent,2.0645,1194,1200,1200,True,555.9,"[280.4, 275.4]",38
1024,4096,16384,32,gemm_only,0.6542,4113,1200,1200,True,638.0,"[322.0, 315.9]",42
1024,4096,16384,32,comm_only,1.5536,1701,1200,1200,True,277.0,"[139.6, 137.4]",41
1024,4096,16384,32,serial,2.1751,1215,1200,1200,True,397.2,"[200.2, 196.9]",41
1024,4096,16384,32,concurrent,1.6651,1558,1200,1200,True,464.2,"[233.4, 230.7]",40
1024,4096,4096,32,gemm_only,0.2741,10144,1200,1200,True,428.9,"[217.3, 211.6]",44
1024,4096,4096,32,comm_only,1.5507,1697,1200,1200,True,277.0,"[139.9, 137.1]",41
1024,4096,4096,32,serial,1.7988,1474,1200,1200,True,306.4,"[154.6, 151.8]",41
1024,4096,4096,32,concurrent,1.6056,1644,1200,1200,True,322.2,"[160.4, 161.7]",41
1024,8192,8192,32,gemm_only,0.6574,4097,1200,1200,True,624.5,"[315.6, 308.9]",42
1024,8192,8192,32,comm_only,1.5504,1350,1200,1200,True,278.0,"[140.5, 137.5]",30
1024,8192,8192,32,serial,2.1794,1215,1200,1200,True,394.9,"[199.5, 195.5]",41
1024,8192,8192,32,concurrent,1.6407,1538,1200,1200,True,468.6,"[236.7, 231.9]",39
2048,4096,16384,32,gemm_only,1.2241,2169,1200,1200,True,649.7,"[328.5, 321.2]",41
2048,4096,16384,32,comm_only,1.5515,1567,1200,1200,True,279.1,"[141.1, 138.0]",37
2048,4096,16384,32,serial,2.7444,961,1200,1200,True,460.1,"[232.3, 227.8]",41
2048,4096,16384,32,concurrent,2.2869,1362,1200,1200,True,528.5,"[267.5, 261.0]",51
