ctas,shape,ar_mib,mode,t_gemm_ms,t_ar_ms,span_ms,overlap_ms,iter_ms,power_node_w,e_dyn_mj,speedup_vs_serial,e_total_mj,e_total_vs_serial
2,low_occ,64,serial,0.663,2.863,3.53,0.0,3.535,280.5,499.0,1.0,991.57,0.0
2,low_occ,64,comm_first,0.753,3.023,3.023,0.753,3.075,294.9,478.6,1.1496,906.82,-0.0855
2,low_occ,64,gemm_first,0.681,3.244,3.345,0.58,3.418,283.6,493.2,1.0342,969.34,-0.0224
2,low_occ,64,gemm_first_p0,0.674,3.544,3.64,0.578,3.7,277.5,511.1,0.9554,1026.75,0.0355
2,low_occ,256,serial,0.667,11.306,11.977,0.0,11.99,216.6,926.6,1.0,2597.03,0.0
2,low_occ,256,comm_first,0.75,11.455,11.455,0.75,11.539,217.9,907.2,1.0391,2514.35,-0.0318
2,low_occ,256,gemm_first,0.677,12.329,12.419,0.587,12.479,211.8,903.9,0.9608,2643.05,0.0177
2,low_occ,256,gemm_first_p0,0.672,12.624,12.717,0.579,12.888,215.5,982.2,0.9303,2777.36,0.0694
2,high_occ,64,serial,1.238,2.833,4.076,0.0,4.098,333.3,795.0,1.0,1365.86,0.0
2,high_occ,64,comm_first,1.243,3.068,3.068,1.243,3.223,385.1,792.2,1.2715,1241.18,-0.0913
2,high_occ,64,gemm_first,1.246,3.33,3.42,1.156,3.71,356.8,806.9,1.1046,1323.73,-0.0308
2,high_occ,64,gemm_first_p0,1.249,4.09,4.182,1.157,4.243,330.3,810.3,0.9658,1401.46,0.0261
2,high_occ,256,serial,1.242,11.297,12.543,0.0,12.57,240.9,1277.0,1.0,3028.11,0.0
2,high_occ,256,comm_first,1.248,11.534,11.534,1.248,12.128,245.9,1293.1,1.0364,2982.28,-0.0151
2,high_occ,256,gemm_first,1.248,12.346,12.438,1.157,12.982,239.5,1300.1,0.9683,3109.19,0.0268
4,low_occ,64,serial,0.664,1.485,2.152,0.0,2.169,343.2,442.3,1.0,744.4,0.0
4,low_occ,64,comm_first,0.773,1.655,1.655,0.773,1.704,393.4,433.0,1.2729,670.35,-0.0995
4,low_occ,64,gemm_first,0.752,1.913,2.008,0.656,2.035,356.9,442.8,1.0658,726.29,-0.0243
4,low_occ,64,gemm_first_p0,0.669,2.181,2.27,0.58,2.334,334.5,455.6,0.9293,780.72,0.0488
4,low_occ,256,serial,0.673,6.531,7.208,0.0,7.154,242.6,738.5,1.0,1735.56,0.0
4,low_occ,256,comm_first,0.765,6.148,6.148,0.765,6.208,254.0,712.1,1.1524,1576.83,-0.0915
4,low_occ,256,gemm_first,0.755,7.182,7.281,0.656,7.29,243.4,758.4,0.9813,1774.39,0.0224
4,low_occ,256,gemm_first_p0,0.674,7.674,7.769,0.579,7.916,239.0,789.3,0.9037,1891.92,0.0901
4,high_occ,64,serial,1.241,1.496,2.741,0.0,2.744,420.9,772.6,1.0,1154.95,0.0
4,high_occ,64,comm_first,1.354,1.712,1.712,1.354,1.886,520.8,719.6,1.4549,982.23,-0.1495
4,high_occ,64,gemm_first,1.249,1.916,2.005,1.16,2.447,415.4,675.6,1.1214,1016.48,-0.1199
4,high_occ,64,gemm_first_p0,1.244,2.737,2.822,1.159,2.87,330.5,548.6,0.9561,948.54,-0.1787
4,high_occ,256,serial,1.24,7.09,8.334,0.0,7.531,284.8,1095.5,1.0,2144.83,0.0
4,high_occ,256,comm_first,1.353,6.185,6.185,1.353,6.973,293.0,1071.8,1.08,2043.09,-0.0474
4,high_occ,256,gemm_first,1.251,7.152,7.247,1.156,7.939,276.7,1090.7,0.9486,2196.72,0.0242
