ctas,clock,m,n,k,mode,grid,waves,s_eff,ar_mib,iter_ms,iters,clock_min,clock_held,power_node_w,power_per_gpu_w,n_samples,world
32,1410,0,0,0,comm_only,0,0,0,128,1.03517,2596,1410,True,667.3,166.83,103,4
32,1410,4096,4096,4096,gemm_only,512,5,102.4,128,0.58768,4821,1230,False,1597.5,399.39,111,4
32,1200,0,0,0,comm_only,0,0,0,128,1.08398,2446,1200,True,551.3,137.82,98,4
32,1200,4096,4096,4096,gemm_only,512,5,102.4,128,0.63352,4161,1200,True,1289.5,322.38,101,4
32,900,0,0,0,comm_only,0,0,0,128,1.33547,1984,900,True,474.3,118.57,102,4
32,900,4096,4096,4096,gemm_only,512,5,102.4,128,0.83319,3181,900,True,877.1,219.28,102,4
32,705,0,0,0,comm_only,0,0,0,128,1.70848,1521,705,True,440.3,110.08,99,4
32,705,4096,4096,4096,gemm_only,512,5,102.4,128,1.05344,2484,705,True,731.9,182.98,101,4
32,510,0,0,0,comm_only,0,0,0,128,1.90555,1386,510,True,425.1,106.27,102,4
32,510,4096,4096,4096,gemm_only,512,5,102.4,128,1.44197,1825,510,True,598.4,149.61,101,4
32,300,0,0,0,comm_only,0,0,0,128,2.14788,1223,300,True,412.1,103.02,100,4
32,300,4096,4096,4096,gemm_only,512,5,102.4,128,2.41853,1082,300,True,455.0,113.76,100,4
