ctas,clock,m,n,k,mode,grid,waves,s_eff,ar_mib,iter_ms,iters,clock_min,clock_held,power_node_w,power_per_gpu_w,n_samples,world
4,1410,0,0,0,comm_only,0,0,0,128,3.19006,816,1410,True,500.6,125.16,99,4
4,1410,4096,4096,4096,gemm_only,512,5,102.4,128,0.59378,4807,1230,False,1610.5,402.63,112,4
4,1200,0,0,0,comm_only,0,0,0,128,3.65781,713,1200,True,420.3,105.09,100,4
4,1200,4096,4096,4096,gemm_only,512,5,102.4,128,0.64655,4164,1200,True,1279.2,319.81,104,4
4,900,0,0,0,comm_only,0,0,0,128,4.67732,556,900,True,372.5,93.14,100,4
4,900,4096,4096,4096,gemm_only,512,5,102.4,128,0.84699,3156,900,True,871.8,217.96,103,4
4,705,0,0,0,comm_only,0,0,0,128,5.84692,445,705,True,357.8,89.44,100,4
4,705,4096,4096,4096,gemm_only,512,5,102.4,128,1.07096,2493,705,True,729.5,182.37,103,4
4,510,0,0,0,comm_only,0,0,0,128,7.67419,339,510,True,346.4,86.6,100,4
4,510,4096,4096,4096,gemm_only,512,5,102.4,128,1.45922,1817,510,True,595.0,148.74,102,4
4,300,0,0,0,comm_only,0,0,0,128,12.58114,207,300,True,334.8,83.7,100,4
4,300,4096,4096,4096,gemm_only,512,5,102.4,128,2.43897,1079,300,True,454.3,113.58,101,4
