clock,clock_achieved,throttled,m,nk,ar_mib,ctas,t_gemm_ms,t_comm_ms,iter_ms_model,iter_ms_meas,meas_w,model_w,err_pct,pred_w_throttled,err_throttled_pct,speedup,dE_pct
1410,1410,False,1024,4096,64,1,0.222,6.056,6.056,6.137,117.7,124.5,5.8,,,1.019,2.4
1410,1410,False,2048,4096,64,1,0.319,6.056,6.056,6.171,128.4,134.1,4.4,,,1.03,3.7
1410,1410,False,4096,4096,64,1,0.512,6.056,6.056,6.192,148.0,152.8,3.3,,,1.063,5.7
1410,1410,False,8192,4096,64,1,0.995,6.056,6.056,6.277,185.6,189.6,2.1,,,1.129,8.5
1410,1410,False,1024,8192,64,1,0.512,6.056,6.056,6.2,150.4,153.8,2.2,,,1.065,4.1
1410,1410,False,2048,8192,64,1,0.995,6.056,6.056,6.258,187.1,191.5,2.4,,,1.129,5.8
1410,1410,False,4096,8192,64,1,1.962,6.056,6.056,6.41,252.2,266.8,5.8,,,1.254,10.7
1410,1365,True,8192,8192,64,1,3.701,6.056,6.056,6.739,377.3,417.2,10.6,389.5,3.2,1.465,14.9
1410,1410,False,1024,16384,64,1,1.962,6.056,6.056,6.402,259.1,268.3,3.6,,,1.251,8.2
1410,1380,True,2048,16384,64,1,3.894,6.056,6.056,6.714,389.6,420.4,7.9,402.1,3.2,1.491,15.9
1410,1185,True,4096,16384,64,1,7.373,6.056,7.692,9.099,398.5,587.8,47.5,375.3,-5.8,1.497,28.6
1410,1185,True,8192,16384,64,1,14.717,6.056,14.876,17.682,396.7,592.3,49.3,374.2,-5.7,1.255,20.5
1200,1200,False,1024,4096,64,1,0.26,7.017,7.017,7.101,101.8,103.2,1.3,,,1.02,2.6
1200,1200,False,2048,4096,64,1,0.373,7.017,7.017,7.127,106.4,109.0,2.4,,,1.034,3.5
1200,1200,False,4096,4096,64,1,0.601,7.017,7.017,7.155,117.5,120.4,2.5,,,1.063,5.0
1200,1200,False,8192,4096,64,1,1.169,7.017,7.017,7.238,139.3,142.7,2.5,,,1.134,7.6
1200,1200,False,1024,8192,64,1,0.601,7.017,7.017,7.158,117.0,121.1,3.5,,,1.065,5.9
1200,1200,False,2048,8192,64,1,1.169,7.017,7.017,7.218,137.5,144.1,4.7,,,1.133,8.3
1200,1200,False,4096,8192,64,1,2.305,7.017,7.017,7.387,179.7,190.0,5.7,,,1.262,11.4
1200,1200,False,8192,8192,64,1,4.349,7.017,7.017,7.671,257.1,281.8,9.6,,,1.485,14.2
1200,1200,False,1024,16384,64,1,2.305,7.017,7.017,7.374,179.6,191.7,6.8,,,1.26,12.0
1200,1200,False,2048,16384,64,1,4.577,7.017,7.017,7.633,256.7,285.3,11.1,,,1.512,15.0
1200,1200,False,4096,16384,64,1,8.666,7.017,9.035,9.312,364.1,381.9,4.9,,,1.677,12.5
1200,1200,False,8192,16384,64,1,17.299,7.017,17.484,17.956,371.4,380.9,2.6,,,1.353,5.8
900,900,False,1024,4096,64,1,0.344,9.124,9.124,9.177,90.1,90.9,0.9,,,1.025,2.8
900,900,False,2048,4096,64,1,0.496,9.124,9.124,9.223,92.8,94.4,1.7,,,1.037,4.0
900,900,False,4096,4096,64,1,0.799,9.124,9.124,9.237,99.5,101.1,1.6,,,1.07,5.8
900,900,False,8192,4096,64,1,1.556,9.124,9.124,9.339,112.7,114.4,1.5,,,1.145,9.5
900,900,False,1024,8192,64,1,0.799,9.124,9.124,9.252,99.5,101.7,2.1,,,1.072,6.1
900,900,False,2048,8192,64,1,1.556,9.124,9.124,9.324,111.9,115.5,3.3,,,1.143,9.7
900,900,False,4096,8192,64,1,3.07,9.124,9.124,9.497,137.9,143.2,3.8,,,1.277,13.6
900,900,False,8192,8192,64,1,5.795,9.124,9.124,9.803,187.9,198.2,5.5,,,1.516,15.8
900,900,False,1024,16384,64,1,3.07,9.124,9.124,9.487,138.9,143.9,3.6,,,1.275,12.2
900,900,False,2048,16384,64,1,6.098,9.124,9.124,9.763,184.3,200.0,8.5,,,1.544,18.9
900,900,False,4096,16384,64,1,11.548,9.124,12.029,12.334,245.9,250.9,2.0,,,1.665,14.5
900,900,False,8192,16384,64,1,23.055,9.124,23.295,23.857,243.4,246.7,1.3,,,1.344,9.2
705,705,False,1024,4096,64,1,0.439,11.419,11.419,11.477,85.8,87.5,2.0,,,1.028,2.9
705,705,False,2048,4096,64,1,0.632,11.419,11.419,11.527,87.8,90.3,2.8,,,1.041,4.0
705,705,False,4096,4096,64,1,1.019,11.419,11.419,11.557,92.9,95.7,3.1,,,1.072,6.3
705,705,False,8192,4096,64,1,1.985,11.419,11.419,11.665,103.8,106.4,2.5,,,1.147,9.5
705,705,False,1024,8192,64,1,1.019,11.419,11.419,11.576,93.5,96.1,2.9,,,1.074,5.3
705,705,False,2048,8192,64,1,1.985,11.419,11.419,11.654,103.2,107.2,3.9,,,1.169,10.6
705,705,False,4096,8192,64,1,3.917,11.419,11.419,11.838,122.1,129.5,6.1,,,1.288,14.7
705,705,False,8192,8192,64,1,7.396,11.419,11.419,12.163,164.4,173.7,5.7,,,1.543,16.2
705,705,False,1024,16384,64,1,3.917,11.419,11.419,11.826,122.5,130.3,6.3,,,1.286,14.4
705,705,False,2048,16384,64,1,7.783,11.419,11.419,12.116,163.2,175.6,7.6,,,1.572,17.5
705,705,False,4096,16384,64,1,14.74,11.419,15.341,15.695,207.7,212.7,2.4,,,1.657,13.9
705,705,False,8192,16384,64,1,29.427,11.419,29.728,30.404,206.3,207.8,0.7,,,1.339,8.9
510,510,False,1024,4096,64,1,0.603,15.242,15.242,15.224,82.5,85.1,3.1,,,1.031,3.0
510,510,False,2048,4096,64,1,0.87,15.242,15.242,15.267,84.2,87.2,3.5,,,1.047,4.2
510,510,False,4096,4096,64,1,1.405,15.242,15.242,15.294,88.0,91.3,3.7,,,1.081,6.6
510,510,False,8192,4096,64,1,2.74,15.242,15.242,15.414,96.0,99.4,3.6,,,1.162,11.4
510,510,False,1024,8192,64,1,1.405,15.242,15.242,15.321,88.4,91.6,3.6,,,1.082,6.3
510,510,False,2048,8192,64,1,2.74,15.242,15.242,15.404,95.6,100.0,4.6,,,1.159,10.8
510,510,False,4096,8192,64,1,5.411,15.242,15.242,15.578,112.0,116.8,4.3,,,1.321,16.3
510,510,False,8192,8192,64,1,10.219,15.242,15.242,15.941,142.3,150.2,5.6,,,1.591,21.5
510,510,False,1024,16384,64,1,5.411,15.242,15.242,15.569,111.9,117.4,4.9,,,1.317,16.7
510,510,False,2048,16384,64,1,10.754,15.242,15.242,15.9,144.7,151.7,4.9,,,1.62,21.5
510,510,False,4096,16384,64,1,20.37,15.242,21.172,21.65,170.7,174.3,2.1,,,1.635,18.8
510,510,False,8192,16384,64,1,40.67,15.242,41.071,41.974,164.3,168.4,2.5,,,1.327,13.1
300,300,False,1024,4096,64,1,1.019,25.11,25.11,25.047,79.3,83.1,4.7,,,1.035,3.7
300,300,False,2048,4096,64,1,1.473,25.11,25.11,25.07,80.9,84.4,4.4,,,1.053,4.3
300,300,False,4096,4096,64,1,2.381,25.11,25.11,25.092,84.5,87.0,2.9,,,1.09,5.4
300,300,False,8192,4096,64,1,4.65,25.11,25.11,25.154,89.8,92.2,2.7,,,1.18,10.9
300,300,False,1024,8192,64,1,2.381,25.11,25.11,25.094,82.2,87.2,6.0,,,1.092,7.9
300,300,False,2048,8192,64,1,4.65,25.11,25.11,25.142,89.8,92.6,3.1,,,1.176,9.6
300,300,False,4096,8192,64,1,9.19,25.11,25.11,25.248,96.5,103.3,7.1,,,1.351,20.5
300,300,False,8192,8192,64,1,17.362,25.11,25.11,25.478,117.0,124.6,6.5,,,1.665,25.4
300,300,False,1024,16384,64,1,9.19,25.11,25.11,25.232,98.6,103.7,5.2,,,1.348,16.2
300,300,False,2048,16384,64,1,18.27,25.11,25.11,25.416,120.7,125.6,4.1,,,1.695,25.5
300,300,False,4096,16384,64,1,34.614,25.11,35.935,36.575,131.3,135.0,2.8,,,1.626,22.8
300,300,False,8192,16384,64,1,69.117,25.11,69.777,71.097,122.6,128.1,4.5,,,1.322,17.1
1410,1410,False,1024,4096,64,2,0.222,3.04,3.04,3.164,130.0,138.6,6.6,,,1.033,1.4
1410,1410,False,2048,4096,64,2,0.319,3.04,3.04,3.191,147.7,157.8,6.8,,,1.057,3.1
1410,1410,False,4096,4096,64,2,0.512,3.04,3.04,3.212,177.4,195.0,9.9,,,1.111,8.0
1410,1410,False,8192,4096,64,2,0.995,3.04,3.04,3.295,249.6,268.2,7.5,,,1.24,8.6
1410,1410,False,1024,8192,64,2,0.512,3.04,3.04,3.218,184.1,197.0,7.0,,,1.115,7.3
1410,1410,False,2048,8192,64,2,0.995,3.04,3.04,3.283,249.5,272.1,9.0,,,1.237,8.9
1410,1410,False,4096,8192,64,2,1.962,3.04,3.04,3.443,379.8,422.2,11.2,,,1.467,9.8
1410,1215,True,8192,8192,64,2,3.701,3.04,3.861,4.66,399.6,586.3,46.7,393.8,-1.4,1.468,27.6
1410,1410,False,1024,16384,64,2,1.962,3.04,3.04,3.435,388.5,425.0,9.4,,,1.463,9.9
1410,1215,True,2048,16384,64,2,3.894,3.04,3.894,4.626,399.0,587.1,47.1,396.1,-0.7,1.508,29.4
1410,1200,True,4096,16384,64,2,7.373,3.04,7.533,9.064,398.9,588.4,47.5,378.6,-5.1,1.233,18.7
1410,1185,True,8192,16384,64,2,14.717,3.04,14.797,17.688,397.3,590.0,48.5,370.8,-6.7,1.119,9.7
1200,1200,False,1024,4096,64,2,0.26,3.513,3.513,3.639,109.7,112.0,2.1,,,1.037,3.5
1200,1200,False,2048,4096,64,2,0.373,3.513,3.513,3.673,119.1,123.7,3.9,,,1.063,4.7
1200,1200,False,4096,4096,64,2,0.601,3.513,3.513,3.689,139.9,146.4,4.6,,,1.122,7.2
1200,1200,False,8192,4096,64,2,1.169,3.513,3.513,3.781,180.2,191.0,6.0,,,1.25,10.7
1200,1200,False,1024,8192,64,2,0.601,3.513,3.513,3.697,140.8,147.8,5.0,,,1.126,7.6
1200,1200,False,2048,8192,64,2,1.169,3.513,3.513,3.765,178.3,193.8,8.7,,,1.248,11.0
1200,1200,False,4096,8192,64,2,2.305,3.513,3.513,3.939,253.1,285.6,12.8,,,1.497,15.2
1200,1200,False,8192,8192,64,2,4.349,3.513,4.534,4.854,353.7,379.0,7.1,,,1.638,12.0
1200,1200,False,1024,16384,64,2,2.305,3.513,3.513,3.923,255.3,288.9,13.1,,,1.493,15.5
1200,1200,False,2048,16384,64,2,4.577,3.513,4.577,4.793,353.6,381.4,7.9,,,1.692,14.3
1200,1200,False,4096,16384,64,2,8.666,3.513,8.851,9.342,361.4,378.6,4.8,,,1.313,6.8
1200,1200,False,8192,16384,64,2,17.299,3.513,17.392,17.995,373.5,377.6,1.1,,,1.164,2.2
900,900,False,1024,4096,64,2,0.344,4.576,4.576,4.678,95.6,96.4,0.9,,,1.047,3.7
900,900,False,2048,4096,64,2,0.496,4.576,4.576,4.717,101.3,103.3,2.0,,,1.074,6.0
900,900,False,4096,4096,64,2,0.799,4.576,4.576,4.741,115.0,116.8,1.6,,,1.135,8.6
900,900,False,8192,4096,64,2,1.556,4.576,4.576,4.845,140.5,143.3,2.0,,,1.273,13.3
900,900,False,1024,8192,64,2,0.799,4.576,4.576,4.748,115.6,117.9,1.9,,,1.139,8.8
900,900,False,2048,8192,64,2,1.556,4.576,4.576,4.819,139.6,145.4,4.2,,,1.272,13.7
900,900,False,4096,8192,64,2,3.07,4.576,4.576,5.001,187.8,200.6,6.8,,,1.532,17.1
900,900,False,8192,8192,64,2,5.795,4.576,6.036,6.377,244.0,250.1,2.5,,,1.647,17.3
900,900,False,1024,16384,64,2,3.07,4.576,4.576,4.997,188.7,202.1,7.1,,,1.526,17.0
900,900,False,2048,16384,64,2,6.098,4.576,6.098,6.313,244.2,250.8,2.7,,,1.702,18.2
900,900,False,4096,16384,64,2,11.548,4.576,11.789,12.368,244.4,245.5,0.4,,,1.304,6.7
900,900,False,8192,16384,64,2,23.055,4.576,23.175,23.889,242.7,243.0,0.1,,,1.157,4.1
705,705,False,1024,4096,64,2,0.439,5.734,5.734,5.845,90.0,91.9,2.1,,,1.052,5.0
705,705,False,2048,4096,64,2,0.632,5.734,5.734,5.902,95.1,97.4,2.4,,,1.079,6.0
705,705,False,4096,4096,64,2,1.019,5.734,5.734,5.928,105.6,108.2,2.4,,,1.143,9.1
705,705,False,8192,4096,64,2,1.985,5.734,5.734,6.04,125.5,129.6,3.2,,,1.288,15.2
