ctas,clock,m,n,k,mode,grid,waves,s_eff,ar_mib,iter_ms,iters,clock_min,clock_held,power_node_w,power_per_gpu_w,n_samples,world
1,1410,0,0,0,comm_only,0,0,0,64,6.0454,434,1410,True,449.0,112.25,100,4
1,1410,1024,4096,4096,gemm_only,128,2,64.0,64,0.23502,11156,1410,True,1332.2,333.04,100,4
1,1410,1024,4096,4096,serial,128,2,64.0,64,6.26753,92,1410,True,508.9,127.22,29,4
1,1410,1024,4096,4096,concurrent,128,2,64.0,64,6.14834,427,1410,True,493.4,123.34,101,4
1,1410,1280,4096,4096,gemm_only,160,2,80.0,64,0.2374,11499,1365,False,1593.4,398.36,106,4
1,1410,1280,4096,4096,serial,160,2,80.0,64,6.25113,169,1410,True,517.6,129.41,23,4
1,1410,1280,4096,4096,concurrent,160,2,80.0,64,6.15792,429,1410,True,509.5,127.37,101,4
1,1410,1792,4096,4096,gemm_only,224,3,74.67,64,0.338,7983,1380,False,1578.4,394.6,104,4
1,1410,1792,4096,4096,serial,224,3,74.67,64,6.34455,246,1410,True,532.2,133.05,48,4
1,1410,1792,4096,4096,concurrent,224,3,74.67,64,6.14439,427,1410,True,531.7,132.92,101,4
1,1410,2048,4096,4096,gemm_only,256,3,85.33,64,0.34728,7944,1320,False,1597.1,399.27,107,4
1,1410,2048,4096,4096,serial,256,3,85.33,64,6.35201,128,1410,True,546.5,136.63,11,4
1,1410,2048,4096,4096,concurrent,256,3,85.33,64,6.15867,426,1410,True,544.0,136.0,101,4
1,1410,1536,4096,4096,gemm_only,192,2,96.0,64,0.24769,11453,1290,False,1600.2,400.04,111,4
1,1410,1536,4096,4096,serial,192,2,96.0,64,6.2538,140,1410,True,537.9,134.48,14,4
1,1410,1536,4096,4096,concurrent,192,2,96.0,64,6.14391,429,1410,True,532.8,133.21,101,4
1,1200,0,0,0,comm_only,0,0,0,64,6.99023,371,1200,True,390.1,97.53,99,4
1,1200,1024,4096,4096,gemm_only,128,2,64.0,64,0.27186,5634,1200,True,878.8,219.7,46,4
1,1200,1024,4096,4096,serial,128,2,64.0,64,7.24204,193,1200,True,412.9,103.23,40,4
