clock,ctas,m,nk,grid,measured_w,clock_achieved,throttled,model_mean_w,model_peak_w,mean_predicts,peak_predicts,mean_correct,peak_correct
1410,1,1024,4096,128,117.7,1410,False,124.5,599.3,False,True,True,False
1410,1,2048,4096,256,128.4,1410,False,134.6,599.3,False,True,True,False
1410,1,4096,4096,512,147.97,1410,False,156.2,599.3,False,True,True,False
1410,1,8192,4096,1024,185.62,1410,False,195.9,599.3,False,True,True,False
1410,1,1024,8192,512,150.43,1410,False,158.8,611.1,False,True,True,False
1410,1,2048,8192,512,187.08,1410,False,196.7,611.1,False,True,True,False
1410,1,4096,8192,1024,252.19,1410,False,273.9,611.1,False,True,True,False
1410,1,8192,8192,2048,377.29,1365,True,421.7,611.1,True,True,True,True
1410,1,1024,16384,512,259.06,1410,False,275.3,615.5,False,True,True,False
1410,1,2048,16384,1024,389.65,1380,True,418.4,615.5,True,True,True,True
1410,1,4096,16384,2048,398.51,1185,True,566.1,615.5,True,True,True,True
1410,1,8192,16384,4096,396.66,1185,True,568.9,615.5,True,True,True,True
1200,1,1024,4096,128,101.83,1200,False,103.0,387.7,False,False,True,True
1200,1,2048,4096,256,106.44,1200,False,108.9,387.7,False,False,True,True
1200,1,4096,4096,512,117.49,1200,False,120.6,387.7,False,False,True,True
1200,1,8192,4096,1024,139.29,1200,False,142.7,387.7,False,False,True,True
1200,1,1024,8192,512,116.98,1200,False,122.1,395.9,False,False,True,True
1200,1,2048,8192,512,137.54,1200,False,143.2,395.9,False,False,True,True
1200,1,4096,8192,1024,179.73,1200,False,185.9,395.9,False,False,True,True
1200,1,8192,8192,2048,257.07,1200,False,267.4,395.9,False,False,True,True
1200,1,1024,16384,512,179.56,1200,False,186.5,400.9,False,True,True,False
1200,1,2048,16384,1024,256.67,1200,False,268.7,400.9,False,True,True,False
1200,1,4096,16384,2048,364.14,1200,False,374.1,400.9,False,True,True,False
1200,1,8192,16384,4096,371.37,1200,False,373.9,400.9,False,True,True,False
900,1,1024,4096,128,90.08,900,False,90.7,256.0,False,False,True,True
900,1,2048,4096,256,92.79,900,False,94.1,256.0,False,False,True,True
900,1,4096,4096,512,99.54,900,False,101.1,256.0,False,False,True,True
900,1,8192,4096,1024,112.69,900,False,114.2,256.0,False,False,True,True
900,1,1024,8192,512,99.55,900,False,102.1,262.3,False,False,True,True
900,1,2048,8192,512,111.87,900,False,114.7,262.3,False,False,True,True
900,1,4096,8192,1024,137.88,900,False,140.7,262.3,False,False,True,True
900,1,8192,8192,2048,187.91,900,False,190.5,262.3,False,False,True,True
900,1,1024,16384,512,138.89,900,False,140.8,264.5,False,False,True,True
900,1,2048,16384,1024,184.32,900,False,191.0,264.5,False,False,True,True
900,1,4096,16384,2048,245.94,900,False,246.6,264.5,False,False,True,True
900,1,8192,16384,4096,243.44,900,False,242.6,264.5,False,False,True,True
705,1,1024,4096,128,85.8,705,False,87.3,217.8,False,False,True,True
705,1,2048,4096,256,87.84,705,False,90.0,217.8,False,False,True,True
705,1,4096,4096,512,92.86,705,False,95.6,217.8,False,False,True,True
705,1,8192,4096,1024,103.83,705,False,106.1,217.8,False,False,True,True
705,1,1024,8192,512,93.45,705,False,96.3,222.5,False,False,True,True
705,1,2048,8192,512,103.18,705,False,106.5,222.5,False,False,True,True
705,1,4096,8192,1024,122.08,705,False,127.6,222.5,False,False,True,True
705,1,8192,8192,2048,164.36,705,False,168.0,222.5,False,False,True,True
705,1,1024,16384,512,122.54,705,False,127.8,224.9,False,False,True,True
705,1,2048,16384,1024,163.21,705,False,168.9,224.9,False,False,True,True
705,1,4096,16384,2048,207.66,705,False,209.5,224.9,False,False,True,True
705,1,8192,16384,4096,206.33,705,False,204.7,224.9,False,False,True,True
510,1,1024,4096,128,82.51,510,False,84.9,180.2,False,False,True,True
510,1,2048,4096,256,84.19,510,False,87.0,180.2,False,False,True,True
510,1,4096,4096,512,88.01,510,False,91.2,180.2,False,False,True,True
510,1,8192,4096,1024,95.95,510,False,99.2,180.2,False,False,True,True
510,1,1024,8192,512,88.41,510,False,91.7,183.6,False,False,True,True
510,1,2048,8192,512,95.57,510,False,99.5,183.6,False,False,True,True
510,1,4096,8192,1024,111.97,510,False,115.7,183.6,False,False,True,True
510,1,8192,8192,2048,142.32,510,False,146.9,183.6,False,False,True,True
510,1,1024,16384,512,111.93,510,False,116.0,185.3,False,False,True,True
510,1,2048,16384,1024,144.67,510,False,147.7,185.3,False,False,True,True
510,1,4096,16384,2048,170.71,510,False,171.7,185.3,False,False,True,True
510,1,8192,16384,4096,164.31,510,False,166.1,185.3,False,False,True,True
300,1,1024,4096,128,79.35,300,False,83.0,141.9,False,False,True,True
300,1,2048,4096,256,80.88,300,False,84.3,141.9,False,False,True,True
300,1,4096,4096,512,84.54,300,False,87.0,141.9,False,False,True,True
300,1,8192,4096,1024,89.75,300,False,92.3,141.9,False,False,True,True
300,1,1024,8192,512,82.23,300,False,87.3,143.9,False,False,True,True
300,1,2048,8192,512,89.76,300,False,92.4,143.9,False,False,True,True
300,1,4096,8192,1024,96.48,300,False,103.1,143.9,False,False,True,True
300,1,8192,8192,2048,117.01,300,False,124.0,143.9,False,False,True,True
300,1,1024,16384,512,98.57,300,False,103.3,145.0,False,False,True,True
300,1,2048,16384,1024,120.66,300,False,124.6,145.0,False,False,True,True
300,1,4096,16384,2048,131.3,300,False,133.5,145.0,False,False,True,True
300,1,8192,16384,4096,122.6,300,False,126.8,145.0,False,False,True,True
1410,2,1024,4096,128,129.96,1410,False,137.9,602.9,False,True,True,False
1410,2,2048,4096,256,147.72,1410,False,157.3,602.9,False,True,True,False
1410,2,4096,4096,512,177.4,1410,False,198.8,602.9,False,True,True,False
1410,2,8192,4096,1024,249.61,1410,False,273.5,602.9,False,True,True,False
1410,2,1024,8192,512,184.13,1410,False,203.7,614.7,False,True,True,False
1410,2,2048,8192,512,249.54,1410,False,275.0,614.7,False,True,True,False
1410,2,4096,8192,1024,379.8,1410,False,414.9,614.7,True,True,False,False
1410,2,8192,8192,2048,399.56,1215,True,555.9,614.7,True,True,True,True
1410,2,1024,16384,512,388.47,1410,False,417.8,619.1,True,True,False,False
1410,2,2048,16384,1024,398.99,1215,True,552.7,619.1,True,True,True,True
1410,2,4096,16384,2048,398.88,1200,True,559.8,619.1,True,True,True,True
1410,2,8192,16384,4096,397.3,1185,True,564.6,619.1,True,True,True,True
1200,2,1024,4096,128,109.7,1200,False,111.3,390.2,False,False,True,True
1200,2,2048,4096,256,119.12,1200,False,122.6,390.2,False,False,True,True
1200,2,4096,4096,512,139.94,1200,False,145.3,390.2,False,False,True,True
1200,2,8192,4096,1024,180.24,1200,False,187.0,390.2,False,False,True,True
1200,2,1024,8192,512,140.78,1200,False,148.2,398.4,False,False,True,True
1200,2,2048,8192,512,178.27,1200,False,188.0,398.4,False,False,True,True
1200,2,4096,8192,1024,253.13,1200,False,266.0,398.4,False,False,True,True
1200,2,8192,8192,2048,353.7,1200,False,364.6,398.4,False,False,True,True
1200,2,1024,16384,512,255.34,1200,False,267.7,403.4,False,True,True,False
1200,2,2048,16384,1024,353.64,1200,False,368.9,403.4,False,True,True,False
1200,2,4096,16384,2048,361.39,1200,False,364.0,403.4,False,True,True,False
1200,2,8192,16384,4096,373.51,1200,False,368.5,403.4,False,True,True,False
900,2,1024,4096,128,95.59,900,False,95.8,257.7,False,False,True,True
900,2,2048,4096,256,101.35,900,False,102.4,257.7,False,False,True,True
900,2,4096,4096,512,114.95,900,False,115.9,257.7,False,False,True,True
900,2,8192,4096,1024,140.53,900,False,140.8,257.7,False,False,True,True
900,2,1024,8192,512,115.63,900,False,117.8,264.0,False,False,True,True
900,2,2048,8192,512,139.57,900,False,142.1,264.0,False,False,True,True
900,2,4096,8192,1024,187.8,900,False,190.4,264.0,False,False,True,True
900,2,8192,8192,2048,243.99,900,False,242.8,264.0,False,False,True,True
900,2,1024,16384,512,188.73,900,False,190.6,266.2,False,False,True,True
900,2,2048,16384,1024,244.2,900,False,244.7,266.2,False,False,True,True
900,2,4096,16384,2048,244.41,900,False,237.3,266.2,False,False,True,True
900,2,8192,16384,4096,242.71,900,False,237.8,266.2,False,False,True,True
705,2,1024,4096,128,89.98,705,False,91.3,219.1,False,False,True,True
705,2,2048,4096,256,95.1,705,False,96.6,219.1,False,False,True,True
705,2,4096,4096,512,105.64,705,False,107.4,219.1,False,False,True,True
705,2,8192,4096,1024,125.54,705,False,127.6,219.1,False,False,True,True
705,2,1024,8192,512,105.66,705,False,108.8,223.8,False,False,True,True
705,2,2048,8192,512,124.46,705,False,128.4,223.8,False,False,True,True
705,2,4096,8192,1024,163.63,705,False,167.6,223.8,False,False,True,True
705,2,8192,8192,2048,206.6,705,False,206.3,223.8,False,False,True,True
705,2,1024,16384,512,164.35,705,False,168.6,226.2,False,False,True,True
705,2,2048,16384,1024,206.5,705,False,208.6,226.2,False,False,True,True
705,2,4096,16384,2048,204.74,705,False,200.7,226.2,False,False,True,True
705,2,8192,16384,4096,201.63,705,False,200.1,226.2,False,False,True,True
510,2,1024,4096,128,85.85,510,False,88.0,181.2,False,False,True,True
510,2,2048,4096,256,89.78,510,False,92.0,181.2,False,False,True,True
510,2,4096,4096,512,97.36,510,False,100.3,181.2,False,False,True,True
510,2,8192,4096,1024,113.51,510,False,115.8,181.2,False,False,True,True
510,2,1024,8192,512,97.71,510,False,101.3,184.6,False,False,True,True
510,2,2048,8192,512,113.18,510,False,116.5,184.6,False,False,True,True
510,2,4096,8192,1024,141.96,510,False,147.3,184.6,False,False,True,True
510,2,8192,8192,2048,170.34,510,False,169.7,184.6,False,False,True,True
510,2,1024,16384,512,144.93,510,False,148.0,186.3,False,False,True,True
510,2,2048,16384,1024,170.78,510,False,171.8,186.3,False,False,True,True
510,2,4096,16384,2048,164.76,510,False,163.4,186.3,False,False,True,True
510,2,8192,16384,4096,161.22,510,False,161.8,186.3,False,False,True,True
300,2,1024,4096,128,82.06,300,False,84.9,142.4,False,False,True,True
300,2,2048,4096,256,84.31,300,False,87.5,142.4,False,False,True,True
300,2,4096,4096,512,89.38,300,False,92.8,142.4,False,False,True,True
300,2,8192,4096,1024,98.9,300,False,103.1,142.4,False,False,True,True
300,2,1024,8192,512,88.87,300,False,93.3,144.4,False,False,True,True
300,2,2048,8192,512,98.47,300,False,103.5,144.4,False,False,True,True
300,2,4096,8192,1024,117.84,300,False,124.3,144.4,False,False,True,True
300,2,8192,8192,2048,131.13,300,False,132.3,144.4,False,False,True,True
300,2,1024,16384,512,118.38,300,False,124.7,145.5,False,False,True,True
300,2,2048,16384,1024,131.57,300,False,133.7,145.5,False,False,True,True
300,2,4096,16384,2048,124.04,300,False,125.1,145.5,False,False,True,True
300,2,8192,16384,4096,118.81,300,False,122.5,145.5,False,False,True,True
1410,4,1024,4096,128,153.0,1410,False,160.8,609.4,False,True,True,False
1410,4,2048,4096,256,182.59,1410,False,195.9,609.4,False,True,True,False
1410,4,4096,4096,512,248.87,1410,False,270.2,609.4,False,True,True,False
1410,4,8192,4096,1024,371.04,1410,False,398.1,609.4,False,True,True,False
1410,4,1024,8192,512,255.54,1410,False,278.9,621.1,False,True,True,False
1410,4,2048,8192,512,371.3,1410,False,400.4,621.1,True,True,False,False
1410,4,4096,8192,1024,398.33,1260,True,510.3,621.1,True,True,True,True
1410,4,8192,8192,2048,399.53,1215,True,542.8,621.1,True,True,True,True
1410,4,1024,16384,512,399.05,1275,True,493.2,625.6,True,True,True,True
1410,4,2048,16384,1024,397.61,1230,True,541.8,625.6,True,True,True,True
1410,4,4096,16384,2048,398.99,1200,True,552.3,625.6,True,True,True,True
1410,4,8192,16384,4096,397.87,1185,True,557.3,625.6,True,True,True,True
1200,4,1024,4096,128,126.44,1200,False,125.8,394.8,False,False,True,True
1200,4,2048,4096,256,143.93,1200,False,146.7,394.8,False,False,True,True
1200,4,4096,4096,512,183.7,1200,False,188.2,394.8,False,False,True,True
1200,4,8192,4096,1024,254.96,1200,False,260.2,394.8,False,False,True,True
1200,4,1024,8192,512,185.78,1200,False,193.2,403.0,False,True,True,False
1200,4,2048,8192,512,251.76,1200,False,262.3,403.0,False,True,True,False
1200,4,4096,8192,1024,328.91,1200,False,336.1,403.0,False,True,True,False
1200,4,8192,8192,2048,357.03,1200,False,357.2,403.0,False,True,True,False
1200,4,1024,16384,512,316.59,1200,False,320.3,408.0,False,True,True,False
