clock,m,n,k,sm,idle_w,latency_ms,energy_mj,iters,clock_held,p_poll,p_energy,clock_min,clock_med,n_samples
510,1024,4096,4096,108,60.99,0.57081,65.92,4379,True,119.11,115.49,510,510,98
510,4096,8192,8192,108,60.99,5.43798,836.85,459,True,153.21,153.89,510,510,99
510,8192,16384,16384,108,60.99,40.67716,6267.54,61,True,159.08,154.08,510,510,99
705,1024,4096,4096,108,62.23,0.41476,58.98,6027,True,140.36,142.2,705,705,98
705,4096,8192,8192,108,62.23,3.93874,715.94,634,True,187.7,181.77,705,705,99
705,8192,16384,16384,108,62.23,29.43644,5605.88,84,True,195.91,190.44,705,705,98
780,1024,4096,4096,108,63.13,0.37525,56.85,6662,True,151.46,151.51,780,780,98
780,4096,8192,8192,108,63.13,3.563,723.18,701,True,202.33,202.97,780,780,99
780,8192,16384,16384,108,63.13,26.61068,5691.49,93,True,211.09,213.88,780,780,98
855,1024,4096,4096,108,59.87,0.3441,54.45,7265,True,161.96,158.23,855,855,97
855,4096,8192,8192,108,59.87,3.24777,703.01,769,True,217.57,216.46,855,855,99
855,8192,16384,16384,108,59.87,24.27624,5590.82,102,True,227.52,230.3,855,855,98
870,1024,4096,4096,108,63.18,0.33719,54.22,7414,True,161.69,160.81,870,870,98
870,4096,8192,8192,108,63.18,3.19278,681.02,783,True,220.77,213.3,870,870,99
870,8192,16384,16384,108,63.18,23.85533,5343.35,104,True,230.74,223.99,870,870,99
885,1024,4096,4096,108,64.26,0.33094,54.09,7554,True,163.43,163.44,885,885,98
885,4096,8192,8192,108,64.26,3.13841,703.41,796,True,224.26,224.13,885,885,99
885,8192,16384,16384,108,64.26,23.45567,5535.54,106,True,233.94,236.0,885,885,99
900,1024,4096,4096,108,64.34,0.327,52.44,7645,True,165.5,160.38,900,900,97
900,4096,8192,8192,108,64.34,3.0872,704.47,809,True,227.19,228.19,900,900,99
900,8192,16384,16384,108,64.34,23.06206,5505.61,108,True,237.16,238.73,900,900,99
915,1024,4096,4096,108,64.62,0.32038,52.33,7803,True,167.84,163.34,915,915,98
915,4096,8192,8192,108,64.62,3.03513,702.91,823,True,230.41,231.59,915,915,99
915,8192,16384,16384,108,64.62,22.68316,5266.8,110,True,240.63,232.19,915,915,99
930,1024,4096,4096,108,64.95,0.31686,53.95,7889,True,169.58,170.27,930,930,97
930,4096,8192,8192,108,64.95,2.98689,699.11,836,True,233.35,234.06,930,930,99
930,8192,16384,16384,108,64.95,22.31777,5457.81,112,True,243.9,244.55,930,930,99
945,1024,4096,4096,108,64.95,0.31087,51.71,8042,True,171.32,166.35,945,945,97
945,4096,8192,8192,108,64.95,2.93923,697.13,850,True,236.28,237.18,945,945,99
945,8192,16384,16384,108,64.95,21.96631,5258.3,113,True,246.85,239.38,945,945,98
960,1024,4096,4096,108,65.25,0.30577,53.05,8176,True,173.39,173.49,960,960,97
