clock,m,n,k,sm,idle_w,latency_ms,energy_mj,iters,clock_held,p_poll,p_energy,clock_min,clock_med,n_samples
1260,1024,4096,4096,108,67.39,0.23824,57.25,10493,True,246.25,240.31,1260,1260,96
1260,4096,8192,8192,108,67.39,2.21933,779.5,1126,True,363.6,351.23,1260,1260,99
1260,8192,16384,16384,108,67.39,16.64145,6598.34,150,True,393.08,396.5,1260,1260,99
1275,1024,4096,4096,108,70.5,0.23596,59.51,10594,True,255.01,252.21,1275,1275,96
1275,4096,8192,8192,108,70.5,2.19607,828.53,1138,True,377.21,377.28,1275,1275,99
1275,8192,16384,16384,108,70.5,16.30415,6522.64,153,True,398.94,400.06,1260,1275,100
1290,1024,4096,4096,108,72.21,0.23346,59.34,10708,True,262.62,254.19,1290,1290,95
1290,4096,8192,8192,108,72.21,2.17145,856.44,1151,True,391.01,394.41,1290,1290,99
1290,8192,16384,16384,108,72.21,16.32669,6276.14,153,False,400.35,384.41,1245,1275,100
1305,1024,4096,4096,108,74.62,0.23118,62.23,10813,True,274.62,269.17,1305,1305,95
1305,4096,8192,8192,108,74.62,2.14049,850.29,1167,False,400.35,397.24,1275,1290,100
1305,8192,16384,16384,108,74.62,16.38165,6545.12,152,False,400.08,399.54,1245,1260,100
1320,1024,4096,4096,108,74.61,0.23037,64.39,10852,True,282.16,279.51,1320,1320,94
1320,4096,8192,8192,108,74.61,2.12523,843.33,1176,False,401.4,396.82,1275,1290,101
1320,8192,16384,16384,108,74.61,16.30278,6473.83,153,False,401.73,397.1,1245,1260,101
1335,1024,4096,4096,108,77.41,0.22372,63.89,11174,True,294.16,285.6,1335,1335,96
1335,4096,8192,8192,108,77.41,2.09362,821.3,1194,False,402.0,392.29,1260,1290,103
1335,8192,16384,16384,108,77.41,16.62527,6729.91,150,False,402.87,404.8,1245,1260,99
1350,1024,4096,4096,108,78.45,0.22028,66.98,11349,True,306.43,304.05,1350,1350,97
1350,4096,8192,8192,108,78.45,2.07237,837.38,1206,False,404.61,404.07,1245,1290,104
1350,8192,16384,16384,108,78.45,16.7217,6535.84,149,False,402.0,390.86,1245,1260,98
1365,1024,4096,4096,108,80.23,0.21861,68.31,11435,True,323.31,312.46,1365,1365,96
1365,4096,8192,8192,108,80.23,2.04329,813.72,1223,False,402.6,398.24,1245,1290,106
1365,8192,16384,16384,108,80.23,16.68832,6514.62,149,False,397.75,390.37,1245,1260,98
1380,1024,4096,4096,108,80.88,0.21628,70.38,11559,True,336.45,325.41,1380,1380,96
1380,4096,8192,8192,108,80.88,2.04782,817.74,1220,False,401.73,399.32,1260,1290,106
1380,8192,16384,16384,108,80.88,16.60274,6453.82,150,False,398.8,388.72,1245,1260,99
1395,1024,4096,4096,108,82.48,0.2133,71.66,11720,True,348.96,335.98,1395,1395,97
1395,4096,8192,8192,108,82.48,2.02522,802.13,1234,False,405.52,396.07,1260,1290,107
1395,8192,16384,16384,108,82.48,16.75902,6843.55,149,False,403.2,408.35,1245,1275,98
1410,1024,4096,4096,108,84.93,0.21145,75.01,11822,True,369.13,354.75,1410,1410,96
1410,4096,8192,8192,108,84.93,2.01571,791.71,1240,False,405.2,392.77,1260,1290,108
1410,8192,16384,16384,108,84.93,16.67633,6811.11,149,False,404.47,408.43,1245,1260,98
